Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
RPL14	10	64	90	12	6	6	1	4	1	1	4		30	28	64	28	36	12		57	40	3		62	23	15		14	36	50		55	25	10	9		10	17	73		35	65		82	2	17		48	2	30	20
RPL17	1	84	80	6	10	6	1	4	1	1	1		30	10	94	28	34	6		50	48	2		61	24	15		5	13	82		1	1	1	1		3	29	67		28	72		62	12	26		54	2	20	24
RPL18	12	68	90	8	6	6	1	1	1	1	1		30	46	72	28	14	10		47	50	3		56	23	21		19	24	57		38	32	17	12		6	43	51		31	69		59	1	39		73	1	6	19
RPL19	42	52	46	12	10	10	4	6	6	6	6		16	16	92	40	26	10		38	56	5		63	24	12		14	18	68		1	51	1	49		3	28	69		29	71		79	3	18		65	1	21	13
RPL26	1	90	110	1	1	1	1	1	1	1	1		18	14	80	52	30	6		47	43	10		49	30	21		1	1	1		62	27	1	10		6	34	60		35	65		54	15	31		72	2	8	19
RPL29	4	78	76	12	6	6	4	4	1	4	4		6	6	50	56	76	6		53	41	6		49	41	10		35	33	32		1	1	1	1		4	37	58		19	81		76	3	20		86	2	1	12
RPL30	1	62	114	12	4	4	1	1	1	1	1		28	30	52	40	44	8		60	37	3		66	29	5		30	44	26		34	37	16	13		17	53	31		57	43		73	14	14		56	4	18	23
RPL35	4	56	92	16	6	8	4	4	1	4	4		10	12	70	48	50	8		58	36	6		56	26	19		30	52	18		1	35	19	46		1	24	76		20	80		65	3	32		60	1	1	39
RPLP0	1	98	60	10	6	8	4	4	4	1	4		26	12	90	22	42	8		46	47	6		74	25	1		1	1	1		36	16	13	35		9	41	50		53	47		81	3	16		58	2	19	21
RPLP1	1	60	136	4	1	1	1	1	1	1	1		66	72	34	14	8	6		73	26	1		71	28	1		36	39	24		42	33	16	8		5	17	78		51	49		95	1	5		31	34	1	35
RPS10	16	86	82	8	4	1	1	1	1	1	1		40	26	60	26	42	6		48	51	1		71	26	3		1	1	1		46	23	17	15		6	27	67		50	50		79	6	14		79	1	1	20
RPS14	18	82	70	12	6	4	1	1	1	1	4		48	20	92	8	24	8		74	25	1		57	28	15		7	37	57		47	22	17	14		10	39	51		46	54		63	16	21		49	2	29	20
RPS15	18	82	80	6	6	4	1	1	1	1	1		66	8	106	14	6	1		55	43	1		80	18	1		21	37	42		1	1	1	1		3	52	44		30	70		85	1	15		40	1	1	59
RPS16	22	78	66	12	8	8	1	1	1	1	1		26	32	78	26	26	12		58	40	2		70	25	5		18	32	50		44	23	6	27		16	54	30		61	39		66	13	21		52	2	9	37
RPS17	14	86	80	8	6	1	1	1	1	1	1		40	18	92	16	28	6		1	1	1		65	30	6		1	1	1		1	56	1	44		4	22	73		1	1		65	4	31		65	2	9	24
RPS18	22	80	68	12	6	6	1	1	1	1	1		20	8	96	28	40	8		47	46	6		61	36	3		20	57	23		59	26	4	10		5	31	65		52	48		65	12	22		60	3	2	35
RPS19	18	76	78	10	4	4	1	1	1	1	1		42	14	96	20	22	6		68	28	3		63	36	1		23	54	23		33	38	13	16		10	37	53		48	52		73	10	17		68	2	1	30
RPS20	20	78	84	8	1	1	1	1	1	1	1		44	8	100	22	24	1		75	23	2		59	39	1		13	49	39		23	45	16	16		18	49	32		46	54		71	4	24		55	1	5	39
RPS24	10	56	118	8	4	1	1	1	1	1	1		16	6	96	38	40	6		49	50	1		72	23	5		12	12	77		1	48	20	32		1	13	86		28	72		75	1	24		53	1	19	26
RPS3	24	70	90	4	1	1	1	1	1	1	1		30	12	76	30	48	4		52	44	3		66	33	1		23	34	43		19	22	43	15		15	62	23		1	100		71	9	20		51	3	14	31
RPS3A	16	68	88	8	6	4	1	1	1	1	1		24	8	112	30	24	4		47	50	3		71	24	5		12	25	63		50	23	12	15		11	36	53		49	51		54	15	31		50	4	15	32
RPS4X	22	74	64	10	8	8	4	4	1	1	4		22	14	90	30	38	6		48	49	2		69	24	8		1	1	1		28	34	14	24		1	1	1		41	59		67	13	20		55	2	17	27
RPS5	20	80	78	8	4	1	1	1	1	1	1		24	6	100	30	34	4		40	58	3		61	30	9		39	44	17		31	24	20	25		10	23	67		44	56		72	8	20		61	2	18	20
RPS7	12	70	84	10	6	6	4	4	1	1	1		30	14	94	22	34	8		50	45	5		75	21	3		6	28	66		39	26	18	17		6	54	40		55	45		64	14	22		61	3	2	34
SRPK1	1	58	136	1	1	4	1	1	1	1	1		72	16	92	20	1	1		20	80	1		67	27	6		1	69	31		1	36	64	1		1	61	39		8	92		80	12	8		83	4	1	13
SYNCRIP	6	34	86	10	28	20	8	1	1	1	1		38	20	98	18	22	4		50	49	1		64	35	1		1	1	1		50	25	17	8		1	45	55		33	67		48	26	26		37	18	23	22
YBX1	4	84	84	8	8	6	1	1	1	1	1		22	6	108	30	24	10		57	37	5		57	42	1		75	12	13		52	20	12	16		28	32	40		56	44		55	8	37		23	3	38	36
CSNK1A1	6	86	108	1	1	1	1	1	1	1	1		1	1	1	1	1	1		32	68	1		35	53	13		1	1	1		1	1	1	1		56	44	1		43	57		62	16	22		53	14	1	34
EDC4	16	112	68	4	1	1	1	1	1	1	1		1	1	1	1	1	1		68	32	1		28	62	10		1	17	83		100	1	1	1		21	79	1		6	94		64	3	33		34	12	2	52
EIF2S3	1	80	110	10	1	1	1	1	1	1	1		1	1	1	1	1	1		41	58	1		71	28	1		1	1	1		54	14	21	11		34	64	2		73	27		68	7	25		58	5	8	29
FAM120A	1	18	96	6	38	24	12	1	1	1	1		1	1	1	1	1	1		78	17	5		73	5	22		1	1	98		58	34	1	9		2	86	12		73	27		83	1	16		60	1	1	40
INF2	1	28	92	4	1	8	20	6	14	10	14		1	1	1	1	1	1		51	49	1		1	1	1		4	7	89		49	25	20	6		6	68	26		75	25		76	1	24		66	7	9	17
PABPC4	4	50	122	10	4	1	1	1	1	1	1		1	1	1	1	1	1		89	8	3		73	24	3		1	4	96		48	20	18	14		6	39	55		65	35		83	3	14		42	4	21	33
PPP1CC	1	104	86	1	8	1	1	1	1	1	1		1	1	1	1	1	1		20	78	2		25	29	46		52	43	5		51	23	16	9		12	26	62		49	51		61	19	19		15	24	31	30
PRKRA	1	56	126	1	12	4	1	1	1	1	1		1	1	1	1	1	1		99	1	1		84	13	3		5	8	88		1	62	38	1		4	39	58		57	43		55	1	45		62	1	15	22
PURA	1	86	90	6	12	1	1	1	1	1	1		1	1	1	1	1	1		89	3	8		65	28	8		10	28	62		1	1	1	1		1	47	53		65	35		37	30	33		51	9	1	39
RPL21	1	92	90	6	4	1	1	1	1	1	1		1	1	1	1	1	1		52	44	4		65	26	9		15	4	81		1	1	1	1		7	47	47		13	87		79	4	17		59	1	16	24
RPL22	4	78	98	12	4	4	1	1	1	1	1		1	1	1	1	1	1		95	1	5		57	26	17		4	48	48		51	33	10	5		9	38	53		44	56		69	14	16		55	4	15	26
RPL23A	1	78	98	6	4	6	1	1	1	1	1		1	1	1	1	1	1		49	48	3		56	27	18		2	52	46		8	41	17	34		7	27	66		25	75		62	11	27		71	2	7	20
RPL27	1	56	110	12	6	6	1	1	1	4	4		1	1	1	1	1	1		41	57	3		58	21	21		2	68	30		20	28	43	9		8	40	52		39	61		63	14	23		73	1	9	17
RPL27A	1	72	84	10	8	10	4	4	1	4	4		1	1	1	1	1	1		46	52	3		48	39	13		16	1	83		62	13	13	12		8	37	54		35	65		68	7	24		65	4	7	24
RPL3	1	82	90	6	6	6	4	1	1	1	1		1	1	1	1	1	1		43	52	5		61	20	18		16	21	63		1	1	1	1		1	1	1		45	55		59	5	36		50	2	28	20
RPL31	4	68	96	10	6	6	1	4	1	1	1		1	1	1	1	1	1		36	57	6		61	24	14		6	53	41		27	43	14	16		6	28	66		44	56		68	18	14		73	1	1	26
RPL34	1	54	94	16	8	10	4	4	1	6	4		1	1	1	1	1	1		38	51	11		48	32	20		10	15	75		4	56	24	16		4	51	45		49	51		66	6	28		69	4	10	17
RPL35A	1	62	104	16	8	6	1	1	1	1	1		1	1	1	1	1	1		49	47	5		57	31	12		13	27	61		46	38	10	6		17	41	42		45	55		63	3	34		39	3	12	46
RPL36	1	58	102	14	8	8	1	1	1	1	1		1	1	1	1	1	1		54	43	3		51	24	24		12	38	50		1	100	1	1		7	49	44		35	65		82	1	17		36	4	45	15
RPL37A	1	48	144	4	4	1	1	1	1	1	1		1	1	1	1	1	1		35	62	4		60	33	7		14	36	50		1	1	1	1		11	89	1		60	40		81	5	14		24	1	27	49
RPL5	1	102	84	1	1	1	1	1	1	1	1		1	1	1	1	1	1		51	44	5		55	30	15		19	36	45		57	18	9	16		25	60	15		47	53		64	10	26		61	2	19	18
RPL7A	1	90	72	8	6	6	4	4	4	1	4		1	1	1	1	1	1		53	41	6		56	27	18		19	47	35		1	1	1	1		14	51	35		24	76		84	3	13		55	2	28	14
RPL9	16	48	126	1	4	1	1	1	1	1	1		1	1	1	1	1	1		48	50	3		67	20	12		10	18	71		43	21	12	24		4	25	71		42	58		61	6	32		62	3	15	20
RPLP2	1	90	74	16	6	4	1	1	1	1	4		1	1	1	1	1	1		56	42	2		59	38	3		50	39	12		48	25	15	12		8	39	53		41	59		98	1	1		80	2	2	16
RPS13	18	70	82	10	1	6	4	1	1	1	4		1	1	1	1	1	1		51	48	1		63	25	13		25	41	33		61	21	6	12		7	27	67		42	58		68	7	25		55	1	2	43
RPS15A	14	62	86	14	8	6	4	1	1	1	1		1	1	1	1	1	1		40	55	5		71	24	5		16	10	74		25	24	45	6		11	50	38		60	40		69	13	17		54	2	5	39
RPS2	18	72	88	4	4	4	1	1	1	1	1		1	1	1	1	1	1		52	46	2		72	27	1		21	22	57		40	29	15	16		9	45	46		49	51		69	9	22		59	2	12	26
RPS25	26	64	76	10	6	6	1	1	1	1	4		1	1	1	1	1	1		46	50	3		67	32	1		51	38	11		78	11	5	6		10	27	63		38	62		62	21	18		69	2	3	26
RPS8	24	68	88	6	1	1	1	1	1	1	1		1	1	1	1	1	1		53	45	2		62	28	9		19	1	80		1	1	1	1		25	40	35		36	64		85	2	13		46	2	29	24
SRP14	1	94	92	4	1	1	1	1	1	1	1		1	1	1	1	1	1		19	77	4		46	26	28		19	60	21		1	55	22	23		4	23	73		50	50		46	31	22		49	6	7	38
SRPK2	1	76	124	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		39	24	37		3	61	36		1	100	1	1		1	1	1		33	67		62	33	5		66	1	1	34
XRCC5	12	82	66	4	8	8	6	4	4	1	6		1	1	1	1	1	1		34	66	1		29	60	11		6	3	91		65	9	25	1		18	71	10		52	48		42	29	29		43	9	11	37
XRCC6	8	66	80	6	10	8	6	1	4	1	12		1	1	1	1	1	1		31	69	1		23	63	15		9	6	84		68	16	11	6		13	44	42		43	57		45	19	36		38	12	12	38
ABCF1	1	100	100	1	1	1	1	1	1	1	1		32	26	116	24	1	1		64	34	1		81	15	5		1	24	76		56	12	23	9		16	82	2		44	56		78	1	20		76	4	1	18
AP3D1	1	46	144	1	1	1	1	1	1	1	6		102	10	28	60	1	1		77	23	1		75	15	10		1	2	98		55	7	38	1		54	46	1		78	22		77	1	23		98	1	1	2
COPA	8	104	74	1	1	1	6	1	1	1	1		30	6	132	26	6	1		42	56	2		59	36	5		1	1	98		42	22	28	8		71	21	8		67	33		76	1	24		54	1	1	45
EIF2AK2	1	76	102	4	16	1	1	1	1	1	1		28	6	112	30	20	4		75	24	1		73	18	8		1	14	86		22	31	40	7		1	45	55		64	36		62	16	22		60	6	16	18
LARP1	1	60	132	4	1	1	1	1	1	1	1		72	4	110	10	1	1		68	27	6		74	20	6		1	1	99		60	29	1	11		12	77	10		56	44		85	1	14		57	1	33	9
NEMF	1	74	124	1	1	1	1	1	1	1	1		34	26	56	38	36	8		93	7	1		1	1	1		1	19	81		1	1	1	1		1	1	1		83	17		1	1	1		100	1	1	1
NMT1	1	114	84	1	1	1	1	1	1	1	1		26	6	54	26	50	36		68	30	2		81	13	6		4	1	95		49	29	1	22		5	87	8		74	26		87	2	11		73	1	1	25
PABPC1	6	50	114	12	6	4	4	1	1	1	1		28	6	110	26	24	4		79	18	3		73	25	1		9	9	81		54	19	18	9		12	48	40		52	48		72	8	20		40	3	25	32
POLR1C	1	116	84	1	1	1	1	1	1	1	1		26	48	8	1	100	18		49	51	1		17	17	65		5	14	81		1	1	1	1		28	72	1		46	54		42	42	16		58	20	2	20
RPL13A	20	56	94	8	1	4	4	4	4	1	1		10	12	72	48	48	8		43	54	3		63	24	13		11	17	72		1	1	1	1		1	1	1		36	64		81	1	18		59	1	6	34
RPL18A	1	78	84	12	6	6	1	4	1	4	4		14	20	66	38	50	12		42	53	5		60	25	15		14	3	83		27	36	22	15		7	54	39		40	60		68	6	27		70	1	14	15
RPL23	8	54	106	12	8	4	1	1	1	1	1		24	28	96	28	12	12		49	46	4		65	17	17		3	11	85		75	14	11	1		5	70	26		57	43		67	16	17		59	3	20	18
RPL24	1	78	88	8	6	6	1	4	1	1	1		22	22	54	32	60	10		55	44	1		1	1	1		13	5	82		22	20	26	32		4	23	73		36	64		69	6	25		75	4	2	19
RPL28	1	76	88	8	6	6	1	4	1	4	4		24	6	72	48	50	1		41	50	9		62	31	7		18	5	76		1	71	29	1		5	41	55		40	60		66	4	30		72	1	2	25
RPL32	1	70	110	6	4	4	1	1	1	1	1		38	24	70	40	22	6		49	47	4		52	30	18		2	8	90		1	100	1	1		8	58	34		30	70		61	6	33		47	1	33	20
RPL4	1	86	74	10	6	6	4	6	4	1	1		20	16	74	48	42	4		43	55	2		56	22	22		22	8	70		43	16	25	16		8	56	36		44	56		62	2	35		50	4	28	18
RPL6	1	72	98	6	4	6	1	1	1	1	1		14	16	84	34	40	12		49	46	6		1	1	1		17	47	36		42	24	25	8		5	80	16		34	66		66	1	33		54	2	19	25
RPL7	1	78	88	8	6	4	4	4	4	1	4		18	22	64	34	48	12		52	43	5		1	1	1		23	23	53		1	1	1	1		6	48	46		37	63		77	2	21		69	1	15	15
RPL8	1	72	86	8	8	6	4	4	4	4	4		40	32	70	30	22	4		43	51	6		59	31	10		20	21	59		1	27	22	52		8	57	35		42	58		75	11	13		69	2	8	22
RPS11	14	58	96	12	4	8	1	1	1	1	1		36	26	98	20	14	6		52	45	4		1	1	1		7	2	91		33	20	10	37		9	44	47		44	56		71	5	24		52	2	23	23
RPS23	16	64	96	8	6	4	1	1	1	1	1		26	10	72	32	60	1		49	43	8		67	28	5		5	7	88		95	1	1	5		11	62	27		54	46		65	2	33		62	2	6	30
RPS6	16	68	94	6	6	4	1	1	1	1	1		40	40	78	20	14	8		45	54	1		59	34	7		12	6	81		72	9	10	9		24	39	37		41	59		75	6	19		60	2	7	32
RPS9	18	82	72	8	6	6	1	1	1	1	1		34	20	96	18	22	8		50	48	2		65	30	5		14	6	80		45	16	11	28		13	44	44		35	65		67	6	27		66	2	7	26
TRIM25	4	112	84	1	1	1	1	1	1	1	1		30	16	100	42	12	1		76	22	2		73	21	6		3	1	97		33	22	35	10		44	56	1		65	35		78	1	21		83	1	1	17
ATXN2L	1	126	66	1	1	1	1	1	1	1	1		42	1	120	28	12	1		81	15	4		55	38	6		1	10	90		1	47	35	17		4	81	15		100	1		62	1	38		83	1	1	17
CAPRIN1	22	126	50	1	1	1	1	1	1	1	1		28	1	110	38	18	1		50	45	5		60	38	1		1	50	49		1	42	36	22		5	53	42		18	82		85	4	11		26	22	8	44
CNOT1	16	124	28	6	1	6	4	1	10	1	1		34	1	114	40	12	1		66	32	2		51	31	18		14	2	84		25	28	47	1		3	97	1		37	63		74	1	25		86	1	1	14
EIF2A	20	132	46	1	1	1	1	1	1	1	1		32	1	88	44	34	1		82	17	1		73	22	4		1	1	100		1	35	39	25		18	82	1		67	33		1	100	1		77	1	1	22
EIF4G1	1	112	30	1	1	1	1	12	8	14	16		84	18	88	8	1	1		58	39	2		44	12	44		1	3	96		28	17	45	10		16	65	19		75	25		5	1	95		54	3	2	41
EWSR1	34	158	1	1	1	1	1	1	1	1	8		36	32	80	32	6	16		54	45	1		11	58	30		2	37	61		1	48	32	20		1	59	41		1	100		45	10	44		41	6	1	52
FARSA	20	152	26	1	1	1	1	1	1	1	1		30	4	98	34	32	1		57	42	1		79	16	5		12	9	79		46	14	25	14		2	44	54		50	50		91	2	8		82	1	1	18
FARSB	32	146	14	1	1	1	1	1	1	1	6		40	10	82	18	44	6		57	41	2		84	9	7		14	8	78		32	32	17	19		4	58	38		52	48		73	3	25		82	1	1	18
G3BP2	20	108	68	1	1	1	1	1	1	1	1		30	1	134	20	14	1		60	38	3		65	33	1		1	69	31		1	46	1	54		2	63	35		26	74		73	14	12		50	5	9	36
GNB2L1	48	120	30	1	1	1	1	1	1	1	1		18	12	90	22	48	10		53	45	2		75	24	1		17	23	60		53	29	9	9		9	45	46		63	37		69	6	25		65	2	4	30
LSM12	74	64	60	1	1	1	1	1	1	1	1		50	1	116	34	1	1		100	1	1		34	65	1		1	29	71		1	49	34	18		11	31	58		44	56		47	39	14		56	1	1	44
LUZP1	42	102	1	1	1	1	40	8	1	1	8		20	1	106	74	1	1		1	1	1		1	1	1		1	1	1		1	1	100	1		1	79	21		1	100		1	1	1		33	2	27	38
MAP4	1	134	62	1	1	1	1	1	1	1	1		92	1	94	12	1	1		61	38	1		78	19	3		8	44	49		27	33	30	10		13	44	43		52	48		74	1	26		85	1	1	15
PURB	1	102	82	8	6	1	1	1	1	1	1		76	12	82	16	1	14		68	1	32		51	13	36		21	17	61		1	1	1	1		23	77	1		57	43		1	1	100		42	4	3	51
RPS21	20	150	28	1	1	1	1	1	1	1	1		28	8	106	32	22	4		73	22	5		62	36	1		15	28	57		1	1	1	1		1	1	1		40	60		60	21	19		59	2	3	36
RPS28	24	128	42	4	1	1	1	1	1	1	1		44	44	50	18	28	16		94	1	6		61	33	5		44	38	18		1	1	1	1		20	80	1		45	55		69	1	30		61	1	1	37
SERBP1	22	110	62	1	1	1	1	1	1	1	1		42	1	128	12	16	1		81	15	4		75	24	1		1	1	1		57	27	1	15		8	55	37		6	94		1	11	88		68	1	1	30
UBAP2L	1	140	60	1	1	1	1	1	1	1	1		30	4	104	28	32	1		60	33	6		60	38	1		1	52	48		1	38	55	8		1	77	23		20	80		61	1	38		59	2	1	40
USP10	38	82	80	1	1	1	1	1	1	1	1		30	8	124	38	1	1		67	32	1		55	43	1		1	10	90		1	25	56	18		2	98	1		53	47		63	4	33		20	25	1	55
CCDC124	1	120	80	1	1	1	1	1	1	1	1		1	1	1	1	1	1		100	1	1		52	24	24		2	98	1		1	1	1	1		9	35	56		90	10		67	1	33		65	4	2	29
EIF1AX	38	118	42	1	1	1	1	1	1	1	1		1	1	1	1	1	1		62	37	1		69	29	1		1	1	1		72	1	1	28		1	1	1		60	40		64	7	28		44	3	1	52
FAU	12	68	92	10	8	6	1	1	1	1	1		1	1	1	1	1	1		67	32	1		69	29	1		1	1	1		1	1	1	1		1	1	1		71	29		77	8	15		60	10	8	22
FAU	12	68	92	10	8	6	1	1	1	1	1		1	1	1	1	1	1		67	32	1		69	29	1		1	1	1		1	1	1	1		1	1	1		71	29		77	8	15		1	1	1	1
GTPBP1	1	96	102	1	1	1	1	1	1	1	1		50	32	66	32	6	14		100	1	1		95	3	1		100	1	1		1	1	1	1		1	1	1		82	18		93	1	7		99	1	1	1
RPL22L1	1	60	104	12	8	8	1	1	1	1	1		1	1	1	1	1	1		55	39	6		98	1	1		1	1	1		23	47	15	16		24	76	1		100	1		74	9	17		58	5	2	35
RPS12	30	110	56	4	1	1	1	1	1	1	1		1	1	1	1	1	1		92	5	3		65	30	5		35	37	28		53	31	7	10		10	37	52		50	50		67	12	21		61	6	9	25
RPS26	12	60	90	14	8	6	1	1	1	4	4		1	1	1	1	1	1		59	37	4		67	32	1		1	1	1		29	36	15	20		13	44	43		70	30		65	9	26		83	1	10	6
RPS27	14	90	88	6	1	1	1	1	1	1	1		1	1	1	1	1	1		60	35	5		57	40	3		1	1	1		1	84	1	16		1	1	1		71	29		90	1	9		55	2	29	14
RPS27L	4	134	62	1	1	1	1	1	1	1	1		1	1	1	1	1	1		67	32	1		77	20	3		1	1	1		1	75	1	25		12	32	56		69	31		69	16	15		49	2	29	21
RPS29	10	56	118	10	1	1	1	1	1	1	1		1	1	1	1	1	1		76	19	5		71	28	1		1	80	20		1	1	1	1		1	1	1		1	1		98	1	2		60	1	1	40
RPSA	26	144	20	1	1	1	1	1	1	1	1		1	1	1	1	1	1		44	55	2		32	62	6		1	1	1		1	1	1	1		7	50	42		56	44		65	8	28		54	4	5	36
SRP9	1	80	110	1	1	1	1	1	1	1	1		1	1	1	1	1	1		99	1	1		38	38	23		38	48	14		1	1	1	1		30	70	1		45	55		53	28	20		54	3	7	35
SSSCA1	6	166	28	1	1	1	1	1	1	1	1		1	1	1	1	1	1		95	5	1		92	6	1		69	14	17		1	1	1	1		100	1	1		93	7		81	1	19		97	1	1	3
WIBG	26	126	44	1	1	1	1	1	1	1	1		1	1	1	1	1	1		96	4	1		81	18	1		1	1	1		1	1	1	1		9	91	1		80	20		68	2	30		75	1	1	24
DRG1	1	134	64	1	1	1	1	1	1	1	1		26	18	66	36	46	10		51	42	6		76	22	1		1	79	21		1	37	43	20		2	63	35		69	31		72	3	25		78	1	1	22
EIF5B	1	94	106	1	1	1	1	1	1	1	1		32	22	90	46	1	8		52	47	1		87	11	1		1	79	20		49	37	1	13		2	61	37		73	27		65	3	32		83	3	1	13
G3BP1	16	84	98	1	1	1	1	1	1	1	1		16	1	94	44	44	1		60	37	4		68	31	1		1	57	43		26	29	23	23		3	71	26		100	1		78	9	14		40	7	10	44
PA2G4	4	134	60	1	1	1	1	1	1	1	1		44	8	68	38	38	4		55	42	3		78	17	5		41	46	13		41	20	29	10		4	52	43		63	37		72	3	25		72	6	7	15
UACA	1	96	84	1	10	1	1	1	1	1	10		1	1	1	1	1	1		1	1	1		70	27	1		1	100	1		17	33	51	1		23	24	53		85	15		97	2	1		33	1	1	67
ZC3H15	1	118	80	1	1	1	1	1	1	1	1		56	10	98	34	1	1		75	17	7		54	41	6		1	91	9		1	37	34	29		1	59	41		76	24		91	1	9		39	1	1	61
ARCN1	160	28	8	1	1	1	1	1	1	1	1		26	4	120	36	12	1		62	33	4		54	44	1		6	12	81		56	16	28	1		64	18	18		52	48		91	1	8		58	1	1	42
CD2AP	120	62	10	1	1	1	4	1	1	1	1		80	42	78	1	1	1		39	55	6		1	1	1		9	90	1		1	1	1	1		1	1	1		33	67		94	1	6		83	1	1	16
CLTA	92	1	32	8	40	10	12	1	1	1	4		60	30	90	20	1	1		64	15	21		52	47	1		69	17	14		1	1	1	1		34	12	54		50	50		70	8	22		43	6	1	50
COMMD10	140	60	1	1	1	1	1	1	1	1	1		78	1	100	22	1	1		1	1	1		49	48	3		4	52	44		1	1	1	1		23	43	34		83	17		74	1	26		91	1	1	9
COPB1	150	48	1	1	1	1	1	1	1	1	1		30	4	128	28	8	1		42	57	1		59	37	4		1	3	96		58	11	25	6		61	20	19		66	34		77	1	23		45	1	1	55
COPB2	130	62	1	1	1	1	1	1	1	1	1		28	10	98	56	8	1		50	49	2		54	33	13		2	4	95		54	12	27	8		82	8	11		63	37		77	1	23		55	1	1	44
DDX1	116	68	8	6	1	1	1	1	1	1	1		32	30	68	26	32	12		46	52	2		30	65	5		8	35	57		37	23	32	8		10	51	39		34	66		50	30	20		33	5	8	54
DDX6	116	62	20	1	1	1	1	1	1	1	1		22	1	64	20	82	10		70	29	1		63	27	10		5	48	47		34	26	25	15		27	73	1		41	59		85	2	14		73	1	1	25
DNAJA1	114	58	14	1	4	4	1	1	1	1	1		18	28	34	96	10	16		47	49	4		66	30	5		46	39	15		73	27	1	1		25	27	48		67	33		48	11	42		59	1	30	10
DNAJB1	200	1	1	1	1	1	1	1	1	1	1		44	14	86	56	1	1		99	1	1		71	22	7		8	84	8		90	1	10	1		29	25	45		65	35		73	3	24		67	4	3	25
DYNC1H1	126	60	1	1	1	1	1	1	1	1	1		108	24	52	10	4	1		24	76	1		77	16	7		5	3	92		64	19	17	1		64	25	11		44	56		88	1	11		90	1	1	10
DYNC1I2	162	36	1	1	1	1	1	1	1	1	1		22	16	104	32	24	1		12	87	1		84	11	5		39	2	60		62	19	12	7		36	24	40		75	25		91	1	9		93	1	1	7
DYNC1LI1	200	1	1	1	1	1	1	1	1	1	1		76	30	72	22	1	1		22	47	31		86	9	5		1	38	62		89	11	1	1		42	12	45		70	30		92	1	8		96	1	1	4
EEF1A1	76	40	16	6	4	10	10	8	12	8	10		94	34	42	14	12	4		36	63	1		71	25	4		1	1	1		32	20	32	17		48	26	25		71	29		69	3	28		78	1	5	16
EEF1B2	160	26	1	1	1	1	1	1	6	1	4		90	8	80	8	10	4		33	67	1		65	34	1		52	32	15		39	39	12	10		9	48	43		61	39		75	1	23		69	1	5	25
EEF1G	174	18	1	1	1	1	1	1	1	1	4		106	22	40	16	12	4		36	64	1		1	1	1		11	10	79		50	25	12	14		10	43	47		74	26		67	1	32		72	1	3	24
EIF3B	128	30	38	1	1	1	1	1	1	1	1		42	4	104	38	10	1		71	29	1		82	17	1		12	6	82		64	15	14	7		30	66	4		66	34		76	2	22		71	1	1	27
EIF3C	124	28	44	4	1	1	1	1	1	1	1		56	14	102	20	4	4		68	31	1		1	1	1		1	1	1		55	35	1	10		19	52	28		61	39		100	1	1		55	3	1	42
EIF3E	122	38	34	4	1	1	1	1	1	1	1		30	14	94	60	1	1		72	27	1		80	18	1		4	3	93		87	13	1	1		18	30	52		70	30		58	2	40		48	4	6	42
EIF3H	102	32	58	6	1	1	1	1	1	1	1		60	4	90	34	12	1		65	34	1		77	16	7		1	1	1		100	1	1	1		25	68	7		62	38		1	1	1		61	1	1	38
EIF3K	118	48	32	1	1	1	1	1	1	1	1		48	28	104	18	1	1		64	36	1		72	26	1		1	6	94		100	1	1	1		18	16	66		63	37		75	3	21		60	2	1	37
EIF4E	124	28	1	6	1	1	1	1	1	1	40		42	8	58	16	58	16		69	30	1		89	9	1		28	5	67		50	30	20	1		32	24	44		71	29		67	4	29		50	3	1	47
QARS	126	54	10	1	1	1	1	1	1	1	1		124	16	44	16	1	1		53	45	3		74	24	3		11	1	89		50	14	29	7		66	31	3		1	100		79	1	20		81	1	1	19
SEC23A	158	26	1	16	1	1	1	1	1	1	1		8	1	106	46	34	6		56	38	5		57	39	4		1	1	100		100	1	1	1		67	25	9		96	4		88	1	12		16	1	1	84
SRP68	200	1	1	1	1	1	1	1	1	1	1		20	26	94	44	14	4		20	73	7		42	57	1		1	1	98		60	18	22	1		9	44	47		24	76		63	1	36		22	1	1	77
MINK1	36	90	64	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		1	1	1		1	1	1		1	1	1	1		1	1	1		31	69		100	1	1		1	1	1	1
IGF2BP2	1	8	100	6	36	36	10	1	1	1	1		1	1	122	74	1	1		96	1	4		70	29	1		1	1	1		69	17	1	14		5	55	40		68	32		1	100	1		31	6	7	56
