Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
NME2	1	1	1	1	1	1	1	1	1	1	1		148	24	20	4	1	4		74	26	1		1	1	1		67	28	5		100	1	1	1		1	1	1		100	1		1	100	1		79	1	1	21
NSFL1C	1	1	1	1	1	1	1	1	1	1	1		134	36	28	1	1	4		89	11	1		69	30	1		88	8	4		100	1	1	1		23	14	64		97	3		71	1	29		80	1	1	20
OLA1	1	1	1	1	1	1	1	1	1	1	1		138	32	30	1	1	1		74	26	1		82	13	5		93	1	6		100	1	1	1		34	7	59		98	2		79	2	19		88	1	1	12
PAFAH1B2	1	1	1	1	1	1	1	200	1	1	1		124	66	10	1	1	1		72	28	1		85	13	1		87	4	9		100	1	1	1		45	6	49		99	1		92	1	7		84	1	1	16
PGM1	1	1	1	1	1	1	1	1	1	1	1		156	22	22	1	1	1		72	28	1		94	5	1		35	1	65		100	1	1	1		47	1	53		99	1		89	1	10		92	1	1	8
PITPNA	1	1	1	1	1	1	1	1	1	1	1		136	24	40	1	1	1		74	25	1		89	10	1		95	3	2		100	1	1	1		42	1	58		100	1		83	1	17		95	1	1	5
PPA1	1	1	1	1	1	1	1	1	1	1	1		128	8	64	1	1	1		66	34	1		93	6	1		86	5	9		100	1	1	1		45	5	50		100	1		73	1	26		88	1	1	12
PPIA	8	40	26	6	22	40	20	14	1	14	10		150	10	10	18	8	4		70	30	1		80	18	1		1	1	1		91	1	9	1		43	7	50		100	1		79	2	19		77	1	2	20
PPM1G	1	1	1	1	1	1	1	1	1	1	1		134	38	28	1	1	1		58	42	1		70	28	1		91	5	4		100	1	1	1		24	34	42		99	1		60	1	40		68	1	1	31
PPP1R7	1	1	1	1	1	1	1	1	1	1	1		118	68	14	1	1	1		87	13	1		66	31	3		38	5	57		100	1	1	1		22	2	76		100	1		91	1	9		85	1	1	15
