Gene	Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev
GOT1	154	14	32	1	1	1
GOT2	1	18	1	4	30	148
GPATCH4	10	56	98	36	1	1
GPD1L	116	32	18	12	20	1
GPD2	1	32	1	6	34	128
GPI	172	16	6	1	4	1
GPNMB	1	12	10	58	96	22
GPR84	1	1	1	116	82	1
GPT2	1	56	1	1	16	128
GPX1	122	42	36	1	1	1
GRB2	102	1	78	10	6	1
GRHPR	176	1	24	1	1	1
GRIPAP1	152	20	30	1	1	1
GRN	1	1	36	62	82	18
GRPEL1	1	42	1	1	16	140
GRSF1	1	18	1	1	98	86
GRWD1	70	72	30	26	1	1
GSK3B	26	1	72	34	44	22
GSN	176	6	10	6	1	1
GSPT1	140	34	26	1	1	1
GSR	130	26	10	1	6	24
GSS	160	28	12	1	1	1
GSTO1	148	40	12	1	1	1
GTF2E1	94	46	60	1	1	1
GTF2F1	40	32	108	14	8	1
GTF2I	10	164	4	1	1	22
GTPBP1	50	32	66	32	6	14
GTPBP4	12	114	48	18	1	6
GTPBP8	1	1	1	1	44	156
GUF1	1	52	1	1	56	90
GUSB	1	1	4	98	82	14
H2AFY	14	134	18	1	14	18
HADH	1	24	1	6	52	116
HADHA	1	18	1	6	50	126
HADHB	1	16	1	8	34	140
HAGH	126	36	26	1	4	10
HARS	78	36	20	8	52	6
HARS2	1	36	1	1	42	120
HAX1	1	40	1	1	50	110
HCCS	1	60	1	1	24	116
HCFC1	22	144	22	1	1	10
HCK	4	6	16	132	32	10
HCLS1	158	4	30	6	4	1
HDGF	142	14	42	1	1	1
HDHD3	1	52	1	1	1	148
HDLBP	22	18	52	34	48	26
HEATR1	12	156	14	6	1	12
HEATR3	96	86	20	1	1	1
HEATR5B	50	14	62	74	1	1
HEXA	1	4	8	88	90	8
HEXB	1	8	6	88	78	18
HGSNAT	1	1	1	96	86	18
HIBADH	1	28	1	1	32	136
HIBCH	1	22	1	1	28	144
HINT1	118	40	12	14	1	16
HINT2	1	1	1	1	116	84
HIST1H1A	8	130	24	8	14	16
HIST1H1B	1	84	58	14	34	6
HIST1H1C	1	80	32	22	56	10
HIST1H1D	1	98	1	8	92	1
HIST1H1E	1	66	8	16	104	4
HIST1H2BC	8	92	1	44	54	1
HIST1H2BH	6	100	6	42	40	6
HIST1H3A	10	36	20	1	76	58
HIST2H2AC	26	116	1	1	30	28
HK1	6	18	1	6	60	110
HK2	38	20	16	8	48	70
HK3	146	34	18	1	1	1
HLTF	22	36	114	28	1	1
HMGB2	4	6	42	52	88	8
HMGCL	1	30	16	10	42	104
HMHA1	160	1	12	20	8	1
HMOX2	1	24	18	54	80	22
HNRNPA0	12	104	36	12	24	14
HNRNPA2B1	14	92	86	1	1	8
HNRNPA3	20	116	30	6	16	12
HNRNPC	4	68	6	48	62	12
HNRNPD	34	122	28	8	4	4
HNRNPF	92	98	1	1	4	1
HNRNPH2	64	84	32	6	8	4
HNRNPK	52	48	66	24	4	4
HNRNPL	24	144	18	4	4	4
HNRNPLL	62	76	58	1	1	1
HNRNPM	32	148	8	1	4	4
HNRNPU	28	130	34	1	1	4
HNRNPUL1	76	48	54	6	12	4
HP1BP3	16	130	1	1	30	20
HPRT1	122	24	46	8	1	1
HSD17B10	1	46	1	4	34	118
HSD17B11	4	88	12	34	36	26
HSD17B12	1	26	32	38	68	34
HSD17B4	1	1	40	36	112	8
HSD17B7	1	14	8	78	86	16
HSDL1	1	74	1	6	40	78
HSP90AA1	122	54	10	10	4	1
HSP90AB1	130	28	8	24	4	6
HSP90B1	26	12	22	68	58	14
HSPA14	40	4	126	12	16	1
HSPA4	162	12	22	1	1	1
HSPA4L	100	12	88	1	1	1
HSPA5	20	16	16	54	76	18
HSPA8	76	52	24	18	18	12
HSPA9	1	20	1	6	32	140
HSPD1	1	16	1	6	28	148
HSPE1	1	10	1	6	30	150
HSPH1	134	22	38	4	1	1
HTATSF1	38	160	1	1	1	1
HTRA2	1	16	1	8	62	114
HUWE1	54	36	26	82	1	1
HYOU1	34	26	16	46	56	22
IARS	82	22	76	16	1	1
IARS2	1	34	1	4	54	108
ICAM1	1	1	14	138	46	4
IDE	110	16	66	1	4	1
IDH1	150	20	14	4	8	4
IDH2	1	18	1	8	30	140
IDH3A	1	48	1	4	30	120
IDH3B	6	14	1	4	54	122
IDH3G	1	22	1	4	60	114
IFI30	1	1	6	54	102	38
IFI35	22	6	126	34	10	1
IFI44	134	12	42	8	4	1
IFIH1	96	16	36	32	20	1
IFIT1	78	10	64	46	1	1
IFITM2	1	1	12	136	50	1
IFITM3	1	1	18	132	34	16
IGF2BP2	1	1	122	74	1	1
IGF2BP3	4	1	136	56	1	1
IGF2R	8	1	16	90	84	1
IGSF8	1	1	4	88	92	14
IK	36	54	104	1	1	6
IL1A	50	72	76	1	1	1
IL1RN	146	26	6	14	6	1
ILF2	30	112	26	12	1	18
ILF3	32	82	70	8	1	6
ILK	22	4	36	98	36	1
ILKAP	36	54	62	48	1	1
ILVBL	1	8	22	36	96	36
IMMT	1	28	1	1	44	128
IMP3	12	54	26	8	96	4
IMP4	20	124	24	18	1	14
IMPA1	140	52	8	1	1	1
IMPDH2	46	4	78	70	1	1
INPP5D	36	18	56	84	6	1
INPPL1	106	44	42	8	1	1
INTS12	1	172	1	1	1	26
INTS4	14	166	1	1	1	20
INTS6	50	110	1	1	6	34
IPO11	110	20	70	1	1	1
IPO4	134	22	42	1	1	1
IPO5	160	14	22	6	1	1
IPO7	106	78	8	6	1	1
IQGAP1	30	4	12	52	92	12
IQGAP2	76	1	38	66	20	1
IRF2BP2	72	100	1	1	1	28
IRF5	158	42	1	1	1	1
IRG1	1	8	1	8	42	140
IRGM	8	4	28	108	48	4
ISCA2	1	12	1	1	54	136
ISG20L2	22	128	1	1	1	50
ISY1	70	104	26	1	1	1
ISYNA1	176	6	18	1	1	1
ITGA4	1	1	28	140	30	1
ITGA5	1	1	1	142	58	1
ITGAV	1	1	8	128	46	18
ITGB1	1	1	8	136	56	1
ITGB2	1	4	8	134	48	6
IVD	1	22	1	26	74	78
JAK1	1	1	18	124	60	1
KARS	50	8	28	8	76	30
KBTBD11	90	84	26	1	1	1
KCNAB2	10	8	104	46	28	6
KCTD12	80	12	74	28	4	1
KDELR1	1	1	16	88	94	1
KHDRBS1	6	156	10	6	12	12
KHSRP	124	38	30	6	1	1
KIAA0020	20	160	6	1	1	14
KIF2A	42	54	72	24	1	8
KIF5B	84	8	30	10	48	20
KIFC1	40	150	1	1	1	12
KLC2	102	1	32	1	52	14
KMT2D	8	92	1	44	56	1
KPNA6	98	102	1	1	1	1
KPNB1	140	30	24	1	1	1
KRAS	1	1	1	138	62	1
KRR1	4	38	94	54	1	10
KRT1	1	60	8	18	82	28
KRT6A	1	56	10	70	50	14
KRT76	12	10	50	80	46	1
KTI12	74	8	16	40	60	1
KTN1	4	36	30	38	74	18
L2HGDH	1	34	1	8	68	92
LACTB2	80	12	6	4	66	32
LAMP1	1	12	12	114	52	10
LAMP2	1	1	18	132	48	4
LAP3	16	20	1	6	28	128
LARP1	72	4	110	10	1	1
LARP4B	16	14	100	60	6	4
LARP7	66	52	76	1	1	1
LARS	114	52	32	1	1	1
LARS2	1	28	1	1	70	104
LAS1L	24	96	70	1	1	10
LASP1	148	22	6	20	4	1
LBR	1	80	18	28	50	22
LCP1	76	6	8	90	20	1
LCP2	90	64	22	22	1	1
LDHA	172	12	6	6	1	1
LETM1	1	44	1	8	26	122
LGALS1	144	38	4	10	4	1
LGALS3	58	12	22	34	66	8
LGALS3BP	1	1	16	122	54	4
LGALS8	1	1	26	144	26	4
LGALS9	8	14	50	106	24	1
LGMN	14	1	42	86	50	6
LIAS	1	28	1	1	76	98
LIG1	112	28	60	1	1	1
LIG3	8	172	10	1	8	4
LILRB4	1	1	4	136	56	1
LIMD2	16	158	10	4	1	12
LIMS1	10	1	70	90	28	1
LMAN1	6	4	32	96	60	4
LMAN2	1	4	6	18	146	26
LMBRD2	1	1	1	108	92	1
LMF2	1	1	28	82	66	22
LMNA	4	158	8	1	14	14
LMNB1	4	164	4	4	8	14
LMNB2	6	116	1	1	56	22
LNPEP	1	6	8	38	18	130
LONP1	1	14	1	8	54	122
LPCAT4	1	46	12	24	62	54
LPXN	96	20	38	34	12	1
LRBA	132	22	46	1	1	1
LRCH1	32	1	84	84	1	1
LRCH4	14	14	64	76	24	8
LRMP	1	1	18	86	94	1
LRP1	1	1	18	112	64	4
LRPPRC	1	12	1	8	34	144
LRRC40	52	14	132	1	1	1
LRRC47	70	22	56	52	1	1
LRRC59	1	14	46	56	60	24
LRRFIP1	166	16	18	1	1	1
LSM12	50	1	116	34	1	1
LSM14A	70	32	88	10	1	1
LSM2	8	192	1	1	1	1
LSM3	48	122	14	6	1	8
LSM8	42	120	30	4	1	4
LSP1	46	34	8	62	22	28
LSS	1	20	10	44	106	18
LTA4H	124	10	66	1	1	1
LTV1	94	6	92	8	1	1
LUC7L	22	72	44	22	1	40
LUC7L2	32	14	72	60	18	1
LUZP1	20	1	106	74	1	1
LY9	1	1	1	126	66	4
LYAR	10	134	24	14	1	18
LYN	1	1	14	124	60	1
LYZ	1	1	30	52	94	22
M6PR	4	1	46	98	52	1
MACF1	12	20	24	10	80	52
MAD1L1	38	156	1	1	1	6
MAK16	6	156	4	1	1	30
MALT1	34	34	1	90	42	1
MAN2A1	1	10	40	74	62	14
MAN2B1	1	1	12	48	76	64
MAOA	1	46	1	1	42	112
MAP2K1	136	14	30	8	8	4
MAP4	92	1	94	12	1	1
MAP4K4	1	1	1	116	70	14
MAPK14	104	42	54	1	1	1
MAPK9	154	46	1	1	1	1
MAPRE1	114	14	72	1	1	1
MAPRE2	138	44	18	1	1	1
MARCKS	88	1	12	66	34	1
MARCKSL1	10	1	4	126	48	8
MARK2	1	1	58	92	48	1
MARS	90	22	60	16	10	4
MAT2A	148	32	16	1	1	6
MAT2B	126	20	54	1	1	1
MATR3	6	162	4	4	1	24
MBD2	42	158	1	1	1	1
MCCC1	1	22	1	1	100	76
MCCC2	1	24	1	14	78	86
MCEE	1	1	1	1	46	154
MCL1	1	42	1	1	72	86
MCM2	114	70	14	1	1	1
MCM3	78	30	56	32	1	1
MCM4	60	86	16	1	1	38
MCM5	66	86	28	14	1	1
MCM6	78	110	12	1	1	1
MCM7	78	62	58	1	1	1
MDH1	170	10	12	1	1	1
MDH2	1	20	1	8	28	140
ME2	1	14	1	4	38	142
MECR	1	20	1	12	78	92
MED15	60	108	1	1	1	32
METAP1	64	1	72	36	28	1
METAP2	68	20	84	28	1	1
MFN1	1	48	1	1	76	76
MFN2	1	80	1	1	44	78
MFSD1	1	1	12	130	58	1
MGAT1	1	62	1	68	40	30
MGEA5	118	72	8	1	1	1
MIA3	1	1	4	80	102	14
MICALL2	1	1	100	100	1	1
MICU2	1	48	1	1	46	104
MIF	174	8	12	6	1	1
MIPEP	1	66	1	1	16	118
MKI67	22	120	6	4	1	48
MLLT4	1	1	20	134	42	1
MNAT1	80	120	1	1	1	1
MOB1A	90	10	20	72	8	1
MOCS3	26	80	74	1	1	20
MOGS	1	8	16	52	108	18
MORC3	10	164	1	1	1	26
MOV10	6	1	112	78	4	1
MPEG1	1	1	4	56	102	34
MPHOSPH10	10	44	68	1	1	78
MPP1	12	30	22	92	28	14
MPP6	1	1	10	128	56	4
MPST	46	28	18	6	34	66
MRE11A	14	106	1	1	50	26
MRPL1	1	38	1	1	38	124
MRPL11	1	60	1	1	26	114
MRPL12	1	50	1	1	28	122
MRPL13	1	46	1	14	44	96
MRPL14	1	12	1	1	36	152
MRPL15	1	14	1	1	58	126
MRPL16	1	42	1	6	42	110
MRPL18	4	50	1	1	16	132
MRPL19	1	40	1	4	38	118
MRPL2	12	50	1	1	20	118
MRPL21	1	42	1	1	62	96
MRPL22	1	78	1	8	16	98
MRPL23	1	18	1	14	96	70
MRPL24	1	30	1	1	108	62
MRPL3	1	48	1	1	30	120
MRPL37	1	22	1	4	70	104
MRPL38	1	30	1	26	34	112
MRPL39	1	18	1	4	60	116
MRPL4	1	18	1	1	94	88
MRPL40	1	56	1	1	22	122
MRPL41	1	76	1	1	18	106
MRPL44	1	8	1	1	84	110
MRPL45	1	36	1	1	74	90
MRPL46	1	50	1	1	20	128
MRPL47	1	32	1	1	42	126
MRPL49	1	32	1	1	70	98
MRPL50	1	1	1	1	90	108
MRPL53	1	70	1	1	32	98
MRPL9	1	46	1	1	52	102
MRPS10	1	62	1	1	16	122
MRPS11	1	26	1	1	46	124
MRPS16	1	66	1	1	1	132
MRPS17	1	1	1	1	76	124
MRPS18A	1	82	1	1	18	100
MRPS2	1	40	1	4	20	136
MRPS21	1	42	1	1	38	118
MRPS22	1	50	1	1	24	124
MRPS23	1	32	1	1	18	146
MRPS25	1	116	1	1	6	78
MRPS26	1	34	1	10	42	114
MRPS27	1	16	1	1	50	132
MRPS30	1	52	1	10	30	106
MRPS31	1	66	1	1	50	82
MRPS34	1	44	1	1	32	124
MRPS35	1	56	1	1	32	110
MRPS36	1	52	1	1	46	102
MRPS5	1	32	1	8	72	88
MRPS7	4	40	1	1	42	114
MRPS9	1	60	1	1	54	86
MRRF	1	74	1	1	1	124
MRTO4	16	80	82	6	1	16
MSH6	44	56	74	18	6	1
MSI2	4	1	146	50	1	1
MSN	8	1	14	152	26	1
MSR1	1	1	1	120	70	1
MSTO1	130	38	32	1	1	1
MTA2	10	160	8	1	1	20
MTA3	8	180	1	1	1	12
MTAP	152	32	16	1	1	1
MT-ATP8	1	46	6	8	1	140
MTCH2	1	8	1	12	72	106
MT-CO1	1	22	1	10	26	140
MT-CO2	1	18	1	4	24	152
MT-CO3	1	8	1	32	68	92
MTDH	1	34	28	36	70	28
MTHFD1	18	10	66	54	50	1
MTHFD1L	1	20	1	10	24	144
MTHFD2	1	36	4	6	28	124
MTIF2	1	74	1	1	62	64
MT-ND1	1	50	1	1	22	128
MT-ND2	1	96	1	1	48	56
MT-ND4	1	70	1	12	28	88
MT-ND5	1	12	1	1	90	96
MTPAP	1	14	1	1	98	88
MTPN	96	74	30	1	1	1
MTX1	1	26	1	12	64	98
MTX2	1	68	1	1	34	98
MUT	1	60	1	8	16	116
MVD	144	56	1	1	1	1
MVP	22	4	56	112	6	1
MYADM	4	1	10	58	114	12
MYBBP1A	4	128	46	12	1	6
MYEF2	20	174	1	1	1	8
MYH14	142	30	28	1	1	1
MYH9	146	18	22	8	4	1
MYL6	102	16	10	44	26	4
MYO19	1	20	1	1	56	124
MYO1C	4	6	10	50	116	14
MYO1E	32	22	26	94	24	1
MYO1F	82	22	8	66	20	1
MYO1G	1	6	10	100	74	10
MYO5A	24	36	70	60	8	1
MYO9B	78	72	50	1	1	1
NAA40	14	104	16	18	10	38
NAA50	126	1	72	1	1	1
NACA	118	20	32	30	1	1
NAE1	144	1	56	1	1	1
NAGLU	14	16	10	104	54	4
NAGPA	1	1	34	86	58	22
NAMPT	160	14	26	1	1	1
NANS	98	52	42	4	1	1
NAP1L1	142	46	1	6	4	1
NAP1L4	130	66	1	1	1	1
NAPA	32	22	54	54	30	6
NAPG	44	4	62	52	34	4
NARS	144	16	36	1	1	1
NASP	158	20	22	1	1	1
NAT10	18	90	48	34	8	4
NCAPD2	16	86	36	34	8	22
NCAPG	28	12	108	44	6	1
NCAPH	38	44	84	6	26	1
NCBP1	72	84	22	22	1	1
NCF1	26	10	58	76	24	6
NCF2	86	12	46	44	8	4
NCF4	122	50	16	1	1	12
NCKAP1L	12	4	70	78	36	1
NCL	28	74	80	8	6	1
NCLN	1	10	6	20	118	46
NCOA5	16	172	1	1	1	14
NCOR1	24	156	1	1	1	20
NCOR2	30	154	1	1	1	18
NCSTN	1	1	16	120	60	4
NDC1	1	38	20	56	74	14
NDRG1	62	6	24	76	30	1
NDRG2	140	38	20	1	1	1
NDUFA10	1	26	1	4	66	104
NDUFA13	1	56	1	1	16	124
NDUFA2	1	72	1	1	42	86
NDUFA3	1	16	1	1	60	124
NDUFA4	1	18	1	10	26	144
NDUFA7	1	20	1	1	46	134
NDUFA9	1	22	1	1	38	138
NDUFAB1	1	42	1	1	36	120
NDUFB11	1	1	1	1	74	124
NDUFB6	1	26	1	1	32	142
NDUFB9	1	110	1	1	1	90
NDUFS1	1	26	1	6	42	124
NDUFS2	1	28	1	6	50	114
NDUFS3	1	14	1	1	44	138
NDUFS4	1	62	1	20	16	102
NDUFS6	1	32	1	1	106	62
NDUFS7	1	32	1	10	72	84
NDUFS8	1	58	1	1	26	116
NDUFV1	1	42	1	4	46	108
NDUFV2	1	20	1	4	62	112
NECAP2	74	1	20	70	34	1
NEDD8	102	42	50	1	1	8
NEMF	34	26	56	38	36	8
NEU1	1	56	6	66	46	28
NFKB1	60	56	50	32	1	1
NFKB2	86	90	24	1	1	1
NFS1	4	32	1	4	30	130
NFU1	1	92	1	1	10	96
NGDN	4	92	68	32	1	4
NHP2	4	72	64	38	12	10
NIFK	12	106	42	28	1	12
NIPBL	22	178	1	1	1	1
NIPSNAP1	1	48	1	8	42	102
NIPSNAP3B	1	82	1	1	22	94
NISCH	108	28	64	1	1	1
NIT2	62	10	22	6	10	90
NKRF	1	194	1	1	1	4
NLE1	72	80	36	12	1	1
NME2	148	24	20	4	1	4
NMI	28	1	122	48	1	1
NMRAL1	108	80	6	1	4	1
NMT1	26	6	54	26	50	36
NNT	1	50	1	4	16	130
NOB1	38	22	96	44	1	1
NOC2L	10	116	38	30	1	6
NOC3L	12	106	62	20	1	1
NOC4L	6	172	14	1	4	1
NOL10	26	164	8	1	1	1
NOL11	14	154	14	8	1	12
NOL6	24	132	18	14	1	10
NOL8	18	82	52	48	1	1
NOLC1	4	72	88	24	8	4
NOMO1	1	18	34	50	74	22
NONO	8	160	14	6	1	10
NOP14	12	166	10	1	1	10
NOP2	4	160	18	10	1	8
NOP56	6	130	38	12	1	12
NOP58	14	112	50	6	1	18
NOS2	106	48	8	28	10	1
NPC2	1	6	1	96	96	1
NPEPPS	138	16	24	1	8	12
NPLOC4	80	50	70	1	1	1
NPM1	38	40	116	4	1	1
NPM3	84	22	92	1	1	1
NPTN	1	1	6	144	48	1
NRD1	110	50	40	1	1	1
NSDHL	1	18	8	74	90	10
NSF	8	12	58	84	32	4
NSFL1C	134	36	28	1	1	4
NSUN2	88	78	28	4	1	1
NSUN5	20	88	92	1	1	1
NT5DC2	1	24	1	4	40	132
NT5DC3	1	48	1	14	40	96
NUBP2	96	70	4	1	1	30
NUCB1	34	1	38	78	30	16
NUCB2	24	1	16	68	78	14
NUCKS1	106	66	26	1	1	1
NUDC	174	6	20	1	1	1
NUDCD2	136	64	1	1	1	1
NUDT13	1	1	1	1	34	166
NUDT5	176	8	16	1	1	1
NUDT7	22	1	136	18	20	4
NUFIP2	14	1	86	84	14	1
NUMA1	16	156	10	6	1	10
NUP133	12	156	12	1	1	22
NUP153	20	164	1	1	1	16
NUP155	18	150	14	10	4	4
NUP160	22	172	4	1	1	1
NUP205	48	54	54	40	1	4
NUP210	6	100	4	8	36	46
NUP214	50	60	76	1	1	12
NUP35	8	168	4	1	10	10
NUP43	24	122	28	10	4	12
NUP62	26	104	12	8	1	50
NUP93	24	152	4	4	1	16
NUP98	26	150	1	1	4	20
NVL	38	150	1	1	1	12
NXF1	14	98	20	34	4	32
OAS3	22	1	102	34	36	4
OAT	1	8	1	1	40	150
OGDH	1	12	1	4	80	102
OGT	24	96	30	44	1	6
OLA1	138	32	30	1	1	1
OPA1	1	32	1	1	74	94
ORC1	6	166	1	1	1	28
ORC3	32	140	1	1	1	28
ORC5	16	164	1	1	1	18
OS9	1	1	34	58	82	24
OSBP	82	40	46	32	1	1
OSBPL8	1	12	8	74	86	20
OTUD4	62	1	106	32	1	1
OXA1L	1	82	1	12	18	88
OXCT1	6	26	8	38	48	74
OXSR1	94	54	52	1	1	1
P4HA1	4	1	60	60	74	1
P4HB	34	8	10	46	88	14
PA2G4	44	8	68	38	38	4
PABPC1	28	6	110	26	24	4
PABPN1	52	106	28	10	1	4
PAF1	46	120	1	1	1	34
PAFAH1B1	146	34	20	1	1	1
PAFAH1B2	124	66	10	1	1	1
PAICS	86	46	20	22	18	4
PAK1	74	1	60	62	1	1
PAK1IP1	30	88	62	8	6	8
PAK2	154	12	32	1	1	1
PARD3B	1	1	8	122	68	1
PARK7	138	14	16	10	12	10
PARN	54	48	100	1	1	1
PARP1	10	136	16	14	14	10
PARP14	12	38	80	52	14	4
PARP9	12	4	96	70	18	1
PARS2	1	1	68	44	70	14
PARVG	8	1	36	118	34	1
PBRM1	10	92	1	1	84	14
PBXIP1	1	1	12	24	106	58
PC	1	16	1	1	42	142
PCBP1	78	54	38	10	6	18
PCBP2	76	6	90	20	6	1
PCCA	1	48	1	1	24	122
PCCB	1	26	1	1	66	106
PCK2	1	14	1	8	56	122
PCM1	50	1	98	52	1	1
PCMT1	152	36	12	1	1	1
PCNA	152	26	20	1	1	1
PCYOX1	1	100	1	26	26	46
PDAP1	116	24	14	36	10	1
PDCD10	62	38	38	62	1	1
PDCD11	6	168	10	1	1	12
PDCD6IP	110	12	56	18	1	1
PDE2A	1	50	1	1	48	100
PDHA1	1	22	1	4	20	154
PDHB	1	34	1	6	32	128
PDHX	1	12	16	64	48	60
PDIA3	16	12	16	54	82	18
PDIA4	30	6	40	60	54	10
PDIA5	1	1	58	34	78	30
PDK1	1	42	1	1	44	114
PDK3	1	28	1	14	28	128
PDLIM5	40	30	24	28	68	12
PDS5A	8	150	8	6	4	22
PDXDC1	76	38	20	1	1	66
PDXK	128	60	14	1	1	1
PDZD8	1	1	30	44	98	28
PEBP1	162	18	14	4	1	1
PES1	16	140	26	8	1	12
PEX1	1	1	116	64	14	6
PEX11B	1	1	44	42	90	24
PEX14	12	1	114	42	32	1
PEX16	6	1	82	30	76	6
PFAS	90	24	86	1	1	1
PFKL	76	88	14	10	8	4
PFKP	82	56	24	18	14	8
PFN1	162	20	4	8	4	1
PGAM1	168	16	8	1	4	1
PGAM5	1	10	4	4	40	144
PGD	146	12	24	8	4	6
PGK1	168	14	8	4	6	1
PGLS	134	46	16	1	1	1
PGM1	156	22	22	1	1	1
PGM3	178	10	12	1	1	1
PGRMC1	1	18	14	76	86	4
PGRMC2	1	18	30	80	64	8
PGS1	1	70	1	1	26	104
PHF3	62	128	1	1	1	10
PHF5A	12	170	6	4	1	8
PHGDH	164	20	6	4	1	4
PHYH	1	1	30	36	106	28
PI4K2A	1	1	12	94	82	14
PICALM	34	1	84	60	20	1
PIGK	1	24	20	90	58	8
PIGS	1	1	50	86	58	4
PIGU	1	32	8	38	52	72
PIK3AP1	116	22	62	1	1	1
PIK3C2A	8	1	116	76	1	1
PIK3R4	46	12	44	56	32	10
PISD	1	32	1	1	60	108
PITPNA	136	24	40	1	1	1
PITRM1	1	32	1	8	64	96
PKN1	122	34	44	1	1	1
PLA2G4A	142	30	14	4	4	6
PLAA	130	14	56	1	1	1
PLCB3	4	1	16	138	40	1
PLCB4	1	1	26	128	46	1
PLCG2	138	26	28	8	1	1
PLD3	1	1	8	62	100	30
PLD4	18	1	14	82	72	12
PLEC	42	24	72	32	22	8
PLEK	66	14	28	76	12	1
PLOD1	12	8	36	78	56	12
PLOD3	8	6	12	24	122	26
PLP2	1	1	1	136	62	1
PLRG1	16	148	1	1	1	34
PLS3	36	1	8	84	70	1
PLXNB2	1	1	4	96	82	16
PMM2	156	10	34	1	1	1
PMPCA	1	38	1	4	52	106
PMPCB	1	48	1	1	24	126
PMVK	168	30	1	1	1	1
PNKP	4	82	52	52	1	10
PNN	20	172	4	1	1	1
PNO1	1	174	1	1	1	26
POGZ	28	144	1	1	1	28
POLA2	124	50	26	1	1	1
POLD1	114	16	70	1	1	1
POLDIP2	1	12	1	16	38	136
POLDIP3	16	80	62	24	1	16
POLR1C	26	48	8	1	100	18
POLR1E	24	128	6	4	1	38
POLR2A	60	104	26	1	1	8
POLR2B	20	146	1	1	1	34
POLR2C	90	110	1	1	1	1
POLR2E	38	64	58	14	1	28
POLR2G	50	140	1	1	1	10
POLR2H	114	36	50	1	1	1
POLRMT	1	48	1	1	34	118
PON2	8	6	52	38	62	32
PON3	1	6	22	32	104	36
POP1	20	82	80	18	1	1
POR	6	58	18	52	44	24
PPA1	128	8	64	1	1	1
PPA2	1	20	1	1	110	68
PPAN	26	64	102	4	1	4
PPAT	88	20	92	1	1	1
PPIA	150	10	10	18	8	4
PPID	144	26	22	6	4	1
PPIF	1	28	1	4	28	140
PPIG	26	124	20	6	1	24
PPM1B	168	32	1	1	1	1
PPM1F	178	22	1	1	1	1
PPM1G	134	38	28	1	1	1
PPOX	1	60	1	1	40	100
PPP1CA	64	72	18	32	10	4
PPP1CB	56	66	18	62	1	1
PPP1R7	118	68	14	1	1	1
PPP1R8	36	160	1	1	1	4
PPP2CA	88	48	38	24	1	1
PPP2R1A	90	20	18	42	28	1
PPP2R2A	130	14	40	1	10	4
PPP2R4	104	56	40	1	1	1
PPP2R5D	116	42	42	1	1	1
PPP4R2	130	42	30	1	1	1
PPP5C	174	1	26	1	1	1
PPP6R1	148	1	50	1	1	1
PPP6R3	132	20	46	1	1	1
PPT1	1	1	12	98	64	24
PQBP1	34	56	1	1	1	110
PRDX1	36	38	34	56	22	14
PRDX2	130	30	14	10	16	1
PRDX3	1	34	1	8	16	142
PRDX4	10	64	20	62	20	26
PRDX5	10	18	6	8	30	128
PRDX6	134	48	12	6	1	1
PREB	1	16	38	90	50	6
PREP	132	50	6	1	8	4
PRIM1	112	46	42	1	1	1
PRIM2	148	52	1	1	1	1
PRKACB	90	38	8	56	8	1
PRKAR1A	132	58	10	1	1	1
PRKCD	136	28	34	1	1	1
PRKCSH	38	4	42	70	40	8
PRMT1	144	42	12	1	1	1
PRMT5	108	24	68	1	1	1
PROSC	84	26	16	1	1	72
PRPF19	10	158	16	1	1	10
PRPF3	28	128	22	1	1	20
PRPF31	88	48	62	1	1	1
PRPF38A	18	124	28	14	1	16
PRPF4	22	132	26	6	1	12
PRPF40A	60	80	50	1	1	8
PRPF4B	22	128	18	22	1	12
PRPF6	18	120	46	6	1	10
PRPF8	12	124	32	16	1	14
PRPS1	70	130	1	1	1	1
PRPSAP1	142	50	10	1	1	1
PRPSAP2	118	68	16	1	1	1
PRRC2A	66	62	62	8	1	1
PSAT1	156	30	4	4	1	6
PSIP1	10	162	1	1	1	30
PSMA1	84	32	46	36	1	1
PSMA2	100	56	38	6	1	1
PSMA3	132	48	10	8	1	1
PSMA4	132	42	26	1	1	1
PSMA6	76	44	44	24	1	12
PSMA7	132	30	22	10	4	4
PSMB1	126	44	18	10	1	1
PSMB10	116	32	48	1	1	1
PSMB2	112	38	28	20	1	1
PSMB3	94	64	30	12	1	1
PSMB4	46	32	50	66	1	6
PSMB5	96	22	76	6	1	1
PSMB6	158	10	30	1	1	1
PSMB7	98	20	66	18	1	1
PSMB8	116	34	40	6	1	1
PSMB9	116	24	62	1	1	1
PSMC1	108	64	16	8	1	4
PSMC2	128	42	20	8	1	1
PSMC4	104	58	26	10	1	1
PSMC5	106	50	28	10	1	4
PSMC6	108	66	14	6	1	4
PSMD1	102	46	38	12	1	1
PSMD10	134	38	28	1	1	1
PSMD11	120	48	24	4	1	4
PSMD12	110	66	12	8	1	4
PSMD13	84	30	38	46	1	1
PSMD14	114	34	40	6	1	8
PSMD2	124	22	46	6	1	1
PSMD3	90	58	42	6	1	1
PSMD4	92	50	52	1	1	6
PSMD5	124	24	52	1	1	1
PSMD6	100	42	54	6	1	1
PSMD7	92	60	20	1	14	10
PSMD8	84	82	22	12	1	1
PSMD9	142	28	32	1	1	1
PSME1	118	72	10	1	1	1
PSME2	102	78	14	6	1	1
PSME3	68	8	24	1	88	12
