Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
EBNA1BP2	1	100	1
EBP	3	12	84
ECD	100	1	1
ECE1	1	1	100
ECE2	100	1	1
ECH1	1	3	96
ECHDC1	73	1	27
ECHS1	1	14	86
ECM1	100	1	1
ECM29	88	1	12
ECSIT	1	30	70
ECT2	1	47	53
EDC3	77	1	23
EDC4	64	3	33
EDEM3	1	1	100
EDF1	63	7	30
EDRF1	100	1	1
EEA1	32	1	68
EED	1	99	1
EEF1A1	69	3	28
EEF1B2	75	1	23
EEF1D	1	100	1
EEF1E1	74	3	23
EEF1G	67	1	32
EEF2	82	2	17
EEFSEC	20	1	80
EFEMP1	1	1	100
EFHD2	90	1	10
EFTUD1	90	1	10
EFTUD2	45	36	19
EGFR	7	8	86
EHD1	93	1	7
EHD2	94	1	6
EHD4	89	1	11
EI24	1	1	100
EIF1	94	2	4
EIF1AD	81	7	12
EIF1AX	64	7	28
EIF1B	3	1	96
EIF2A	1	100	1
EIF2AK2	62	16	22
EIF2AK4	89	1	11
EIF2B1	75	1	25
EIF2B2	76	1	24
EIF2B3	65	1	35
EIF2B4	83	1	17
EIF2B5	85	1	15
EIF2S1	63	9	28
EIF2S2	59	12	29
EIF2S3	68	7	25
EIF3A	74	3	23
EIF3B	76	2	22
EIF3C	100	1	1
EIF3CL	1	3	97
EIF3D	68	1	30
EIF3E	58	2	40
EIF3G	62	3	36
EIF3I	69	3	28
EIF3J	57	2	41
EIF3K	75	3	21
EIF3M	79	1	19
EIF4A1	78	2	20
EIF4A2	76	1	24
EIF4A3	41	18	41
EIF4B	80	2	18
EIF4E	67	4	29
EIF4E2	80	1	19
EIF4EBP1	100	1	1
EIF4EBP2	99	1	1
EIF4G1	5	1	95
EIF4G2	72	1	27
EIF4G3	32	1	68
EIF4H	79	1	20
EIF5	76	3	21
EIF5A	71	3	27
EIF5B	65	3	32
EIF6	30	56	14
ELAC2	71	1	29
ELAVL1	8	88	4
ELMO2	100	1	1
ELMOD2	1	1	100
ELOF1	1	100	1
ELOVL1	1	1	100
ELOVL5	50	50	1
ELP2	88	1	12
ELP3	96	1	4
ELP4	100	1	1
EMC1	1	2	98
EMC10	50	50	1
EMC2	1	12	88
EMC3	1	11	89
EMC4	1	1	100
EMC6	1	1	100
EMC7	1	1	100
EMC8	1	10	90
EMD	1	78	22
EMG1	14	75	11
EMILIN1	1	100	1
EML2	99	1	1
EML4	82	1	18
ENAH	95	1	5
ENDOD1	1	1	100
ENDOG	1	1	100
ENG	33	18	50
ENGASE	1	100	1
ENO1	71	1	28
ENO2	100	1	1
ENO3	98	1	2
ENOPH1	91	1	9
ENOSF1	100	1	1
ENY2	1	43	57
EP300	50	50	1
EP400	1	100	1
EPB41L1	70	1	30
EPB41L2	76	1	24
EPHA2	1	83	17
EPHB4	1	1	100
EPHX1	1	3	97
EPPK1	4	88	8
EPRS	81	1	18
EPS15	33	1	67
EPS15L1	67	1	33
EPS8L2	98	1	2
ERAL1	1	11	89
ERAP1	1	1	99
ERBB2	1	1	100
ERBB2IP	57	1	43
ERC1	89	1	11
ERCC4	1	1	100
ERCC5	1	1	100
ERCC6	1	61	39
ERCC6L	84	1	16
ERGIC1	1	14	85
ERGIC2	1	1	100
ERGIC3	50	50	1
ERH	11	83	6
ERI1	42	1	58
ERLIN1	1	1	100
ERLIN2	1	5	95
ERMP1	1	5	95
ERO1L	4	15	81
ERP29	28	4	68
ERP44	1	3	97
ESD	76	1	24
ESF1	1	100	1
ESPL1	100	1	1
ESPN	1	1	100
ESRP2	100	1	1
ETF1	72	2	26
ETFA	1	6	93
ETFB	14	21	65
ETFDH	1	1	100
ETHE1	1	1	100
ETNK1	100	1	1
EVI5L	1	100	1
EVL	87	1	13
EVPL	100	1	1
EWSR1	45	10	44
EXOC1	87	1	13
EXOC2	84	1	16
EXOC3	98	1	2
EXOC4	92	1	8
EXOC5	100	1	1
EXOC6	100	1	1
EXOC6B	100	1	1
EXOC7	100	1	1
EXOC8	100	1	1
EXOSC1	11	82	6
EXOSC10	1	100	1
EXOSC2	9	79	12
EXOSC3	1	99	1
EXOSC4	16	72	12
EXOSC5	1	100	1
EXOSC6	1	99	1
EXOSC7	1	93	7
EXOSC8	1	97	3
EXOSC9	17	76	8
EXTL2	1	1	100
EZH2	1	100	1
EZR	86	1	13
F10	100	1	1
F11R	1	1	100
F8A1	100	1	1
FABP3	74	1	26
FABP5	98	1	2
FADD	1	1	100
FAF1	92	1	8
FAF2	1	11	89
FAH	86	1	14
FAHD1	16	2	82
FAHD2A	50	1	50
FAIM	72	1	28
FAM103A1	1	1	100
FAM107B	68	1	32
FAM114A1	100	1	1
FAM114A2	85	1	15
FAM115A	81	1	19
FAM118B	10	1	90
FAM120A	83	1	16
FAM127A	94	1	6
FAM127A	94	1	6
FAM127B	100	1	1
FAM129A	71	1	29
FAM134C	1	1	100
FAM136A	1	1	100
FAM160B1	1	1	100
FAM160B2	100	1	1
FAM162A	1	29	71
FAM173A	1	1	100
FAM175B	51	1	49
FAM207A	71	26	3
FAM208A	1	100	1
FAM210A	1	1	100
FAM210B	1	1	100
FAM21A	75	1	25
FAM3C	1	1	100
FAM49B	77	1	23
FAM50A	36	1	63
FAM58A	1	100	1
FAM65A	100	1	1
FAM76B	1	100	1
FAM83D	100	1	1
FAM91A1	56	1	44
FAM96A	58	1	42
FAM96B	80	1	20
FAM98A	60	33	7
FAM98B	1	69	31
FANCA	96	1	4
FANCD2	41	23	36
FANCE	1	100	1
FANCI	76	4	21
FAR1	1	1	100
FARP1	68	1	32
FARS2	1	16	84
FARSA	91	2	8
FARSB	73	3	25
FAS	1	1	100
FASN	92	1	7
FASTKD2	1	49	51
FASTKD3	1	1	100
FASTKD5	1	1	100
FAT1	1	46	54
FAU	77	8	15
FAU	77	8	15
FBL	1	100	1
FBXL18	89	1	11
FBXL20	1	1	100
FBXL8	87	1	13
FBXO10	50	50	1
FBXO11	1	1	100
FBXO22	64	1	34
FBXO28	1	100	1
FBXO7	95	1	5
FBXW11	1	100	1
FCF1	1	100	1
FCHO2	48	1	52
FDFT1	1	1	100
FDPS	72	1	28
FDX1	1	1	100
FDXR	1	1	100
FEM1B	18	1	82
FEN1	61	2	37
FERMT1	100	1	1
FERMT2	93	1	7
FGG	100	1	1
FH	40	1	60
FHL2	49	7	44
FHOD1	93	1	7
FIBP	45	1	55
FIGNL1	1	100	1
FIP1L1	1	100	1
FIS1	62	6	33
FKBP10	1	4	96
FKBP15	90	1	10
FKBP2	13	2	86
FKBP3	84	2	14
FKBP4	86	1	13
FKBP5	57	1	42
FKBP8	1	1	100
FKBP9	1	1	100
FLAD1	77	1	23
FLCN	100	1	1
FLG	100	1	1
FLG2	61	31	8
FLII	74	5	22
FLNA	77	2	21
FLNB	66	9	26
FLNC	79	1	21
FLOT1	1	63	37
FLOT2	1	94	6
FLYWCH2	66	1	34
FMNL1	86	1	14
FMNL2	97	1	3
FMR1	46	53	1
FN3KRP	30	1	70
FNBP1L	80	1	20
FNBP4	1	83	17
FNDC3A	1	1	100
FNDC3B	1	1	100
FNTA	97	1	3
FNTB	96	1	4
FOCAD	91	1	9
FOLR1	7	85	8
FOXRED1	1	1	100
FPGT	91	1	9
FRG1	1	93	7
FRYL	95	1	5
FSCN1	87	1	12
FTH1	62	13	25
FTL	57	24	19
FTO	83	1	17
FTSJ1	91	1	9
FTSJ3	1	100	1
FUBP1	60	7	33
FUBP3	13	63	24
FUK	100	1	1
FUNDC2	1	4	96
FUS	13	76	11
FXN	1	1	100
FXR1	28	9	63
FXR2	25	53	23
FYCO1	1	1	100
FYN	1	100	1
FYTTD1	1	100	1
G3BP1	78	9	14
G3BP2	73	14	12
G6PD	92	1	8
GAA	1	1	100
GABARAP	100	1	1
GABARAPL1	89	1	11
GABARAPL2	28	19	52
GABPA	1	1	100
GADD45GIP1	1	21	79
GAK	89	1	11
GALE	86	1	14
GALK1	86	1	14
GALK2	77	1	23
GALM	88	1	12
GALNT1	1	1	100
GALNT2	1	1	98
GALNT6	1	1	100
GALNT7	1	1	100
GAMT	92	1	8
GAN	74	1	26
GANAB	9	3	88
GAPDH	77	1	23
GAPVD1	90	1	10
GAR1	1	100	1
GARS	91	1	9
GART	83	1	17
GATAD1	1	100	1
GATAD2A	1	96	4
GATAD2B	1	38	62
GBA	1	1	99
GBAS	1	59	41
GBE1	98	1	2
GBF1	88	1	12
GBP1	50	50	1
GCAT	1	1	100
GCC1	100	1	1
GCC2	10	25	65
GCDH	1	1	100
GCGR	100	1	1
GCHFR	88	1	12
GCLC	83	1	17
GCLM	75	1	25
GCN1L1	91	1	9
GCSH	6	1	94
GDA	80	1	20
GDAP1	1	100	1
GDI1	87	1	13
GDI2	76	1	24
GEMIN4	79	3	18
GEMIN5	79	2	19
GEMIN6	100	1	1
GEMIN7	83	1	17
GEMIN8	100	1	1
GFM1	1	1	99
GFM2	1	1	100
GFPT1	88	1	12
GGCT	79	1	21
GGH	4	1	96
GGPS1	64	1	36
GHDC	1	1	100
GHITM	100	1	1
GID8	100	1	1
GIGYF1	1	1	100
GIGYF2	28	1	72
GINS1	75	1	25
GINS3	67	1	33
GINS4	94	1	6
GIPC1	70	1	30
GIT1	100	1	1
GIT2	100	1	1
GLB1	1	37	63
GLE1	1	100	1
GLG1	1	10	89
GLMN	91	1	9
GLO1	85	1	15
GLRX	83	1	17
GLRX2	1	1	100
GLRX3	78	1	22
GLRX5	1	1	100
GLS	1	1	100
GLT8D1	1	1	100
GLT8D2	50	50	1
GLTP	75	1	25
GLTSCR2	1	100	1
GLUD1	2	5	93
GLUL	78	1	22
GMDS	77	1	23
GMFB	81	1	19
GMIP	100	1	1
GMPPA	79	1	21
GMPPB	72	1	28
GMPR2	82	1	18
GMPS	81	1	18
GNA11	56	1	44
GNA13	17	1	82
GNA14	100	1	1
GNAI1	7	90	3
GNAI2	62	38	1
GNAI3	35	53	12
GNAO1	90	10	1
GNAS	61	26	13
GNAS	61	26	13
GNAS	61	26	13
GNAS	61	26	13
GNB1	57	39	4
GNB1L	100	1	1
GNB2	4	60	36
GNB2L1	69	6	25
GNB4	94	4	2
GNE	89	1	11
GNG12	89	1	10
GNL1	90	1	10
GNL2	1	95	5
GNL3	4	90	6
GNL3L	1	98	2
GNPAT	1	1	100
GNPDA1	79	1	21
GNPDA2	93	1	7
GNPNAT1	87	1	13
GNS	7	1	93
GOLGA1	50	50	1
GOLGA2	1	8	92
GOLGA3	95	1	5
GOLGA4	48	1	52
GOLGA7	11	49	41
GOLGB1	1	1	99
GOLIM4	1	1	100
GOLM1	1	1	100
GOLPH3	55	9	35
GOLPH3L	1	1	100
GOLT1B	1	1	100
GORASP2	31	1	69
GOSR1	1	1	100
GOT1	76	1	24
GOT2	8	9	82
GP6	1	100	1
GPATCH11	1	32	68
GPATCH4	1	99	1
GPD1L	78	1	22
GPD2	1	6	94
GPHN	79	1	21
GPI	91	1	9
GPKOW	8	10	82
GPN1	88	1	12
GPN3	1	100	1
GPNMB	1	1	100
GPR107	1	1	100
GPR56	1	1	100
GPRC5A	1	77	23
GPS1	80	1	19
GPT2	50	50	1
GPX8	1	24	76
GRB2	69	3	28
GRB7	1	1	100
GRHPR	91	1	9
GRIPAP1	100	1	1
GRK5	1	100	1
GRN	1	1	100
GRP	90	1	10
GRPEL1	1	4	96
GRPEL2	1	1	100
GRSF1	1	14	86
GRWD1	3	94	3
GSDMA	100	1	1
GSK3A	10	1	90
GSK3B	63	1	37
GSKIP	100	1	1
GSN	1	1	100
GSPT1	89	1	11
GSR	82	1	17
GSS	83	1	17
GSTK1	9	2	89
GSTM1	100	1	1
GSTM3	83	1	17
GSTO1	86	1	13
GSTP1	100	1	1
GSTT2	62	1	38
GSTZ1	90	1	10
GTF2A1	100	1	1
GTF2A2	44	23	33
GTF2B	43	10	47
GTF2E1	70	1	30
GTF2E2	66	10	24
GTF2F1	20	29	50
GTF2F2	28	57	14
GTF2H4	1	100	1
GTF2I	28	15	56
GTF3C2	31	69	1
GTF3C3	1	98	2
GTF3C4	9	63	28
GTF3C5	1	100	1
GTPBP1	93	1	7
GTPBP10	1	64	36
GTPBP3	1	87	13
GTPBP4	1	98	1
GTPBP8	1	1	100
GUK1	82	1	18
GYG1	97	1	2
GYS1	86	1	14
H1F0	1	100	1
H1FX	1	99	1
H2AFX	1	100	1
H2AFY	1	100	1
H2AFZ	1	99	1
H3F3A	1	99	1
HACL1	1	85	15
HADH	1	1	100
HADHA	1	22	77
HADHB	1	19	81
HAGH	82	1	18
HAPLN3	100	1	1
HARS	82	1	18
HARS2	1	1	100
HAT1	60	1	40
HAUS2	1	100	1
HAUS5	100	1	1
HAUS6	100	1	1
HAX1	1	1	100
HBA1	1	1	100
HBB	1	1	100
HBD	1	1	100
HBS1L	100	1	1
HCCS	1	1	100
HCFC1	2	61	37
HDAC1	1	91	9
HDAC2	16	70	13
HDAC3	1	100	1
HDAC6	100	1	1
HDDC2	48	1	52
HDDC3	95	1	5
HDGF	64	1	36
HDGFRP2	30	1	69
HDHD2	80	1	20
HDHD3	1	1	100
HDLBP	72	1	28
HEATR1	1	98	1
HEATR3	85	1	15
HEATR5A	96	1	4
HEATR5B	93	1	7
HEATR6	97	1	3
HEBP1	67	1	33
HEBP2	100	1	1
HECTD1	73	1	27
HECTD3	93	1	7
HELLS	1	69	31
HERC1	92	1	8
HERC2	80	8	12
HERC4	95	1	5
HERC5	76	1	24
HEXA	1	1	100
HEXB	4	1	96
HEXIM1	41	1	59
HGS	71	1	29
HIBADH	1	19	81
HIBCH	5	1	95
HIF1AN	100	1	1
HIGD1A	1	1	100
HINT1	75	1	25
HINT2	4	46	50
HIP1R	84	1	16
HIRA	1	100	1
HIST1H1B	1	98	2
HIST1H1C	1	98	1
HIST1H1E	1	98	2
HIST1H2AC	77	23	1
HIST1H2AG	19	1	81
HIST1H2BD	1	100	1
HIST1H2BN	73	1	27
HIST1H3A	100	1	1
HIST1H4A	8	91	1
HIST2H2AB	1	100	1
HIST2H2AC	1	100	1
HIST2H2BC	16	84	1
HIST2H3PS2	1	100	1
HK1	1	1	100
HK2	26	1	74
HKDC1	50	50	1
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-A	29	6	65
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLA-C	1	1	100
HLTF	1	1	100
HM13	1	1	100
HMBS	80	1	20
HMCES	1	1	100
HMG20A	1	100	1
HMGA1	1	100	1
HMGB1	64	13	23
HMGB2	67	20	13
HMGB3	73	3	24
HMGCL	1	1	100
HMGCS1	80	1	20
HMGN1	1	100	1
HMGN2	1	100	1
HMMR	1	1	100
HMOX1	1	2	98
HMOX2	1	1	100
HN1	75	1	25
HN1L	81	1	19
HNRNPA0	2	90	8
HNRNPA1	8	81	11
HNRNPA2B1	4	93	3
HNRNPA3	1	100	1
HNRNPAB	5	86	9
HNRNPC	4	95	1
HNRNPD	25	8	67
HNRNPDL	1	99	1
HNRNPF	28	50	22
HNRNPH1	11	73	16
HNRNPH2	1	100	1
HNRNPH3	2	95	3
HNRNPK	35	57	9
HNRNPL	3	97	1
HNRNPM	7	79	14
HNRNPR	1	99	1
HNRNPU	9	81	10
HNRNPUL1	1	83	17
HNRNPUL2	1	100	1
HOOK3	95	1	5
HP	1	1	100
HP1BP3	1	100	1
HPCAL1	12	15	73
HPD	80	1	20
HPDL	1	4	95
HPRT1	79	1	20
HPS5	1	1	100
HPS6	87	1	13
HPSE	1	6	94
HPX	100	1	1
HRG	100	1	1
HRNR	74	19	6
HRSP12	65	3	32
HS1BP3	73	1	27
HS2ST1	1	100	1
HSCB	1	1	100
HSD17B10	3	22	75
HSD17B11	1	10	90
HSD17B12	1	1	100
HSD17B4	1	7	93
HSD17B7	1	1	100
HSD17B8	1	3	97
HSDL1	1	1	100
HSDL2	1	2	97
HSF1	1	1	100
HSF2BP	1	1	100
HSP90AA1	83	1	16
HSP90AA4P	100	1	1
HSP90AB1	81	1	19
HSP90AB4P	100	1	1
HSP90B1	10	9	81
HSPA12A	91	1	9
HSPA13	1	1	100
HSPA14	78	1	22
HSPA1A	24	76	1
HSPA2	80	10	10
HSPA4	67	1	32
HSPA4L	75	1	25
HSPA5	18	15	67
HSPA6	1	100	1
HSPA8	67	4	29
HSPA9	9	10	81
HSPB1	85	2	13
HSPB11	90	1	10
HSPB8	61	1	39
HSPBP1	81	3	16
HSPD1	25	18	58
HSPE1	13	5	82
HSPH1	78	1	21
HTATIP2	22	13	65
HTATSF1	1	49	51
HTR7	1	100	1
HTRA2	1	11	89
HTT	95	1	5
HUS1	23	1	77
HUWE1	89	1	11
HYOU1	3	2	95
HYPK	97	1	3
IAH1	60	1	40
IARS	79	1	20
IARS2	1	2	98
IBTK	1	1	100
ICAM1	34	2	65
ICT1	1	14	86
IDE	84	1	16
IDH1	75	1	25
IDH2	1	1	100
IDH3A	6	5	89
IDH3B	1	3	97
IDH3G	1	1	100
IDI1	88	1	12
IER3IP1	1	1	100
IFI16	1	73	27
IFI30	50	50	1
IFI35	86	1	14
IFIH1	83	1	17
IFIT1	91	1	9
IFIT2	82	1	18
IFIT3	74	1	26
IFIT5	93	1	7
IFITM2	50	50	1
IFITM3	1	1	100
IFRD1	50	1	50
IFRD2	67	1	33
IFT20	1	1	100
IGBP1	78	1	22
IGF1R	1	1	100
IGF2BP1	56	14	30
IGF2BP2	1	100	1
IGF2BP3	52	13	35
IGF2R	1	5	95
IGHM	1	1	100
IGHMBP2	98	1	2
IGKC	58	1	42
IGSF8	1	1	100
IK	1	98	2
IKBKAP	83	1	16
IKBKB	100	1	1
IL13RA1	1	60	40
IL18	71	1	29
IL6ST	1	1	100
ILF2	10	78	12
ILF3	2	92	6
ILK	1	100	1
ILKAP	81	1	19
ILVBL	1	1	100
IMMT	1	13	87
IMP3	1	99	1
IMP4	1	100	1
IMPA1	85	1	15
IMPA2	74	1	26
IMPAD1	1	1	100
IMPDH1	75	4	21
IMPDH2	82	3	15
INA	1	100	1
INADL	100	1	1
INCENP	1	100	1
INF2	76	1	24
ING1	1	89	11
INO80	1	100	1
INO80C	1	100	1
INPP1	86	1	14
INPP5K	50	50	1
INPPL1	83	1	17
INTS10	1	100	1
INTS2	1	100	1
INTS3	7	31	62
INTS4	1	100	1
INTS6	1	92	8
INTS7	84	1	16
INTS8	1	100	1
IPO11	82	1	18
IPO13	100	1	1
IPO4	93	1	6
IPO5	87	2	11
IPO7	77	3	20
IPO8	78	1	22
IPO9	88	1	12
IQGAP1	84	1	15
IQGAP2	1	100	1
IQGAP3	100	1	1
IREB2	88	1	12
IRF2BP1	1	1	100
IRF2BP2	1	1	100
IRS2	71	1	29
ISCA2	1	1	100
ISCU	1	1	100
ISG15	91	1	9
ISG20	83	5	12
ISG20L2	1	100	1
ISOC1	87	1	13
ISOC2	1	1	99
IST1	59	1	40
ISY1	1	100	1
ITCH	21	1	79
ITFG3	1	1	100
ITGA1	42	1	58
ITGA2	12	1	88
ITGA3	22	1	78
ITGA5	1	1	100
ITGA6	1	1	100
ITGAV	21	1	79
ITGB1	7	6	88
ITGB1BP1	1	100	1
ITIH4	100	1	1
ITM2B	1	34	66
ITPA	77	1	23
ITPR1	1	18	81
ITPR3	1	1	100
ITSN1	1	1	100
ITSN2	50	50	1
IVD	1	1	100
IVL	100	1	1
IVNS1ABP	100	1	1
IWS1	1	1	100
JAGN1	1	1	100
JAK1	36	1	64
JMJD6	20	1	80
JUNB	1	100	1
JUP	96	4	1
KANK2	23	1	77
KARS	76	1	23
KAT7	1	100	1
KCMF1	1	1	100
KCNAB2	100	1	1
KCNV2	50	50	1
KCT2	50	50	1
KCTD1	1	1	100
KCTD21	100	1	1
KCTD5	1	1	100
KDELR1	1	1	100
KDELR2	1	1	100
KDELR3	1	1	100
KDM2A	1	100	1
KDM3B	1	1	100
KDM5B	1	100	1
KDSR	1	1	100
KEAP1	1	84	16
KHDRBS1	8	80	12
KHSRP	41	15	44
KIAA0020	1	100	1
KIAA0100	1	1	100
KIAA0101	74	1	26
KIAA0196	86	1	14
KIAA0391	1	1	100
KIAA0907	14	1	86
KIAA1033	85	1	15
KIAA1143	75	1	25
KIAA1217	100	1	1
KIAA1279	88	1	12
KIAA1429	1	100	1
KIAA1468	99	1	1
KIAA1524	98	1	2
KIAA1598	89	1	11
KIAA2013	1	1	100
KIDINS220	1	9	91
KIF11	76	1	24
KIF13A	100	1	1
KIF13B	50	50	1
KIF14	69	1	31
KIF15	98	1	2
KIF1B	86	1	14
KIF20A	1	99	1
KIF21A	87	1	13
KIF22	1	100	1
KIF23	1	42	57
KIF2A	45	30	25
KIF2C	46	1	54
KIF3A	1	100	1
KIF4A	12	21	67
KIF5B	83	1	17
KIFAP3	32	1	68
KIFC1	1	58	42
KIN	1	96	4
KLC1	1	1	100
KLC2	95	1	5
KLC4	100	1	1
KLF13	1	100	1
KLF16	1	100	1
KLHDC4	84	1	16
KLHL11	1	1	100
KLHL13	66	1	34
KLHL7	1	100	1
KMT2A	1	100	1
KNOP1	1	100	1
KNSTRN	1	1	100
KNTC1	92	1	8
KPNA1	64	28	8
KPNA2	66	18	15
KPNA3	78	5	17
KPNA4	39	47	14
KPNA6	91	1	8
KPNB1	71	12	18
KPRP	92	7	1
KRAS	21	62	17
KRI1	1	100	1
KRIT1	14	71	15
KRR1	1	99	1
KRT18	32	31	37
KRT6B	100	1	1
KRTCAP2	1	27	73
KTI12	100	1	1
KTN1	1	13	87
KYNU	76	1	24
L1CAM	31	11	59
L2HGDH	1	1	100
LACTB	1	100	1
LACTB2	97	1	3
LAGE3	95	1	5
LAMA1	54	1	46
LAMA5	1	1	100
LAMB1	1	1	100
LAMB2	1	1	100
LAMC1	1	1	99
LAMP1	1	7	92
LAMP2	1	22	78
LAMTOR4	12	77	11
LANCL1	81	1	19
LANCL2	66	1	34
LAP3	86	1	14
LAPTM4A	1	34	66
LAPTM4B	1	91	9
LARP1	85	1	14
LARP4	70	6	24
LARP7	1	100	1
LARS	77	1	23
LARS2	1	1	100
LAS1L	1	100	1
LASP1	72	1	28
LBR	1	1	100
LCLAT1	1	1	100
LCMT1	75	1	25
LCMT2	86	1	14
LCN1	93	7	1
LCTL	50	50	1
LDHA	76	1	23
LDHB	68	1	30
LDLR	1	1	100
LEMD2	1	100	1
LEO1	1	100	1
LEPRE1	1	53	47
LEPREL1	1	73	27
LETM1	1	5	95
LGALS1	28	58	15
LGALS3	50	15	35
LGALS3BP	1	57	43
LGALS7	100	1	1
LGALSL	90	1	10
LGMN	1	1	100
LHPP	1	1	100
LIFR	1	31	69
LIG1	37	1	63
LIG3	1	90	10
LIMA1	22	63	15
LIMCH1	91	1	9
LIMD1	1	1	100
LIMS1	100	1	1
LIN7C	29	15	57
LIPA	1	1	100
LLGL1	90	1	10
LLGL2	100	1	1
LLPH	1	100	1
LMAN1	1	1	100
LMAN2	1	2	97
LMF2	50	50	1
LMNA	3	91	6
LMNB1	1	100	1
LMNB2	1	100	1
LMO7	9	66	25
LNPEP	1	1	99
LOH12CR1	1	1	100
LONP1	1	22	77
LONP2	1	1	100
LPCAT1	1	2	98
LPGAT1	1	1	100
LPP	92	1	8
LRBA	95	1	5
LRP1	1	1	100
LRP6	50	50	1
LRPAP1	1	1	100
LRPPRC	3	16	81
LRRC15	1	100	1
LRRC16A	97	1	3
LRRC40	84	1	16
LRRC47	73	1	27
LRRC57	89	1	11
LRRC59	1	17	82
LRRC8A	1	1	100
LRRFIP1	82	1	18
LRRTM4	1	1	100
LRSAM1	100	1	1
LRWD1	1	100	1
LSG1	1	27	73
LSM1	93	1	7
LSM12	47	39	14
LSM14B	1	1	100
LSM2	62	20	18
LSM3	75	5	19
LSM5	72	1	28
LSM6	31	57	12
LSM7	1	67	33
LSM8	22	54	24
LSS	1	2	98
LTA4H	76	1	24
LTF	100	1	1
LTV1	70	1	30
LUC7L	1	83	17
LUC7L2	30	39	30
LY6K	50	50	1
LYAR	1	100	1
LYN	82	18	1
LYPLA1	67	1	33
LYPLA2	1	1	100
LYPLAL1	73	1	27
LYRM2	50	50	1
LYRM4	1	1	100
LYRM7	1	1	100
LYSMD2	94	1	6
LYZ	75	15	10
LZIC	49	1	51
LZTFL1	81	1	19
M6PR	1	1	100
MACF1	99	1	1
MACROD1	1	1	100
MAD1L1	1	14	86
MAD2L1	96	1	4
MADD	96	1	4
MAEA	71	2	27
MAF	100	1	1
MAFF	1	100	1
MAFG	1	100	1
MAFK	1	100	1
MAGEA1	47	1	53
MAGEA12	70	1	30
MAGEA3	100	1	1
MAGEA6	1	1	100
MAGEB2	69	8	23
MAGED2	97	1	3
MAGOHB	44	42	14
MAGT1	1	20	80
MAK16	1	100	1
MALT1	94	1	6
MAN2A1	1	1	100
MAN2A2	1	1	100
MAN2B1	1	1	100
MAP1LC3B2	21	1	79
MAP1S	86	1	14
MAP2K1	76	1	24
MAP2K2	90	1	10
MAP2K3	76	1	24
MAP2K4	69	1	31
MAP2K6	100	1	1
MAP2K7	1	1	100
MAP3K2	86	1	14
MAP4	74	1	26
MAP4K4	75	1	25
MAP7	5	65	30
MAP7D1	100	1	1
MAPK1	75	1	24
MAPK10	100	1	1
MAPK14	84	1	16
MAPK1IP1L	77	4	19
MAPK3	1	1	100
MAPK8	100	1	1
MAPKAP1	94	1	6
MAPRE1	83	1	16
MARCH5	1	6	94
MARCKS	86	1	14
MARCKSL1	73	1	27
MARS	80	1	20
MARVELD1	1	1	100
MASTL	18	1	82
MAT2A	72	1	28
MAT2B	71	2	27
MATR3	3	93	4
MAX	1	100	1
MBD1	1	100	1
MBD2	1	100	1
MBD3	1	1	100
MBLAC2	1	1	100
MBNL1	58	13	28
MBNL2	8	1	92
MBOAT7	1	1	100
MCAM	27	1	72
MCAT	1	100	1
MCCC1	1	1	100
MCCC2	1	10	90
MCL1	1	1	100
MCM2	38	30	32
MCM3	29	43	28
MCM3AP	1	100	1
MCM4	37	1	62
MCM5	28	35	37
MCM6	39	20	41
MCM7	44	33	23
MCRS1	1	100	1
MCTP2	1	1	100
MCTS1	88	1	12
MCU	1	83	17
MCUR1	1	1	100
MDC1	1	100	1
MDH1	75	1	25
MDH2	12	10	79
MDN1	1	100	1
ME1	92	1	8
ME2	1	1	100
MECP2	1	100	1
MED11	1	100	1
MED12	1	1	100
MED14	1	100	1
MED16	1	100	1
MED17	1	100	1
MED18	1	100	1
MED20	5	69	26
MED24	1	100	1
MED27	1	100	1
MED30	1	100	1
MED31	1	85	15
MED4	1	100	1
MED6	1	100	1
MED8	1	100	1
MEF2D	1	1	100
MELK	50	50	1
MEN1	1	100	1
MESDC2	1	1	100
MET	6	1	94
METAP1	7	93	1
METAP2	93	1	7
METTL1	73	1	27
METTL10	1	1	100
METTL13	88	1	12
METTL2A	72	1	28
METTL2B	81	1	19
METTL3	50	50	1
METTL7A	1	1	99
MFAP1	1	100	1
MFF	1	1	100
MFN1	1	1	100
MFN2	1	1	100
MFSD10	1	1	100
MGEA5	80	1	20
MGST1	6	9	85
MGST2	1	1	100
MGST3	7	8	85
MIA3	1	1	100
MIB1	1	1	100
MIC13	1	1	100
