Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
ARHGDIA	87	1	13
ARHGEF1	99	1	1
ARHGEF10	100	1	1
ARHGEF11	96	1	4
ARHGEF12	100	1	1
ARHGEF16	83	1	17
ARHGEF18	95	1	5
ARHGEF2	87	1	13
ARHGEF7	90	1	10
ARID1A	1	100	1
ARID2	1	100	1
ARIH1	76	1	24
ARIH2	97	1	3
ARL1	61	9	30
ARL2	83	1	17
ARL2BP	84	1	16
ARL3	91	1	9
ARL5A	100	1	1
ARL6	100	1	1
ARL6IP1	1	16	84
ARL6IP5	1	1	100
ARL8A	50	50	1
ARL8B	1	8	92
ARMC1	76	1	24
ARMC10	1	81	19
ARMC6	81	1	19
ARMC8	68	1	32
ARMC9	100	1	1
ARMCX3	1	1	100
ARPC1A	80	4	16
ARPC1B	79	1	20
ARPC2	83	2	15
ARPC3	75	6	19
ARPC4	73	8	20
ARPC5	80	8	12
ARPC5L	82	1	17
ARPIN	100	1	1
ARRB1	58	34	8
ASAH1	50	50	1
ASAP2	100	1	1
ASB5	100	1	1
ASB6	98	1	2
ASCC1	97	1	3
ASCC2	100	1	1
ASCC3	81	1	19
ASF1A	78	22	1
ASF1B	84	1	16
ASH2L	1	100	1
ASMTL	96	1	4
ASNA1	70	2	28
ASNS	39	1	61
ASPH	1	5	95
ASPRV1	100	1	1
ASS1	80	1	20
ASUN	43	48	9
ATAD1	1	41	59
ATAD2	1	100	1
ATAD3A	1	27	73
ATAD3B	1	14	86
ATE1	100	1	1
ATF1	1	100	1
ATF7	1	100	1
ATG16L1	48	1	52
ATG2A	1	1	100
ATG3	87	1	13
ATG4B	87	1	13
ATG4C	100	1	1
ATG7	96	1	4
ATG9A	1	1	100
ATIC	84	1	16
ATL2	1	3	97
ATL3	1	1	100
ATM	42	1	58
ATN1	1	1	100
ATOX1	100	1	1
ATP10B	1	1	100
ATP13A1	1	1	100
ATP13A4	1	1	100
ATP1A1	44	8	48
ATP1B1	38	3	58
ATP1B3	9	4	87
ATP2A2	1	2	98
ATP2B1	42	4	54
ATP2C1	1	1	100
ATP5A1	4	11	85
ATP5B	2	9	89
ATP5C1	1	11	87
ATP5D	1	24	76
ATP5F1	1	12	88
ATP5H	1	15	85
ATP5I	1	4	96
ATP5J2	8	5	87
ATP5L	1	11	89
ATP5O	5	8	87
ATP5S	1	1	100
ATP6AP1	1	25	75
ATP6AP2	1	1	100
ATP6V0A1	1	96	4
ATP6V0A2	1	43	57
ATP6V0D1	1	78	22
ATP6V1A	66	7	27
ATP6V1B2	61	23	16
ATP6V1C1	50	14	36
ATP6V1D	84	4	11
ATP6V1E1	60	25	15
ATP6V1F	41	1	59
ATP6V1G1	62	13	25
ATP6V1H	80	3	16
ATPAF2	1	7	93
ATPIF1	1	1	100
ATR	12	1	88
ATXN10	97	1	3
ATXN2	1	1	100
ATXN2L	62	1	38
AUH	1	1	100
AUP1	1	1	100
AURKA	1	100	1
AURKB	1	100	1
AVL9	79	1	21
AZGP1	100	1	1
B2M	45	5	50
B3GAT3	1	1	100
B3GNT1	1	1	100
B4GALT1	1	1	100
BACE2	1	7	93
BAG1	84	1	15
BAG2	35	36	30
BAG3	65	1	35
BAG5	1	13	87
BAIAP2L1	83	3	14
BANF1	38	46	16
BASP1	79	2	20
BAX	67	1	33
BAZ1A	1	100	1
BAZ1B	1	100	1
BAZ2A	1	100	1
BCAP29	1	1	100
BCAP31	1	7	93
BCAR1	79	1	21
BCAR3	100	1	1
BCAS2	21	53	26
BCAT2	1	1	100
BCCIP	61	9	30
BCDIN3D	1	1	100
BCKDK	1	100	1
BCL10	84	1	16
BCL2	1	1	100
BCL2L13	1	1	100
BCL7C	1	100	1
BCL9L	1	100	1
BCLAF1	1	100	1
BCOR	1	100	1
BCS1L	1	2	98
BDH2	83	1	17
BEND3	1	100	1
BET1	50	50	1
BICD2	13	1	87
BID	81	1	19
BIN1	85	1	15
BIN3	81	1	19
BIRC5	1	100	1
BIRC6	89	1	11
BLM	1	100	1
BLMH	81	1	19
BLOC1S1	71	1	28
BLOC1S2	43	1	57
BLOC1S3	78	1	22
BLOC1S5	100	1	1
BLVRA	79	1	21
BLVRB	74	1	25
BMI1	1	100	1
BMS1	1	100	1
BOLA1	93	1	7
BOLA2	21	1	79
BOLA3	50	50	1
BOP1	1	100	1
BPGM	100	1	1
BPHL	1	1	100
BPNT1	71	1	29
BPTF	1	100	1
BRAF	1	1	100
BRCC3	86	1	14
BRD1	1	100	1
BRD2	50	38	11
BRD4	1	100	1
BRD7	100	1	1
BRD8	1	100	1
BRE	77	4	19
BRI3BP	1	1	100
BRK1	100	1	1
BRMS1	1	100	1
BRMS1L	1	100	1
BROX	76	1	24
BRPF1	1	100	1
BRWD3	100	1	1
BSG	34	32	34
BST2	1	1	100
BTAF1	64	1	36
BTF3	72	1	28
BTF3L4	78	1	22
BUB1B	61	1	39
BUB3	39	32	29
BUD13	1	100	1
BUD31	11	66	22
BYSL	16	64	20
