Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar
ELP4	52	47	1		100	1		100	1	1
EMD	11	86	3		48	52		1	78	22
EMG1	21	79	1		3	97		14	75	11
EML4	65	34	1		90	10		82	1	18
ENDOG	1	1	100		14	86		1	1	100
ENO1	73	27	1		98	2		71	1	28
ENOPH1	68	32	1		100	1		91	1	9
ENY2	3	97	1		12	88		1	43	57
EP400	1	100	1		6	94		1	100	1
EPB41L2	26	67	7		86	14		76	1	24
EPHX1	17	79	4		100	1		1	3	97
EPRS	53	42	4		86	14		81	1	18
EPS15	76	24	1		100	1		33	1	67
EPS15L1	12	64	24		38	62		67	1	33
ERAP1	14	80	6		100	1		1	1	99
ERC1	92	1	8		92	8		89	1	11
ERGIC1	3	89	8		99	1		1	14	85
ERGIC2	4	89	7		100	1		1	1	100
ERH	5	94	1		1	99		11	83	6
ERLIN1	12	80	8		40	60		1	1	100
ERLIN2	11	83	5		31	69		1	5	95
ERMP1	21	66	13		93	7		1	5	95
ERO1L	23	71	6		98	2		4	15	81
ERP29	31	50	19		95	5		28	4	68
ERP44	16	75	9		96	4		1	3	97
ESD	77	23	1		100	1		76	1	24
ETF1	36	63	1		82	18		72	2	26
ETFA	1	54	45		99	1		1	6	93
ETFB	5	54	41		98	2		14	21	65
ETFDH	1	16	84		98	2		1	1	100
ETHE1	1	1	100		99	1		1	1	100
EWSR1	54	45	1		1	100		45	10	44
EXOC1	4	95	1		19	81		87	1	13
EXOC2	11	88	1		10	90		84	1	16
EXOC3	6	90	4		29	71		98	1	2
EXOC4	9	89	2		21	79		92	1	8
EXOC5	6	93	1		74	26		100	1	1
EXOC6	3	95	2		1	100		100	1	1
EXOC7	1	98	1		13	87		100	1	1
EXOC8	9	83	8		13	87		100	1	1
EXOSC10	5	95	1		1	99		1	100	1
EXOSC2	29	71	1		50	50		9	79	12
EXOSC3	19	81	1		14	86		1	99	1
EXOSC4	47	53	1		23	77		16	72	12
EXOSC5	21	78	1		20	80		1	100	1
EXOSC6	42	57	1		20	80		1	99	1
EXOSC7	22	78	1		20	80		1	93	7
EXOSC8	43	57	1		13	87		1	97	3
EXOSC9	9	90	1		18	82		17	76	8
EZR	20	75	5		89	11		86	1	13
FABP5	89	11	1		98	2		98	1	2
FAF1	1	100	1		100	1		92	1	8
FAF2	9	79	12		94	6		1	11	89
FAH	73	27	1		100	1		86	1	14
FAHD1	1	78	22		98	2		16	2	82
FAM107B	33	33	33		75	25		68	1	32
FAM114A2	67	31	2		100	1		85	1	15
FAM129A	70	29	1		100	1		71	1	29
FAM136A	14	16	70		97	3		1	1	100
FAM162A	1	78	22		99	1		1	29	71
FAM3C	1	91	9		100	1		1	1	100
FAM49B	57	43	1		99	1		77	1	23
FAM50A	45	54	1		81	19		36	1	63
FAM65A	55	40	5		100	1		100	1	1
FAM91A1	85	15	1		51	49		56	1	44
FAM96B	100	1	1		100	1		80	1	20
FAM98A	69	30	2		36	64		60	33	7
FAM98B	6	94	1		22	78		1	69	31
FANCI	27	72	1		31	69		76	4	21
FARS2	1	21	79		100	1		1	16	84
FARSA	57	42	1		50	50		91	2	8
FARSB	57	41	2		52	48		73	3	25
FASN	74	26	1		99	1		92	1	7
FAU	67	32	1		71	29		77	8	15
FAU	67	32	1		71	29		77	8	15
FBL	7	93	1		1	100		1	100	1
FBXO22	33	33	33		100	1		64	1	34
FCF1	1	100	1		1	100		1	100	1
FDPS	68	31	1		100	1		72	1	28
FEN1	30	69	1		45	55		61	2	37
FH	16	64	20		100	1		40	1	60
FIBP	22	78	1		80	20		45	1	55
FIP1L1	6	93	1		1	100		1	100	1
FIS1	31	49	20		96	4		62	6	33
FKBP15	96	1	4		18	82		90	1	10
FKBP2	93	1	7		99	1		13	2	86
FKBP3	100	1	1		30	70		84	2	14
FKBP4	73	27	1		97	3		86	1	13
FKBP5	60	40	1		88	12		57	1	42
FKBP8	3	81	16		76	24		1	1	100
FLII	84	16	1		88	12		74	5	22
FLNA	44	53	3		28	72		77	2	21
FLNB	78	21	1		32	68		66	9	26
FLOT1	13	62	26		10	90		1	63	37
FLOT2	12	72	17		8	92		1	94	6
FMNL2	1	1	100		1	100		97	1	3
FMR1	76	22	2		7	93		46	53	1
FNDC3B	1	1	100		1	100		1	1	100
FNTA	84	16	1		100	1		97	1	3
FOXRED1	1	39	61		71	29		1	1	100
FSCN1	69	30	1		99	1		87	1	12
FTH1	69	14	16		99	1		62	13	25
FTSJ3	4	96	1		1	100		1	100	1
FUBP1	11	88	1		85	15		60	7	33
FUNDC2	2	38	60		100	1		1	4	96
FUS	57	39	4		3	97		13	76	11
FXN	1	6	94		100	1		1	1	100
FXR2	100	1	1		3	97		25	53	23
FYTTD1	1	100	1		1	100		1	100	1
G3BP1	60	37	4		100	1		78	9	14
G3BP2	60	38	3		26	74		73	14	12
GAA	56	1	44		100	1		1	1	100
GABARAPL2	100	1	1		100	1		28	19	52
GABPA	8	92	1		32	68		1	1	100
GADD45GIP1	7	1	93		75	25		1	21	79
GALE	94	6	1		100	1		86	1	14
GALK1	65	26	9		100	1		86	1	14
GALNT1	1	1	100		29	71		1	1	100
GALNT2	2	94	4		75	25		1	1	98
GANAB	19	41	40		1	100		9	3	88
GAPDH	67	32	1		100	1		77	1	23
GAR1	18	81	1		1	100		1	100	1
GARS	67	29	4		100	1		91	1	9
GART	72	27	1		99	1		83	1	17
GBAS	2	76	22		71	29		1	59	41
GCDH	5	65	30		100	1		1	1	100
GCLM	100	1	1		100	1		75	1	25
GDI1	67	33	1		97	3		87	1	13
GDI2	61	39	1		100	1		76	1	24
GEMIN5	85	4	10		87	13		79	2	19
GFM1	1	68	31		100	1		1	1	99
GFM2	1	1	100		100	1		1	1	100
GFPT1	73	26	1		100	1		88	1	12
GGH	26	68	6		72	28		4	1	96
GHITM	9	1	91		86	14		100	1	1
GIGYF2	64	21	15		54	46		28	1	72
GIT1	84	14	3		97	3		100	1	1
GLB1	97	1	3		99	1		1	37	63
GLG1	6	82	12		67	33		1	10	89
GLO1	70	29	1		99	1		85	1	15
GLRX3	80	19	1		100	1		78	1	22
GLRX5	1	50	50		100	1		1	1	100
GLS	93	1	7		99	1		1	1	100
GLUD1	3	71	26		70	30		2	5	93
GMDS	82	18	1		100	1		77	1	23
GMFB	79	21	1		100	1		81	1	19
GMPPB	99	1	1		100	1		72	1	28
GMPS	60	40	1		72	28		81	1	18
GNA13	1	91	9		90	10		17	1	82
GNAI2	12	78	10		33	67		62	38	1
GNAI3	11	75	14		27	73		35	53	12
GNAS	24	66	9		23	77		61	26	13
GNAS	24	66	9		23	77		61	26	13
GNAS	24	66	9		23	77		61	26	13
GNAS	24	66	9		23	77		61	26	13
GNB1	12	75	12		49	51		57	39	4
GNB2	7	72	20		47	53		4	60	36
GNB2L1	53	45	2		63	37		69	6	25
GNL1	85	15	1		100	1		90	1	10
GNL2	1	97	1		1	100		1	95	5
GNL3	3	96	1		1	100		4	90	6
GNL3L	18	82	1		1	100		1	98	2
GNPDA1	93	7	1		100	1		79	1	21
GNPNAT1	21	79	1		76	24		87	1	13
GOLGA2	5	81	15		29	71		1	8	92
GOLGA3	93	6	1		54	46		95	1	5
GOLGA7	4	56	41		13	87		11	49	41
GOLPH3	8	91	1		99	1		55	9	35
GOLT1B	2	93	5		100	1		1	1	100
GORASP2	39	61	1		83	17		31	1	69
GOSR1	5	88	6		39	61		1	1	100
GOT1	69	31	1		100	1		76	1	24
GOT2	2	69	30		99	1		8	9	82
GPATCH4	3	97	1		1	100		1	99	1
GPD1L	78	21	1		100	1		78	1	22
GPI	66	33	1		100	1		91	1	9
GPN1	20	80	1		100	1		88	1	12
GPS1	70	30	1		94	6		80	1	19
GRHPR	52	43	4		100	1		91	1	9
GRPEL1	1	28	71		100	1		1	4	96
GRSF1	7	45	48		87	13		1	14	86
GRWD1	33	67	1		21	79		3	94	3
GSK3A	59	39	2		62	38		10	1	90
GSPT1	48	52	1		99	1		89	1	11
GSR	78	11	11		98	2		82	1	17
GSS	57	40	3		99	1		83	1	17
GSTK1	1	1	100		93	7		9	2	89
GSTM1	74	26	1		99	1		100	1	1
GSTP1	64	36	1		98	2		100	1	1
GSTZ1	87	6	7		100	1		90	1	10
GTF2A2	100	1	1		91	9		44	23	33
GTF2B	1	100	1		79	21		43	10	47
GTF2E1	64	36	1		25	75		70	1	30
GTF2F1	30	70	1		21	79		20	29	50
GTF2I	1	99	1		22	78		28	15	56
GTF3C2	1	99	1		1	100		31	69	1
GTF3C4	3	91	6		11	89		9	63	28
GTPBP1	100	1	1		82	18		93	1	7
GTPBP3	1	68	32		100	1		1	87	13
GTPBP4	8	92	1		1	100		1	98	1
GUK1	44	1	56		100	1		82	1	18
HADH	3	97	1		99	1		1	1	100
HADHA	5	62	33		88	12		1	22	77
HADHB	1	45	55		90	10		1	19	81
HAGH	1	1	100		99	1		82	1	18
HARS	56	43	1		96	4		82	1	18
HARS2	1	29	71		98	2		1	1	100
HAT1	71	29	1		99	1		60	1	40
HAX1	1	52	48		100	1		1	1	100
HBS1L	52	44	4		93	7		100	1	1
HCCS	1	54	45		100	1		1	1	100
HCFC1	2	98	1		4	96		2	61	37
HDAC1	5	95	1		6	94		1	91	9
HDAC2	5	95	1		5	95		16	70	13
HDDC2	94	5	1		99	1		48	1	52
HDGF	44	56	1		97	3		64	1	36
HDGFRP2	73	27	1		8	92		30	1	69
HDHD2	87	13	1		1	100		80	1	20
HDLBP	50	39	11		22	78		72	1	28
HEATR5B	94	6	1		95	5		93	1	7
HERC4	91	9	1		100	1		95	1	5
HEXA	45	54	1		98	2		1	1	100
HEXB	1	92	8		98	2		4	1	96
HEXIM1	22	78	1		92	8		41	1	59
HGS	52	25	23		99	1		71	1	29
HIBADH	2	63	34		100	1		1	19	81
HIBCH	1	1	100		100	1		5	1	95
HINT1	100	1	1		99	1		75	1	25
HINT2	1	78	22		100	1		4	46	50
HIP1R	3	43	54		18	82		84	1	16
HIST1H1B	1	98	2		2	98		1	98	2
HIST1H1C	1	98	1		1	99		1	98	1
HIST1H1E	1	100	1		2	98		1	98	2
HK1	14	69	17		21	79		1	1	100
HK2	41	52	7		53	47		26	1	74
HLTF	33	33	33		1	100		1	1	100
HM13	15	74	11		100	1		1	1	100
HMBS	100	1	1		100	1		80	1	20
HMG20A	16	84	1		1	100		1	100	1
HMGB1	25	73	2		32	68		64	13	23
HMGB2	21	76	3		14	86		67	20	13
HMGB3	6	93	1		14	86		73	3	24
HMGCL	12	39	49		100	1		1	1	100
HMOX1	12	82	6		95	5		1	2	98
HMOX2	13	85	2		99	1		1	1	100
HN1	33	33	33		100	1		75	1	25
HN1L	1	96	4		100	1		81	1	19
HNRNPA0	12	87	1		5	95		2	90	8
HNRNPA1	30	66	4		6	94		8	81	11
HNRNPA2B1	30	66	4		1	100		4	93	3
HNRNPA3	49	48	3		2	98		1	100	1
HNRNPAB	30	69	1		1	100		5	86	9
HNRNPC	12	88	1		1	100		4	95	1
HNRNPD	51	48	1		1	100		25	8	67
HNRNPF	18	81	1		33	67		28	50	22
HNRNPH1	14	84	1		23	77		11	73	16
HNRNPH2	5	95	1		8	92		1	100	1
HNRNPK	27	72	1		22	78		35	57	9
HNRNPL	12	87	1		4	96		3	97	1
HNRNPM	1	100	1		1	100		7	79	14
HNRNPU	23	76	1		28	72		9	81	10
HNRNPUL1	16	83	1		17	83		1	83	17
HNRNPUL2	14	86	1		10	90		1	100	1
HP1BP3	1	99	1		1	100		1	100	1
HS1BP3	33	33	33		98	2		73	1	27
HS2ST1	1	96	4		1	100		1	100	1
HSD17B10	4	68	27		83	17		3	22	75
HSD17B11	6	89	5		64	36		1	10	90
HSD17B12	13	86	1		91	9		1	1	100
HSD17B4	20	67	13		34	66		1	7	93
HSD17B7	4	87	10		100	1		1	1	100
HSD17B8	8	1	92		91	9		1	3	97
HSDL1	1	41	59		100	1		1	1	100
HSDL2	9	53	38		95	5		1	2	97
HSP90AA1	60	40	1		95	5		83	1	16
HSP90AB1	64	36	1		96	4		81	1	19
HSP90B1	24	65	11		98	2		10	9	81
HSPA13	8	89	3		99	1		1	1	100
HSPA14	45	52	3		70	30		78	1	22
HSPA4	60	40	1		99	1		67	1	32
HSPA5	19	71	10		94	6		18	15	67
HSPA8	1	99	1		66	34		67	4	29
HSPA9	1	61	38		91	9		9	10	81
HSPB1	68	32	1		91	9		85	2	13
HSPBP1	55	45	1		100	1		81	3	16
HSPD1	2	67	30		96	4		25	18	58
HSPE1	7	10	84		97	3		13	5	82
HSPH1	62	38	1		99	1		78	1	21
HTATSF1	4	95	1		7	93		1	49	51
HTRA2	10	53	38		80	20		1	11	89
HTT	92	8	1		100	1		95	1	5
HUWE1	75	23	2		99	1		89	1	11
HYOU1	20	72	8		99	1		3	2	95
HYPK	55	45	1		98	2		97	1	3
IARS	48	50	3		91	9		79	1	20
IARS2	1	78	21		100	1		1	2	98
ICAM1	10	79	11		99	1		34	2	65
ICT1	1	44	56		82	18		1	14	86
IDE	90	8	1		100	1		84	1	16
IDH1	77	22	1		100	1		75	1	25
IDH2	3	58	39		98	2		1	1	100
IDH3A	1	73	26		99	1		6	5	89
IDH3G	1	65	35		100	1		1	1	100
IDI1	56	39	4		100	1		88	1	12
IFI30	72	1	28		95	5		50	50	1
IGBP1	100	1	1		100	1		78	1	22
IGF2BP2	96	1	4		68	32		1	100	1
IGF2BP3	85	14	1		79	21		52	13	35
IGF2R	36	53	11		81	19		1	5	95
IGSF8	13	52	35		100	1		1	1	100
IK	8	92	1		1	100		1	98	2
IKBKAP	85	14	1		100	1		83	1	16
ILF2	20	80	1		15	85		10	78	12
ILF3	26	73	1		1	100		2	92	6
ILK	24	76	1		81	19		1	100	1
ILKAP	6	94	1		34	66		81	1	19
ILVBL	4	94	2		100	1		1	1	100
IMMT	1	60	39		4	96		1	13	87
IMP3	3	97	1		1	100		1	99	1
IMP4	13	87	1		1	100		1	100	1
IMPA1	92	8	1		100	1		85	1	15
IMPAD1	1	96	3		100	1		1	1	100
IMPDH2	94	6	1		88	12		82	3	15
INTS2	1	100	1		1	100		1	100	1
INTS3	1	99	1		1	100		7	31	62
INTS4	1	97	2		1	100		1	100	1
INTS6	1	97	2		1	100		1	92	8
INTS7	25	62	14		44	56		84	1	16
IPO11	100	1	1		100	1		82	1	18
IPO4	53	47	1		98	2		93	1	6
IPO5	62	37	2		99	1		87	2	11
IPO7	60	39	1		97	3		77	3	20
IPO9	77	23	1		100	1		88	1	12
IQGAP1	69	31	1		99	1		84	1	15
IQGAP2	98	1	2		95	5		1	100	1
IREB2	75	25	1		100	1		88	1	12
ISCA2	1	1	100		97	3		1	1	100
ISOC1	56	43	1		100	1		87	1	13
ITGA5	5	85	10		98	2		1	1	100
ITGB1	6	83	11		99	1		7	6	88
ITPA	73	27	1		99	1		77	1	23
ITPR1	11	85	4		6	94		1	18	81
ITPR3	1	98	2		1	100		1	1	100
ITSN2	24	7	69		42	58		50	50	1
IVD	1	23	77		99	1		1	1	100
IWS1	19	81	1		2	98		1	1	100
JAGN1	6	83	11		100	1		1	1	100
JAK1	1	49	51		93	7		36	1	64
JMJD6	40	60	1		99	1		20	1	80
KARS	44	50	6		81	19		76	1	23
KCMF1	85	15	1		100	1		1	1	100
KDM3B	19	81	1		56	44		1	1	100
KDSR	1	93	7		100	1		1	1	100
KHDRBS1	16	83	1		1	99		8	80	12
KHSRP	6	94	1		81	19		41	15	44
KIAA0020	3	97	1		1	100		1	100	1
KIAA0196	97	3	1		54	46		86	1	14
KIAA1033	92	2	6		38	62		85	1	15
KIAA1429	1	100	1		1	100		1	100	1
KIAA2013	1	97	3		25	75		1	1	100
KIF2A	8	91	1		1	100		45	30	25
KIF5B	76	22	2		97	3		83	1	17
KLC2	100	1	1		1	100		95	1	5
KPNA1	26	74	1		54	46		64	28	8
KPNA2	26	74	1		65	35		66	18	15
KPNA3	20	80	1		70	30		78	5	17
KPNA4	17	83	1		61	39		39	47	14
KPNA6	30	70	1		86	14		91	1	8
KPNB1	30	70	1		62	38		71	12	18
KRAS	9	80	11		57	43		21	62	17
KRI1	1	100	1		3	97		1	100	1
KRR1	6	94	1		1	100		1	99	1
KRTCAP2	1	98	2		1	100		1	27	73
KTI12	1	100	1		100	1		100	1	1
KTN1	15	65	20		1	100		1	13	87
L2HGDH	1	19	81		100	1		1	1	100
LACTB	1	69	30		16	84		1	100	1
LACTB2	93	1	7		100	1		97	1	3
LAGE3	83	17	1		100	1		95	1	5
LAMP1	33	40	27		99	1		1	7	92
LAMP2	41	54	5		100	1		1	22	78
LANCL1	24	76	1		100	1		81	1	19
LANCL2	22	77	1		95	5		66	1	34
LAP3	45	49	6		98	2		86	1	14
LARP1	68	27	6		56	44		85	1	14
LARP4	43	39	18		79	21		70	6	24
LARP7	17	82	1		8	92		1	100	1
LARS	54	44	2		91	9		77	1	23
LARS2	1	48	51		100	1		1	1	100
LAS1L	1	99	1		1	100		1	100	1
LASP1	100	1	1		19	81		72	1	28
LBR	2	97	2		11	89		1	1	100
LCLAT1	6	89	5		100	1		1	1	100
LDHA	66	34	1		99	1		76	1	23
LDHB	65	34	1		99	1		68	1	30
LEMD2	11	87	3		17	83		1	100	1
LEO1	1	100	1		1	100		1	100	1
LEPRE1	27	55	18		100	1		1	53	47
LETM1	1	68	31		98	2		1	5	95
LGALS1	47	52	1		94	6		28	58	15
LGMN	98	1	2		100	1		1	1	100
LIG1	63	36	1		100	1		37	1	63
LIG3	1	100	1		1	100		1	90	10
LIMS1	39	61	1		90	10		100	1	1
LIN7C	1	1	100		69	31		29	15	57
LIPA	46	53	1		99	1		1	1	100
LMAN1	11	84	6		99	1		1	1	100
LMAN2	10	86	4		98	2		1	2	97
LMF2	4	62	34		91	9		50	50	1
LMNA	8	92	1		1	100		3	91	6
LMNB1	1	98	1		1	100		1	100	1
LMNB2	3	96	1		1	100		1	100	1
LONP1	3	72	25		99	1		1	22	77
LPCAT1	5	91	4		99	1		1	2	98
LPGAT1	6	93	1		67	33		1	1	100
LRPAP1	17	37	46		99	1		1	1	100
LRPPRC	1	71	29		99	1		3	16	81
LRRC40	30	70	1		98	2		84	1	16
LRRC47	81	19	1		65	35		73	1	27
LRRC57	1	76	24		96	4		89	1	11
LRRC59	22	74	4		32	68		1	17	82
LRRC8A	1	1	100		22	78		1	1	100
LRWD1	1	100	1		1	100		1	100	1
LSG1	8	81	11		70	30		1	27	73
LSM1	76	24	1		75	25		93	1	7
LSM12	100	1	1		44	56		47	39	14
LSM2	33	67	1		56	44		62	20	18
LSM3	36	64	1		32	68		75	5	19
LSS	10	84	6		100	1		1	2	98
LTA4H	70	29	1		98	2		76	1	24
LUC7L	9	91	1		1	100		1	83	17
LUC7L2	22	77	1		12	88		30	39	30
LYAR	3	97	1		1	100		1	100	1
LYN	8	84	8		38	62		82	18	1
LYPLA1	61	31	8		100	1		67	1	33
LYPLA2	48	51	1		100	1		1	1	100
LYRM4	11	1	89		80	20		1	1	100
LZIC	81	19	1		100	1		49	1	51
M6PR	37	58	4		99	1		1	1	100
MACF1	21	42	37		21	79		99	1	1
MAD1L1	10	90	1		1	100		1	14	86
MAD2L1	50	50	1		19	81		96	1	4
MAGT1	12	79	10		51	49		1	20	80
MAK16	1	100	1		1	100		1	100	1
MAN2B1	41	51	8		95	5		1	1	100
MAP1S	62	38	1		84	16		86	1	14
MAP2K1	44	56	1		100	1		76	1	24
MAP2K2	90	7	3		100	1		90	1	10
MAP2K3	39	61	1		100	1		76	1	24
MAP2K4	76	24	1		100	1		69	1	31
MAP2K7	1	100	1		85	15		1	1	100
MAP4	61	38	1		52	48		74	1	26
MAP4K4	34	58	7		8	92		75	1	25
MAP7D1	67	31	1		43	57		100	1	1
MAPK1	36	64	1		96	4		75	1	24
MAPK14	83	16	1		100	1		84	1	16
MAPK3	39	60	1		98	2		1	1	100
MAPK8	93	7	1		100	1		100	1	1
MAPRE1	30	70	1		84	16		83	1	16
MARCKS	31	62	7		100	1		86	1	14
MARCKSL1	33	52	14		100	1		73	1	27
MARS	54	43	2		89	11		80	1	20
MAT2A	69	31	1		99	1		72	1	28
MAT2B	89	11	1		98	2		71	2	27
MATR3	4	96	1		3	97		3	93	4
MBD3	1	100	1		1	100		1	1	100
MBOAT7	11	83	6		62	38		1	1	100
MCAT	1	26	74		1	100		1	100	1
MCCC1	6	64	30		100	1		1	1	100
MCCC2	1	63	37		98	2		1	10	90
MCM2	33	67	1		92	8		38	30	32
MCM3	27	72	1		82	18		29	43	28
MCM3AP	4	96	1		1	100		1	100	1
MCM4	33	67	1		92	8		37	1	62
MCM5	23	75	1		86	14		28	35	37
MCM6	28	72	1		94	6		39	20	41
MCM7	34	66	1		85	15		44	33	23
MCTS1	16	82	3		42	58		88	1	12
MDH1	60	40	1		99	1		75	1	25
MDH2	5	63	32		93	7		12	10	79
ME2	1	70	29		98	2		1	1	100
MED16	1	99	1		9	91		1	100	1
MED17	1	99	1		1	100		1	100	1
MED6	1	100	1		1	100		1	100	1
MED8	1	100	1		1	100		1	100	1
MESDC2	50	1	50		97	3		1	1	100
METAP1	88	11	1		50	50		7	93	1
METAP2	58	41	1		92	8		93	1	7
MFN1	3	28	69		82	18		1	1	100
MFSD10	4	95	1		80	20		1	1	100
MGEA5	78	20	2		100	1		80	1	20
MGST3	1	98	2		20	80		7	8	85
MIA3	11	69	21		99	1		1	1	100
MIF	76	24	1		98	2		80	3	17
MINA	1	99	1		1	100		1	72	28
MIPEP	1	54	46		100	1		1	1	100
MLEC	8	86	6		76	24		1	7	93
MLH1	1	100	1		100	1		36	1	64
MMGT1	18	71	11		27	73		1	9	91
MMS19	77	23	1		100	1		85	1	15
MOGS	10	86	4		37	63		1	11	89
MON2	100	1	1		100	1		91	1	9
MORF4L1	2	98	1		1	100		1	89	11
MORF4L2	13	86	1		1	100		1	89	11
MOSPD2	11	81	8		100	1		1	1	100
MOV10	99	1	1		85	15		80	11	10
MPG	1	99	1		1	100		12	76	12
MPHOSPH10	1	95	4		1	100		1	100	1
MPP1	1	1	100		84	16		37	1	63
MPST	53	43	4		49	51		80	1	20
MPV17	1	92	8		100	1		100	1	1
MRE11A	1	99	1		4	96		69	18	12
MRI1	86	14	1		100	1		81	1	19
MRPL1	1	36	64		94	6		1	5	95
MRPL10	1	24	76		91	9		1	74	26
MRPL11	6	7	87		93	7		1	54	46
MRPL13	5	50	44		98	2		1	42	58
MRPL14	1	1	100		83	17		1	22	78
MRPL15	1	75	25		98	2		1	9	91
MRPL16	3	51	46		89	11		1	16	84
MRPL17	1	31	69		98	2		1	42	58
MRPL18	1	21	79		100	1		1	1	100
MRPL19	4	51	46		91	9		1	60	40
MRPL2	1	40	60		83	17		1	75	25
MRPL20	1	27	72		100	1		1	27	73
MRPL21	1	58	42		94	6		1	2	98
MRPL22	4	29	67		96	4		1	43	57
MRPL23	1	67	33		89	11		1	35	65
MRPL24	1	64	36		72	28		1	1	100
MRPL27	1	16	84		94	6		1	1	100
MRPL28	1	69	31		82	18		1	26	74
MRPL3	5	64	31		97	3		1	100	1
MRPL37	27	47	26		96	4		1	5	95
MRPL38	11	58	31		98	2		1	2	98
MRPL39	1	46	54		97	3		1	32	68
MRPL4	1	91	9		98	2		1	21	79
MRPL40	1	1	100		100	1		1	7	92
MRPL41	1	55	45		90	10		1	10	90
MRPL43	2	1	98		96	4		1	84	16
MRPL44	1	86	13		98	2		1	14	86
MRPL45	1	41	58		88	12		1	27	73
MRPL46	2	50	47		84	16		1	35	65
MRPL47	1	51	48		99	1		1	1	100
MRPL48	1	79	21		95	5		1	27	73
MRPL49	70	1	30		87	13		1	26	74
MRPL50	1	1	100		94	6		1	2	98
MRPL53	1	38	62		95	5		1	57	43
MRPL9	4	40	56		90	10		1	40	60
MRPS10	1	1	100		100	1		1	24	76
MRPS11	1	37	63		95	5		1	9	91
MRPS14	3	32	65		100	1		1	2	98
MRPS15	1	50	50		100	1		1	15	85
MRPS16	1	31	69		100	1		1	64	36
MRPS17	1	70	30		100	1		1	27	73
MRPS18A	1	25	74		77	23		100	1	1
MRPS18B	4	1	95		100	1		1	72	28
MRPS2	1	51	49		83	17		1	94	6
MRPS21	1	57	43		91	9		100	1	1
MRPS22	4	35	61		1	100		1	31	69
MRPS23	17	67	16		100	1		1	48	52
MRPS25	1	6	94		97	3		1	29	71
MRPS26	1	24	76		100	1		1	7	93
MRPS27	1	72	28		95	5		1	36	64
MRPS28	1	1	100		93	7		1	57	43
MRPS30	1	54	46		100	1		1	1	100
MRPS31	1	23	77		100	1		1	68	32
MRPS33	1	17	83		82	18		1	8	92
MRPS35	1	54	46		95	5		1	1	100
MRPS6	1	39	61		98	2		1	29	71
MRPS7	1	3	97		92	8		1	42	58
MRPS9	6	61	33		96	4		1	37	63
MRRF	1	6	92		1	99		1	19	81
MRTO4	25	75	1		17	83		1	100	1
MSH2	4	95	1		42	58		39	6	56
MSH6	6	94	1		71	29		52	1	47
MSN	22	68	10		92	8		81	2	17
MTA1	1	100	1		1	100		1	100	1
MTA2	4	94	2		1	99		1	85	15
MTCH2	1	1	100		30	70		1	7	93
MTDH	12	78	10		36	64		1	17	83
MTHFD1	56	42	3		68	32		83	1	17
MTHFD1L	1	37	62		61	39		1	1	100
MTHFD2	3	66	31		12	88		1	3	97
MTIF2	6	43	51		100	1		1	13	87
MTMR14	36	63	1		100	1		90	1	10
MTPAP	4	43	52		38	62		1	92	8
MTPN	82	18	1		100	1		72	2	26
MTX1	1	64	35		52	48		1	1	100
MTX2	1	57	42		1	100		1	10	90
MVD	71	29	1		100	1		78	1	22
MVP	66	32	2		94	6		49	9	42
MYBBP1A	1	99	1		1	100		1	93	6
MYCBP	6	89	5		73	27		83	1	17
MYH10	50	37	14		85	15		71	15	13
MYH9	74	26	1		91	9		84	2	15
MYL6	77	22	1		86	14		76	5	19
MYO18A	93	2	5		100	1		1	100	1
MYO1C	17	74	10		1	100		66	21	14
MYO1E	86	14	1		99	1		77	6	17
MYO9B	78	8	13		99	1		1	1	100
MYOF	18	53	29		98	2		5	1	95
NACA	55	44	1		100	1		71	1	28
NACA	55	44	1		100	1		71	1	28
NAMPT	73	27	1		99	1		89	1	11
NAP1L1	65	35	1		100	1		85	1	15
NAP1L4	76	24	1		95	5		82	2	17
NAPA	19	77	5		97	3		29	7	65
NARS	63	37	1		100	1		89	1	10
NASP	60	40	1		99	1		73	2	25
NAT10	1	98	1		1	100		1	100	1
NCAPD3	2	98	1		1	100		1	1	100
NCAPH	35	64	1		100	1		85	1	15
NCBP1	8	92	1		3	97		37	31	33
NCBP2	17	83	1		6	94		24	74	2
NCL	44	56	1		1	100		15	57	28
NCLN	8	85	7		68	32		1	1	99
NCOA5	1	100	1		1	100		1	100	1
NCSTN	55	40	5		99	1		5	8	88
NDNL2	4	95	1		1	100		1	100	1
NDRG3	100	1	1		100	1		4	1	96
NDUFA10	1	55	45		43	57		1	34	66
NDUFA11	2	89	8		54	46		1	5	95
NDUFA12	11	40	50		56	44		1	1	100
NDUFA13	1	86	14		100	1		1	14	86
NDUFA2	1	1	100		27	73		1	92	8
NDUFA4	1	65	35		82	18		1	14	85
NDUFA5	1	10	90		46	54		3	18	79
NDUFA6	3	24	74		57	43		1	1	100
NDUFA7	1	1	100		55	45		1	1	100
NDUFA8	1	1	99		36	64		1	30	70
NDUFA9	1	85	15		59	41		1	30	70
NDUFAB1	2	73	25		61	39		1	1	100
NDUFAF2	1	38	62		44	56		1	1	100
NDUFB10	1	1	100		36	64		1	11	89
NDUFB11	1	90	10		53	47		1	1	100
NDUFB3	1	68	32		67	33		1	1	100
NDUFB4	6	51	43		57	43		1	11	89
NDUFB5	3	59	37		74	26		1	18	82
