Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar
ARAF	66	34	1		97	3		100	1	1
ARAP1	36	64	1		96	4		84	1	16
ARCN1	62	33	4		52	48		91	1	8
ARF1	44	55	1		99	1		81	3	16
ARF3	1	100	1		100	1		1	100	1
ARF4	43	56	1		96	4		64	10	26
ARF5	100	1	1		100	1		60	7	33
ARF6	19	76	5		96	4		82	1	17
ARFGAP1	51	44	5		100	1		1	1	100
ARFGAP2	31	69	1		76	24		89	1	11
ARFGEF2	72	25	3		100	1		86	1	14
ARHGAP1	56	43	1		99	1		74	1	26
ARHGAP17	33	66	1		66	34		89	1	11
ARHGDIA	80	20	1		98	2		87	1	13
ARHGEF1	36	64	1		88	12		99	1	1
ARHGEF2	44	53	3		82	18		87	1	13
ARHGEF7	85	15	1		91	9		90	1	10
ARID1A	2	98	1		1	100		1	100	1
ARIH1	28	72	1		96	4		76	1	24
ARL1	42	58	1		100	1		61	9	30
ARL6IP5	10	85	5		87	13		1	1	100
ARL8A	100	1	1		100	1		50	50	1
ARL8B	31	60	9		100	1		1	8	92
ARMC1	60	1	40		46	54		76	1	24
ARMC10	1	66	34		79	21		1	81	19
ARMC6	92	6	2		100	1		81	1	19
ARMC8	49	49	2		77	23		68	1	32
ARPC1A	19	81	1		35	65		80	4	16
ARPC1B	20	78	2		34	66		79	1	20
ARPC2	23	75	2		39	61		83	2	15
ARPC3	17	80	3		30	70		75	6	19
ARPC4	20	79	1		38	62		73	8	20
ARPC5	36	61	2		34	66		80	8	12
ARPC5L	6	93	1		15	85		82	1	17
ASCC2	100	1	1		19	81		100	1	1
ASCC3	100	1	1		14	86		81	1	19
ASH2L	1	100	1		2	98		1	100	1
ASNA1	44	55	1		99	1		70	2	28
ASNS	72	28	1		80	20		39	1	61
ATAD1	2	63	34		8	92		1	41	59
ATG3	99	1	1		100	1		87	1	13
ATIC	71	29	1		98	2		84	1	16
ATL2	23	72	5		100	1		1	3	97
ATL3	9	88	3		99	1		1	1	100
ATM	44	56	1		1	100		42	1	58
ATP13A1	7	87	6		58	42		1	1	100
ATP1A1	5	75	20		82	18		44	8	48
ATP1B3	6	89	5		85	15		9	4	87
ATP2A2	12	79	9		89	11		1	2	98
ATP2C1	10	83	6		77	23		1	1	100
ATP5A1	1	73	25		100	1		4	11	85
ATP5B	5	85	10		91	9		2	9	89
ATP5C1	1	56	43		96	4		1	11	87
ATP5D	1	36	63		98	2		1	24	76
ATP5F1	1	61	38		97	3		1	12	88
ATP5H	1	24	76		93	7		1	15	85
ATP5I	1	50	50		89	11		1	4	96
ATP5J2	1	93	6		98	2		8	5	87
ATP5L	1	59	41		94	6		1	11	89
ATP5O	33	21	46		94	6		5	8	87
ATP6AP1	1	97	3		47	53		1	25	75
ATP6V0A2	80	18	2		60	40		1	43	57
ATP6V0D1	46	53	2		39	61		1	78	22
ATP6V1A	62	36	2		70	30		66	7	27
ATP6V1B2	64	36	1		74	26		61	23	16
ATP6V1C1	51	48	1		85	15		50	14	36
ATP6V1D	100	1	1		80	20		84	4	11
ATP6V1E1	90	8	2		74	26		60	25	15
ATP6V1G1	100	1	1		67	33		62	13	25
ATP6V1H	97	3	1		84	16		80	3	16
ATPAF2	1	40	60		68	32		1	7	93
ATXN10	78	21	1		100	1		97	1	3
ATXN2	81	16	3		14	86		1	1	100
ATXN2L	81	15	4		100	1		62	1	38
AUH	1	1	100		1	99		1	1	100
AUP1	21	77	2		100	1		1	1	100
BANF1	56	43	1		73	27		38	46	16
BASP1	39	44	17		78	22		79	2	20
BAX	32	58	10		91	9		67	1	33
BCAP31	8	77	14		94	6		1	7	93
BCAS2	1	100	1		1	100		21	53	26
BCAT2	1	77	22		100	1		1	1	100
BCCIP	35	64	1		100	1		61	9	30
BCKDK	1	1	100		62	38		1	100	1
BCL2L13	8	58	34		100	1		1	1	100
BCLAF1	2	98	1		1	100		1	100	1
BCS1L	1	72	28		99	1		1	2	98
BIRC6	63	37	1		100	1		89	1	11
BLMH	69	30	1		92	8		81	1	19
BLOC1S2	62	37	1		68	32		43	1	57
BLVRB	94	5	1		99	1		74	1	25
BOLA2	91	6	3		100	1		21	1	79
BOP1	42	58	1		1	100		1	100	1
BPHL	40	12	48		100	1		1	1	100
BPNT1	82	16	2		100	1		71	1	29
BRD2	1	100	1		1	100		50	38	11
BRD4	1	100	1		1	100		1	100	1
BRI3BP	8	59	33		60	40		1	1	100
BROX	75	25	1		100	1		76	1	24
BSG	8	80	13		94	6		34	32	34
BST2	29	56	16		24	76		1	1	100
BTF3	68	31	1		74	26		72	1	28
BUB3	20	78	2		10	90		39	32	29
BUD31	22	76	2		7	93		11	66	22
BYSL	62	38	1		1	99		16	64	20
BZW1	33	66	1		97	3		52	1	47
BZW2	26	74	1		95	5		74	2	23
C1QBP	1	87	12		92	8		13	16	71
CAB39	33	66	2		100	1		85	1	15
CACYBP	76	24	1		81	19		86	1	13
CALR	23	62	14		93	7		11	5	84
CALU	20	60	20		100	1		1	2	98
CAMK2G	30	70	1		21	79		76	6	18
CAND1	19	81	1		95	5		77	1	22
CANX	11	84	6		97	3		4	14	83
CAP1	76	23	1		99	1		88	1	11
CAPN1	83	17	1		99	1		89	1	11
CAPN7	66	34	1		97	3		100	1	1
CAPRIN1	50	45	5		18	82		85	4	11
CAPZA1	60	39	1		57	43		76	3	21
CAPZA2	62	38	1		62	38		78	3	19
CAPZB	55	43	2		1	100		74	5	20
CARHSP1	100	1	1		100	1		89	1	11
CARM1	68	32	1		99	1		82	1	18
CARS2	2	55	42		96	4		1	1	100
CASP3	100	1	1		100	1		84	1	16
CAT	25	63	11		97	3		11	6	83
CBFB	81	19	1		36	64		80	1	20
CBR4	1	1	100		66	34		1	17	83
CBWD1	96	4	1		84	16		100	1	1
CBX1	100	1	1		15	85		1	100	1
CBX3	58	42	1		21	79		16	59	25
CBX5	100	1	1		1	99		1	100	1
CCAR1	1	99	1		1	100		1	91	9
CCBL2	72	13	15		100	1		73	13	14
CCDC124	100	1	1		90	10		67	1	33
CCDC22	68	32	1		60	40		97	1	3
CCDC25	100	1	1		98	2		1	100	1
CCDC47	5	84	11		64	36		1	9	91
CCDC50	67	16	17		99	1		74	1	26
CCDC51	5	49	46		81	19		1	4	96
CCDC58	25	52	23		94	6		1	1	100
CCDC6	98	1	2		100	1		72	1	28
CCNK	2	98	1		3	97		1	100	1
CCT2	58	41	1		93	7		90	1	9
CCT3	56	43	1		93	7		84	1	15
CCT4	46	53	1		94	6		88	1	10
CCT5	54	46	1		93	7		89	1	10
CCT6A	68	31	1		100	1		89	1	10
CCT7	52	47	1		94	6		88	1	11
CCT8	53	46	1		92	8		84	1	15
CD2AP	39	55	6		33	67		94	1	6
CD2BP2	13	87	1		7	93		1	98	2
CD63	37	54	9		100	1		50	50	1
CD81	7	91	2		100	1		4	1	96
CDC37	62	37	1		97	3		69	1	31
CDC42	48	41	11		100	1		76	2	22
CDC42SE2	1	1	100		100	1		50	50	1
CDC5L	3	97	1		1	100		1	97	3
CDC73	4	96	1		1	100		5	72	24
CDIPT	2	96	2		100	1		1	1	100
CDK2	20	80	1		94	6		59	1	40
CDK5	52	48	1		94	6		74	1	26
CDK5RAP3	12	78	9		56	44		1	14	86
CDK6	100	1	1		74	26		100	1	1
CDK7	5	94	1		1	100		55	1	45
CDK9	6	94	1		12	88		1	72	28
CDKN2AIP	13	87	1		2	98		1	50	50
CDV3	90	10	1		99	1		72	1	28
CEBPZ	1	98	1		1	100		1	100	1
CECR5	4	54	42		95	5		1	1	100
CEPT1	1	98	2		35	65		1	1	100
CFDP1	1	100	1		100	1		23	1	77
CFL1	85	13	2		50	50		79	2	19
CHCHD3	1	48	52		1	99		1	19	81
CHCHD4	1	39	61		65	35		1	1	100
CHD1L	1	99	1		38	62		1	1	100
CHD4	1	99	1		1	100		1	75	23
CHD8	1	100	1		2	98		1	1	100
CHERP	4	96	1		1	100		1	100	1
CHID1	1	72	26		20	80		1	1	100
CHMP2A	24	75	1		94	6		66	5	29
CHMP4B	80	20	1		96	4		54	9	36
CHMP5	66	34	1		100	1		75	1	24
CHORDC1	88	11	1		100	1		82	1	18
CIAPIN1	89	8	3		100	1		68	1	32
CIRBP	37	63	1		6	94		11	81	8
CIRH1A	6	94	1		1	100		1	99	1
CISD1	6	71	23		75	25		1	23	77
CISD2	12	86	2		93	7		1	11	89
CKAP4	12	74	14		19	81		1	6	94
CKAP5	4	94	2		22	78		71	1	29
CLASP1	13	87	1		78	22		29	1	71
CLCC1	2	94	4		100	1		1	1	100
CLIC1	62	38	1		96	4		84	1	15
CLIC4	53	46	2		64	36		92	1	8
CLINT1	74	21	5		85	15		23	1	77
CLNS1A	83	17	1		100	1		62	1	38
CLPB	2	17	81		19	81		1	39	61
CLPP	1	66	34		100	1		1	1	100
CLPTM1	1	91	9		100	1		1	1	100
CLPTM1L	7	90	3		83	17		1	1	100
CLPX	12	30	58		100	1		1	1	100
CLTA	64	15	21		50	50		70	8	22
CLTB	66	27	7		60	40		67	1	33
CLTC	38	56	6		1	100		80	1	18
CMAS	1	100	1		1	100		5	64	31
CMPK1	87	13	1		99	1		75	1	24
CNBP	98	1	2		100	1		74	11	15
CNDP2	77	22	1		98	2		74	1	26
CNIH4	19	80	1		85	15		1	100	1
CNOT3	100	1	1		18	82		96	1	4
CNOT7	100	1	1		13	87		93	1	7
CNP	5	76	19		99	1		19	1	81
CNPY2	31	61	8		98	2		21	12	67
COASY	94	6	1		98	2		93	1	7
COG2	52	46	2		100	1		100	1	1
COG5	75	24	1		96	4		87	1	13
COIL	1	100	1		1	100		1	100	1
COMMD2	88	12	1		80	20		100	1	1
COMMD3	100	1	1		79	21		66	1	34
COMMD4	59	41	1		85	15		80	1	20
COMMD5	100	1	1		82	18		100	1	1
COMMD8	43	57	1		51	49		92	1	8
COMT	12	87	2		100	1		39	3	59
COMTD1	1	54	46		2	98		1	100	1
COPA	42	56	2		67	33		76	1	24
COPB1	42	57	1		66	34		77	1	23
COPB2	50	49	2		63	37		77	1	23
COPE	47	52	1		65	35		76	1	24
COPG2	33	33	33		80	20		83	1	17
COPS3	41	59	1		98	2		67	1	33
COPS4	57	42	1		97	3		66	1	34
COPS5	65	34	1		97	3		61	7	32
COPS6	49	51	1		97	3		76	1	23
COPS7A	82	17	1		96	4		80	1	19
COPS7B	74	26	1		98	2		86	1	14
