Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho
EXOC8	9	83	8
EXOG	1	13	87
EXOSC1	22	78	1
EXOSC10	5	95	1
EXOSC2	29	71	1
EXOSC3	19	81	1
EXOSC4	47	53	1
EXOSC5	21	78	1
EXOSC6	42	57	1
EXOSC7	22	78	1
EXOSC8	43	57	1
EXOSC9	9	90	1
EXTL2	1	97	1
EYA3	9	91	1
EZH2	1	100	1
EZR	20	75	5
FABP5	89	11	1
FADD	82	18	1
FADS1	6	91	3
FAF1	1	100	1
FAF2	9	79	12
FAH	73	27	1
FAHD1	1	78	22
FAHD2A	6	60	34
FAHD2B	1	1	100
FAM107B	33	33	33
FAM114A2	67	31	2
FAM115A	59	40	1
FAM115C	24	63	13
FAM120A	78	17	5
FAM120C	100	1	1
FAM129A	70	29	1
FAM136A	14	16	70
FAM151A	9	69	21
FAM162A	1	78	22
FAM175B	87	12	1
FAM20B	1	100	1
FAM213B	100	1	1
FAM21B	71	29	1
FAM32A	33	33	33
FAM3C	1	91	9
FAM49A	94	6	1
FAM49B	57	43	1
FAM50A	45	54	1
FAM65A	55	40	5
FAM73A	1	1	100
FAM91A1	85	15	1
FAM96B	100	1	1
FAM98A	69	30	2
FAM98B	6	94	1
FANCD2	48	52	1
FANCI	27	72	1
FAR1	16	60	23
FARS2	1	21	79
FARSA	57	42	1
FARSB	57	41	2
FAS	5	68	26
FASN	74	26	1
FASTKD1	1	1	100
FASTKD2	6	64	30
FASTKD5	11	34	55
FAU	67	32	1
FAU	67	32	1
FBL	7	93	1
FBLL1	1	100	1
FBXL18	5	94	1
FBXL19	1	100	1
FBXO18	1	100	1
FBXO22	33	33	33
FCF1	1	100	1
FCGR2B	16	74	10
FCHO1	80	15	5
FCHSD2	64	30	5
FDFT1	8	89	4
FDPS	68	31	1
FDX1	1	1	100
FEN1	30	69	1
FERMT3	18	81	1
FH	16	64	20
FHOD1	42	57	1
FIBP	22	78	1
FIG4	31	69	1
FIP1L1	6	93	1
FIS1	31	49	20
FKBP11	1	95	5
FKBP15	96	1	4
FKBP1A	100	1	1
FKBP2	93	1	7
FKBP3	100	1	1
FKBP4	73	27	1
FKBP5	60	40	1
FKBP8	3	81	16
FLAD1	47	46	7
FLII	84	16	1
FLNA	44	53	3
FLNB	78	21	1
FLOT1	13	62	26
FLOT2	12	72	17
FLVCR1	1	63	37
FLVCR2	1	28	72
FMNL1	74	25	1
FMNL2	1	1	100
FMNL3	14	77	9
FMR1	76	22	2
FN3KRP	54	46	1
FNBP1	62	36	2
FNBP4	1	98	2
FNDC3B	1	1	100
FNTA	84	16	1
FOXA2	1	100	1
FOXC2	1	100	1
FOXJ2	1	100	1
FOXJ3	1	99	1
FOXK1	1	100	1
FOXN2	1	1	100
FOXRED1	1	39	61
FPGS	1	96	4
FRYL	17	83	1
FSCN1	69	30	1
FSTL3	1	10	90
FTH1	69	14	16
FTO	58	36	6
FTSJ1	99	1	1
FTSJ3	4	96	1
FUBP1	11	88	1
FUBP3	66	13	22
FUK	93	7	1
FUNDC2	2	38	60
FUS	57	39	4
FXN	1	6	94
FXR1	60	38	3
FXR2	100	1	1
FYTTD1	1	100	1
G3BP1	60	37	4
G3BP2	60	38	3
G6PC3	77	23	1
G6PD	69	30	1
GAA	56	1	44
GABARAPL2	100	1	1
GABPA	8	92	1
GABPB1	3	96	1
GADD45GIP1	7	1	93
GAK	72	28	1
GALE	94	6	1
GALK1	65	26	9
GALM	59	41	1
GALNT1	1	1	100
GALNT2	2	94	4
GALNT6	1	16	84
GALNT7	3	92	5
GAN	100	1	1
GANAB	19	41	40
GAPDH	67	32	1
GAPDHS	100	1	1
GAPVD1	86	14	1
GAR1	18	81	1
GARS	67	29	4
GART	72	27	1
GATB	1	27	73
GBAS	2	76	22
GBE1	81	19	1
GBF1	88	11	1
GBP1	92	8	1
GBP2	91	1	9
GCA	100	1	1
GCDH	5	65	30
GCFC2	42	58	1
GCLM	100	1	1
GCN1L1	35	63	3
GCSH	1	86	14
GDAP1	7	44	49
GDI1	67	33	1
GDI2	61	39	1
GEMIN2	100	1	1
GEMIN4	71	29	1
GEMIN5	85	4	10
GEMIN6	89	1	11
GEMIN7	100	1	1
GEMIN8	76	6	18
GET4	100	1	1
GFER	1	1	100
GFM1	1	68	31
GFM2	1	1	100
GFPT1	73	26	1
GGA1	67	33	1
GGCT	98	2	1
GGH	26	68	6
GGT1	1	1	100
GHITM	9	1	91
GIGYF2	64	21	15
GIMAP2	1	91	9
GIMAP4	20	80	1
GIMAP5	1	20	80
GIMAP6	87	13	1
GINS3	100	1	1
GIT1	84	14	3
GIT2	88	12	1
GK	1	58	42
GK2	1	90	10
GLB1	97	1	3
GLE1	1	95	4
GLG1	6	82	12
GLIPR2	7	59	34
GLMN	90	10	1
GLO1	70	29	1
GLOD4	82	18	1
GLRX3	80	19	1
GLRX5	1	50	50
GLS	93	1	7
GLTP	54	46	1
GLTSCR2	1	98	2
GLUD1	3	71	26
GLYR1	1	100	1
GM2A	49	32	19
GMDS	82	18	1
GMEB1	60	31	9
GMEB2	1	99	1
GMFB	79	21	1
GMIP	100	1	1
GMPPA	100	1	1
GMPPB	99	1	1
GMPR2	100	1	1
GMPS	60	40	1
GNA13	1	91	9
GNA14	1	1	100
GNAI2	12	78	10
GNAI3	11	75	14
GNAS	24	66	9
GNAS	24	66	9
GNAS	24	66	9
GNAS	24	66	9
GNB1	12	75	12
GNB2	7	72	20
GNB2L1	53	45	2
GNE	100	1	1
GNG2	4	70	26
GNG5	3	55	42
GNL1	85	15	1
GNL2	1	97	1
GNL3	3	96	1
GNL3L	18	82	1
GNPAT	17	64	19
GNPDA1	93	7	1
GNPDA2	100	1	1
GNPNAT1	21	79	1
GOLGA2	5	81	15
GOLGA3	93	6	1
GOLGA7	4	56	41
GOLIM4	21	61	18
GOLM1	36	50	14
GOLPH3	8	91	1
GOLT1B	2	93	5
GORASP2	39	61	1
GOSR1	5	88	6
GOSR2	6	92	2
GOT1	69	31	1
GOT2	2	69	30
GPATCH4	3	97	1
GPATCH8	1	100	1
GPD1L	78	21	1
GPI	66	33	1
GPN1	20	80	1
GPN3	100	1	1
GPR107	4	96	1
GPR149	80	12	8
GPR89A	1	98	2
GPS1	70	30	1
GPX1	69	20	10
GPX4	49	50	1
GRHPR	52	43	4
GRIPAP1	77	22	1
GRK6	1	95	5
GRM1	1	100	1
GRPEL1	1	28	71
GRPEL2	1	32	68
GRSF1	7	45	48
GRWD1	33	67	1
GSDMD	100	1	1
GSK3A	59	39	2
GSKIP	100	1	1
GSPT1	48	52	1
GSR	78	11	11
GSS	57	40	3
GSTCD	100	1	1
GSTK1	1	1	100
GSTM1	74	26	1
GSTM4	100	1	1
GSTO1	71	27	2
GSTP1	64	36	1
GSTZ1	87	6	7
GTF2A1	84	16	1
GTF2A2	100	1	1
GTF2B	1	100	1
GTF2E1	64	36	1
GTF2F1	30	70	1
GTF2H1	5	95	1
GTF2H2C	8	92	1
GTF2H3	1	100	1
GTF2H4	2	98	1
GTF2I	1	99	1
GTF3C1	1	98	1
GTF3C2	1	99	1
GTF3C3	1	99	1
GTF3C4	3	91	6
GTF3C5	6	94	1
GTPBP1	100	1	1
GTPBP10	1	40	60
GTPBP3	1	68	32
GTPBP4	8	92	1
GTPBP8	1	1	100
GTSF1	77	3	20
GUF1	86	13	1
GUK1	44	1	56
GXYLT1	1	99	1
GYS1	100	1	1
H1FX	3	96	1
H2AFB2	8	91	1
H2AFV	43	56	1
H2AFX	17	82	1
H3F3A	77	23	1
HACL1	28	53	19
HADH	3	97	1
HADHA	5	62	33
HADHB	1	45	55
HAGH	1	1	100
HARS	56	43	1
HARS2	1	29	71
HAT1	71	29	1
HAUS2	1	99	1
HAUS3	1	100	1
HAUS4	33	33	33
HAUS6	61	38	1
HAUS7	51	49	1
HAX1	1	52	48
HBD	1	100	1
HBS1L	52	44	4
HCCS	1	54	45
HCFC1	2	98	1
HCLS1	99	1	1
HDAC1	5	95	1
HDAC2	5	95	1
HDAC3	1	100	1
HDAC7	11	88	1
HDDC2	94	5	1
HDGF	44	56	1
HDGFRP2	73	27	1
HDHD2	87	13	1
HDLBP	50	39	11
HEATR1	1	100	1
HEATR5B	94	6	1
HEATR6	86	14	1
HELLS	2	98	1
HERC1	100	1	1
HERC2	40	59	2
HERC4	91	9	1
HERPUD1	1	56	44
HEXA	45	54	1
HEXB	1	92	8
HEXIM1	22	78	1
HGS	52	25	23
HIBADH	2	63	34
HIBCH	1	1	100
HIGD1A	1	1	100
HIGD2A	1	93	7
HINT1	100	1	1
HINT2	1	78	22
HIP1	12	61	27
HIP1R	3	43	54
HIRIP3	86	14	1
HIST1H1A	1	99	1
HIST1H1B	1	98	2
HIST1H1C	1	98	1
HIST1H1E	1	100	1
HIST1H2BL	30	68	2
HIST1H3A	49	50	1
HIST1H4A	23	73	4
HIST2H2AC	40	59	1
HIST2H2BE	1	100	1
HIST2H3A	45	52	3
HIST2H3PS2	22	76	1
HK1	14	69	17
HK2	41	52	7
HKDC1	1	100	1
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-A	13	75	13
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-B	11	62	27
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-C	15	43	42
HLA-DMB	34	46	20
HLA-DPB1	7	89	4
HLA-DQA1	13	81	6
HLA-DQB1	20	63	17
HLA-DRA	19	76	5
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB1	22	70	9
HLA-DRB3	28	49	23
HLA-DRB4	11	52	37
HLA-G	37	31	32
HLTF	33	33	33
HM13	15	74	11
HMBS	100	1	1
HMG20A	16	84	1
HMGB1	25	73	2
HMGB1P1	1	100	1
HMGB2	21	76	3
HMGB3	6	93	1
HMGCL	12	39	49
HMGCR	41	1	59
HMGCS1	63	37	1
HMGN3	31	69	1
HMOX1	12	82	6
HMOX2	13	85	2
HN1	33	33	33
HN1L	1	96	4
HNRNPA0	12	87	1
HNRNPA1	30	66	4
HNRNPA2B1	30	66	4
HNRNPA3	49	48	3
HNRNPAB	30	69	1
HNRNPC	12	88	1
HNRNPD	51	48	1
HNRNPF	18	81	1
HNRNPH1	14	84	1
HNRNPH2	5	95	1
HNRNPH3	1	97	2
HNRNPK	27	72	1
HNRNPL	12	87	1
HNRNPLL	16	83	1
HNRNPM	1	100	1
HNRNPR	15	85	1
HNRNPU	23	76	1
HNRNPUL1	16	83	1
HNRNPUL2	14	86	1
HOOK3	76	24	1
HP1BP3	1	99	1
HPCAL1	45	55	1
HPDL	1	67	33
HPRT1	65	35	1
HS1BP3	33	33	33
HS2ST1	1	96	4
HSBP1	73	26	1
HSD17B10	4	68	27
HSD17B11	6	89	5
HSD17B12	13	86	1
HSD17B4	20	67	13
HSD17B7	4	87	10
HSD17B8	8	1	92
HSDL1	1	41	59
HSDL2	9	53	38
HSP90AA1	60	40	1
HSP90AB1	64	36	1
HSP90AB2P	64	36	1
HSP90AB4P	1	100	1
HSP90B1	24	65	11
HSPA13	8	89	3
HSPA14	45	52	3
HSPA1A	46	53	1
HSPA2	1	99	1
HSPA4	60	40	1
HSPA4L	83	17	1
HSPA5	19	71	10
HSPA6	40	48	12
HSPA8	1	99	1
HSPA9	1	61	38
HSPB1	68	32	1
HSPBP1	55	45	1
HSPD1	2	67	30
HSPE1	7	10	84
HSPH1	62	38	1
HTATIP2	1	69	31
HTATSF1	4	95	1
HTRA2	10	53	38
HTT	92	8	1
HUWE1	75	23	2
HYOU1	20	72	8
HYPK	55	45	1
IARS	48	50	3
IARS2	1	78	21
IBA57	4	54	42
ICAM1	10	79	11
ICAM2	1	96	4
ICMT	23	77	1
ICT1	1	44	56
IDE	90	8	1
IDH1	77	22	1
IDH2	3	58	39
IDH3A	1	73	26
IDH3B	1	46	54
IDH3G	1	65	35
IDI1	56	39	4
IER3IP1	3	96	1
IFI16	3	93	4
IFI30	72	1	28
IFI35	73	26	1
IFIH1	53	46	1
IFIT1	71	27	2
IFIT3	84	16	1
IFIT5	85	15	1
IFITM2	18	65	18
IGBP1	100	1	1
IGF2BP1	88	11	1
IGF2BP2	96	1	4
IGF2BP3	85	14	1
IGF2R	36	53	11
IGKC	1	1	100
IGSF8	13	52	35
IK	8	92	1
IKBIP	12	69	18
IKBKAP	85	14	1
IKBKB	33	33	33
IKBKG	72	28	1
IKZF1	1	100	1
IKZF3	1	98	2
IL10RB	1	1	100
IL2RG	1	76	24
IL32	17	60	23
IL4I1	31	57	12
ILF2	20	80	1
ILF3	26	73	1
ILK	24	76	1
ILKAP	6	94	1
ILVBL	4	94	2
IMMT	1	60	39
IMP3	3	97	1
IMP4	13	87	1
IMPA1	92	8	1
IMPAD1	1	96	3
IMPDH2	94	6	1
INF2	51	49	1
ING1	1	100	1
INPP5D	2	98	1
INTS1	2	98	1
INTS10	1	98	2
INTS2	1	100	1
INTS3	1	99	1
INTS4	1	97	2
INTS5	1	100	1
INTS6	1	97	2
INTS7	25	62	14
INTS8	1	100	1
INTS9	3	97	1
IPO11	100	1	1
IPO4	53	47	1
IPO5	62	37	2
IPO7	60	39	1
IPO8	59	41	1
IPO9	77	23	1
IQGAP1	69	31	1
IQGAP2	98	1	2
IREB2	75	25	1
IRF2BPL	21	76	2
IRF3	97	1	3
IRF4	1	99	1
IRF5	1	100	1
IRGQ	91	9	1
ISCA2	1	1	100
ISG15	72	25	2
ISOC1	56	43	1
ISOC2	1	90	10
ITFG3	1	73	27
ITGA5	5	85	10
ITGB1	6	83	11
ITGB2	5	87	9
ITGB5	1	97	3
ITGB6	1	100	1
ITM2C	2	96	2
ITPA	73	27	1
ITPR1	11	85	4
ITPR2	1	86	13
ITPR3	1	98	2
ITSN2	24	7	69
IVD	1	23	77
IVL	77	23	1
IWS1	19	81	1
JAGN1	6	83	11
JAK1	1	49	51
JAK3	74	26	1
JAM2	1	57	43
JAM3	1	24	76
JMJD6	40	60	1
JTB	1	93	7
JUNB	1	96	4
KARS	44	50	6
KAT8	1	100	1
KATNAL2	49	49	2
KCMF1	85	15	1
KCNAB2	69	31	1
KCNMA1	1	29	71
KDELC1	1	66	34
KDELR1	6	93	1
KDM1A	6	94	1
KDM3B	19	81	1
KDM5C	100	1	1
KDM8	45	13	42
KDSR	1	93	7
KEAP1	68	30	2
KHDRBS1	16	83	1
KHK	100	1	1
KHSRP	6	94	1
KIAA0020	3	97	1
KIAA0196	97	3	1
KIAA0391	1	11	89
KIAA1033	92	2	6
KIAA1211	1	31	69
KIAA1279	92	8	1
KIAA1429	1	100	1
KIAA1468	100	1	1
KIAA1524	59	41	1
KIAA2013	1	97	3
KIDINS220	17	73	11
KIF11	71	29	1
KIF13A	1	1	100
KIF18B	1	100	1
KIF20A	1	100	1
KIF21A	32	65	3
KIF22	1	100	1
KIF23	1	100	1
KIF2A	8	91	1
KIF2C	1	98	1
KIF4A	6	93	1
KIF5B	76	22	2
KIF5C	1	72	28
KIFC1	1	100	1
KLC1	82	18	1
KLC2	100	1	1
KLHDC4	100	1	1
KMO	1	88	12
KMT2D	1	100	1
KPNA1	26	74	1
KPNA2	26	74	1
KPNA3	20	80	1
KPNA4	17	83	1
KPNA6	30	70	1
KPNB1	30	70	1
KRAS	9	80	11
KRI1	1	100	1
KRR1	6	94	1
KRT1	2	97	1
KRT10	1	99	1
KRT2	1	98	1
KRT5	6	94	1
KRT75	1	89	11
KRT8	1	100	1
KRT84	1	100	1
KRT9	1	97	2
KRTCAP2	1	98	2
KTI12	1	100	1
KTN1	15	65	20
KYNU	74	26	1
L2HGDH	1	19	81
L3HYPDH	100	1	1
LACC1	100	1	1
LACTB	1	69	30
LACTB2	93	1	7
LAGE3	83	17	1
LAMC1	33	33	33
LAMP1	33	40	27
LAMP2	41	54	5
LAMTOR1	98	1	2
LAMTOR2	54	37	10
LAMTOR3	98	1	2
LANCL1	24	76	1
LANCL2	22	77	1
LAP3	45	49	6
LARP1	68	27	6
LARP1B	33	33	33
LARP4	43	39	18
LARP4B	85	15	1
LARP7	17	82	1
LARS	54	44	2
LARS2	1	48	51
LAS1L	1	99	1
LASP1	100	1	1
LBR	2	97	2
LCLAT1	6	89	5
LCMT1	100	1	1
LCMT2	100	1	1
LCP1	60	39	1
LDB1	1	99	1
LDHA	66	34	1
LDHB	65	34	1
LDLR	23	70	7
LEMD2	11	87	3
LEMD3	1	100	1
LENG8	1	100	1
LEO1	1	100	1
LEPRE1	27	55	18
LEPROTL1	85	9	7
LETM1	1	68	31
LGALS1	47	52	1
LGMN	98	1	2
LIG1	63	36	1
LIG3	1	100	1
LIMS1	39	61	1
LIMS2	33	33	33
LIN7C	1	1	100
LIPA	46	53	1
LITAF	76	1	24
LIX1L	33	33	33
LLPH	1	100	1
LMAN1	11	84	6
LMAN2	10	86	4
LMAN2L	27	73	1
LMBR1	1	99	1
LMF2	4	62	34
LMNA	8	92	1
LMNB1	1	98	1
LMNB2	3	96	1
LNP	12	73	16
LONP1	3	72	25
LPCAT1	5	91	4
LPCAT4	1	94	6
LPGAT1	6	93	1
LPXN	67	33	1
LRBA	59	16	25
LRIT1	16	84	1
LRPAP1	17	37	46
LRPPRC	1	71	29
LRRC1	1	1	100
LRRC40	30	70	1
LRRC41	35	65	1
LRRC47	81	19	1
LRRC57	1	76	24
LRRC59	22	74	4
LRRC8A	1	1	100
LRRC8D	1	1	100
LRRFIP1	92	8	1
LRRFIP2	100	1	1
LRSAM1	52	48	1
LRWD1	1	100	1
LSG1	8	81	11
LSM1	76	24	1
LSM12	100	1	1
LSM14A	17	75	9
LSM2	33	67	1
LSM3	36	64	1
LSM4	89	11	1
LSM5	30	70	1
LSP1	42	55	3
LSS	10	84	6
LTA4H	70	29	1
LTN1	38	59	2
LTV1	100	1	1
LUC7L	9	91	1
LUC7L2	22	77	1
LUC7L3	34	65	2
LY75	8	82	11
LYAR	3	97	1
LYN	8	84	8
LYPLA1	61	31	8
LYPLA2	48	51	1
LYPLAL1	72	19	9
LYRM2	1	1	100
LYRM4	11	1	89
LYRM7	1	1	100
LZIC	81	19	1
M6PR	37	58	4
MACF1	21	42	37
MAD1L1	10	90	1
MAD2L1	50	50	1
MAEA	30	70	1
MAGEA1	64	36	1
MAGEA10	23	77	1
MAGEA4	57	43	1
MAGEA9	40	59	1
MAGEB1	53	45	2
MAGEB2	48	49	3
MAGEC1	50	49	1
MAGEC2	21	79	1
MAGED2	70	29	1
MAGI1	100	1	1
MAGOH	28	72	1
MAGOHB	1	100	1
MAGT1	12	79	10
MAK16	1	100	1
MALT1	100	1	1
MAN1A1	1	98	2
MAN2B1	41	51	8
MANBA	46	50	3
MANBAL	33	33	33
MANF	58	9	33
MAP1LC3B	31	69	1
MAP1S	62	38	1
MAP2K1	44	56	1
MAP2K2	90	7	3
MAP2K3	39	61	1
MAP2K4	76	24	1
MAP2K7	1	100	1
MAP3K4	100	1	1
MAP4	61	38	1
MAP4K1	18	82	1
MAP4K4	34	58	7
MAP7D1	67	31	1
MAPK1	36	64	1
MAPK14	83	16	1
MAPK15	47	52	1
MAPK1IP1L	100	1	1
MAPK3	39	60	1
MAPK4	1	100	1
MAPK8	93	7	1
MAPRE1	30	70	1
MAPRE2	33	67	1
MAPRE3	43	57	1
MARCKS	31	62	7
MARCKSL1	33	52	14
MARK2	1	1	100
MARK3	38	60	1
MARS	54	43	2
MARS_2	1	48	52
MAST1	100	1	1
MAST4	3	97	1
MAT2A	69	31	1
MAT2B	89	11	1
MATR3	4	96	1
MAU2	1	100	1
MAZ	1	98	2
MBD3	1	100	1
MBNL1	86	7	7
MBOAT2	1	1	100
MBOAT7	11	83	6
MCAT	1	26	74
MCCC1	6	64	30
MCCC2	1	63	37
MCFD2	1	43	57
MCM2	33	67	1
MCM3	27	72	1
MCM3AP	4	96	1
MCM4	33	67	1
MCM5	23	75	1
MCM6	28	72	1
MCM7	34	66	1
MCMBP	93	5	2
MCTS1	16	82	3
MDH1	60	40	1
MDH2	5	63	32
MDN1	2	98	1
ME2	1	70	29
MECR	1	36	64
MED1	1	100	1
MED12	1	100	1
MED13L	1	100	1
MED14	1	99	1
MED15	1	100	1
MED16	1	99	1
MED17	1	99	1
MED18	32	68	1
MED19	4	96	1
MED20	3	97	1
MED21	1	100	1
MED22	3	97	1
MED23	2	91	7
MED24	1	99	1
MED25	9	91	1
MED27	81	19	1
MED29	1	100	1
MED30	5	95	1
MED4	5	94	1
MED6	1	100	1
MED7	1	100	1
MED8	1	100	1
MEIS1	1	100	1
MEMO1	49	51	1
MEN1	1	99	1
MEPCE	19	81	1
MESDC2	50	1	50
METAP1	88	11	1
METAP2	58	41	1
METTL1	100	1	1
METTL13	31	69	1
METTL14	33	33	33
METTL15	1	1	100
METTL17	1	1	100
METTL2B	100	1	1
METTL3	13	87	1
METTL7A	1	95	5
METTL9	1	99	1
MFAP1	2	97	1
MFF	1	89	11
MFI2	18	66	16
MFN1	3	28	69
MFN2	12	33	55
MFSD10	4	95	1
MGAT2	1	99	1
MGEA5	78	20	2
MGMT	3	96	1
MGST3	1	98	2
MIA3	11	69	21
MIC13	1	83	17
MICAL1	100	1	1
MICAL3	33	33	33
MICU2	1	64	36
MIEF1	1	24	76
MIF	76	24	1
MIF4GD	1	100	1
MINA	1	99	1
MINOS1	1	29	71
MINPP1	11	72	17
MIPEP	1	54	46
MKLN1	99	1	1
MLEC	8	86	6
MLH1	1	100	1
MLKL	11	87	2
MLLT4	40	56	4
MMAB	1	70	30
MMGT1	18	71	11
MMP12	17	81	1
MMS19	77	23	1
MMTAG2	16	84	1
MNX1	75	25	1
MOGS	10	86	4
MON2	100	1	1
MORC3	1	100	1
MORF4L1	2	98	1
MORF4L2	13	86	1
MOSPD2	11	81	8
MOV10	99	1	1
MP68	1	73	27
MPC1	1	86	14
MPDU1	13	83	4
MPG	1	99	1
MPHOSPH10	1	95	4
MPI	100	1	1
MPP1	1	1	100
MPP6	1	74	26
MPST	53	43	4
MPV17	1	92	8
MPV17L2	1	78	22
MPZL1	1	73	27
MRE11A	1	99	1
MRFAP1	1	100	1
MRI1	86	14	1
MRM1	1	35	65
MRPL1	1	36	64
MRPL10	1	24	76
MRPL11	6	7	87
MRPL13	5	50	44
MRPL14	1	1	100
MRPL15	1	75	25
MRPL16	3	51	46
MRPL17	1	31	69
MRPL18	1	21	79
MRPL19	4	51	46
MRPL2	1	40	60
MRPL20	1	27	72
MRPL21	1	58	42
MRPL22	4	29	67
MRPL23	1	67	33
MRPL24	1	64	36
MRPL27	1	16	84
MRPL28	1	69	31
MRPL3	5	64	31
MRPL30	1	1	100
MRPL32	1	1	100
MRPL33	1	20	80
MRPL34	1	58	42
MRPL35	1	37	63
MRPL37	27	47	26
MRPL38	11	58	31
MRPL39	1	46	54
MRPL4	1	91	9
MRPL40	1	1	100
MRPL41	1	55	45
MRPL43	2	1	98
MRPL44	1	86	13
MRPL45	1	41	58
MRPL46	2	50	47
MRPL47	1	51	48
MRPL48	1	79	21
MRPL49	70	1	30
MRPL50	1	1	100
MRPL51	15	49	36
MRPL53	1	38	62
MRPL9	4	40	56
MRPS10	1	1	100
MRPS11	1	37	63
MRPS12	1	1	100
MRPS14	3	32	65
MRPS15	1	50	50
MRPS16	1	31	69
MRPS17	1	70	30
MRPS18A	1	25	74
MRPS18B	4	1	95
MRPS2	1	51	49
MRPS21	1	57	43
MRPS22	4	35	61
MRPS23	17	67	16
MRPS24	21	43	36
MRPS25	1	6	94
MRPS26	1	24	76
MRPS27	1	72	28
MRPS28	1	1	100
MRPS30	1	54	46
MRPS31	1	23	77
MRPS33	1	17	83
MRPS34	12	51	37
MRPS35	1	54	46
MRPS5	1	50	50
MRPS6	1	39	61
MRPS7	1	3	97
MRPS9	6	61	33
MRRF	1	6	92
MRTO4	25	75	1
MSANTD2	1	100	1
MSH2	4	95	1
MSH6	6	94	1
MSMO1	1	97	3
MSN	22	68	10
MSRA	57	39	4
MST4	31	67	2
MTA1	1	100	1
MTA2	4	94	2
MT-ATP6	1	94	6
MT-ATP8	1	86	14
MTCH1	1	14	86
MTCH2	1	1	100
MT-CO1	1	89	11
MT-CO2	1	84	15
MT-CO3	1	55	45
MT-CYB	77	22	1
MTDH	12	78	10
MTERF4	25	18	57
MTFP1	1	59	41
MTFR1L	84	1	16
MTG1	1	31	69
MTG2	1	1	100
MTHFD1	56	42	3
MTHFD1L	1	37	62
MTHFD2	3	66	31
MTHFS	94	1	6
MTIF2	6	43	51
MTM1	1	49	51
MTMR14	36	63	1
MTMR2	96	1	4
MT-ND1	1	97	3
MT-ND2	1	96	4
MT-ND3	1	91	9
MT-ND4	1	55	45
MT-ND5	1	81	19
MT-ND6	1	88	12
MTOR	73	27	1
MTPAP	4	43	52
MTPN	82	18	1
MTX1	1	64	35
MTX2	1	57	42
MTX3	14	56	30
MUL1	1	1	100
MUT	1	63	37
MVD	71	29	1
MVK	61	39	1
MVP	66	32	2
MX1	1	94	6
MX2	1	98	1
MYBBP1A	1	99	1
MYCBP	6	89	5
MYD88	62	38	1
MYEF2	1	100	1
MYH10	50	37	14
MYH14	54	46	1
MYH9	74	26	1
MYL1	100	1	1
MYL12A	59	40	1
MYL6	77	22	1
MYL6B	33	33	33
MYLK	42	58	1
MYO18A	93	2	5
MYO19	10	18	72
MYO1C	17	74	10
MYO1D	1	1	100
MYO1E	86	14	1
MYO1G	13	82	5
MYO9B	78	8	13
MYOF	18	53	29
NAA10	76	21	3
NAA15	59	40	1
NAA25	60	35	5
NAA35	100	1	1
NAA50	87	13	1
NACA	55	44	1
NACA	55	44	1
NACC1	3	96	1
NAE1	70	30	1
NAF1	76	24	1
NAGA	55	1	45
NAGK	77	23	1
NAMPT	73	27	1
NANS	90	10	1
NAP1L1	65	35	1
NAP1L4	76	24	1
NAPA	19	77	5
NARS	63	37	1
NARS2	1	43	57
NASP	60	40	1
NAT10	1	98	1
NAT14	1	90	10
NAV1	36	64	1
NBAS	1	97	3
NCALD	100	1	1
NCAPD2	26	74	1
NCAPD3	2	98	1
NCAPG	24	76	1
