Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
Q96MW1	CCDC43					cytosol			
Q96A33	CCDC47	ER		ER	ER		ER		ER
Q8IVM0	CCDC50			cytosol	cytosol	cytosol			
Q96ER9	CCDC51	Mitochondrion		Mitochondrion					Mitochondrion
Q9Y3C0	CCDC53	Endosome		Endosome	endosome				Endosome
Q8NEL0	CCDC54								
Q2TAC2	CCDC57					CS			
Q4VC31	CCDC58	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q9P031	CCDC59	Nucleus	Nucleus	Nucleus	Nucleus				
Q16204	CCDC6	Cytosol	CS	Cytosol	CS	cytosol			Cytosol
Q8IWA6	CCDC60								
Q9Y6R9	CCDC61			CS	CS		Nucleus		
Q6P9F0	CCDC62								
Q8NA47	CCDC63								
Q6ZP65	CCDC64	CS	CS	CS	CS				
A1A5D9	CCDC64B						CS		
Q8IXS2	CCDC65								
A2RUB6	CCDC66						CS		
Q05D60	CCDC67			CS	CS				
Q9H2F9	CCDC68								
A6NI79	CCDC69								
Q96M83	CCDC7								
Q6NSX1	CCDC70								
Q8IV32	CCDC71						Nucleus		
Q8N9Z2	CCDC71L								
Q6ZRK6	CCDC73								
Q96AQ1	CCDC74A								
Q96LY2	CCDC74B								
Q9BR77	CCDC77						Nucleus		
A2IDD5	CCDC78								
Q8NA31	CCDC79								
Q9H0W5	CCDC8			CS	CS				
Q76M96	CCDC80								
Q6ZN84	CCDC81	CS	CS	CS	CS		PM		
Q8N4S0	CCDC82								
Q8IWF9	CCDC83								
Q86UT8	CCDC84								
Q96PX6	CCDC85A								
Q15834	CCDC85B								
A6NKD9	CCDC85C	CS	CS	CS	CS				
Q9H6F5	CCDC86	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q9NVE4	CCDC87								
Q3V6T2	CCDC88A								
A6NC98	CCDC88B								
Q9P219	CCDC88C	cytosol	cytosol	cytosol	cytosol		Nucleus		
Q8N998	CCDC89						Nucleus		
Q9Y3X0	CCDC9						cytosol		
Q9GZT6	CCDC90B	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion
Q7Z6B0	CCDC91								
Q53HC0	CCDC92			CS	CS				
Q567U6	CCDC93	Endosome	endosome	Endosome	endosome				Endosome
Q9BW85	CCDC94								
Q2M329	CCDC96	CS	CS	CS	CS				
Q96F63	CCDC97								
Q8TC90	CCER1								
I3L3R5	CCER2								
Q8TD31	CCHCR1					cytosol			
Q13939	CCIN								
P06307	CCK								
P32238	CCKAR			PM	PM				
P32239	CCKBR			PM	PM				
P22362	CCL1								
P51671	CCL11								
Q99616	CCL13								
Q16627	CCL14								
Q16663	CCL15						Golgi		
O15467	CCL16								
Q92583	CCL17								
P55774	CCL18								
Q99731	CCL19								
P13500	CCL2								
P78556	CCL20								
O00585	CCL21								
O00626	CCL22								
P55773	CCL23								
O00175	CCL24								
O15444	CCL25								
Q9Y258	CCL26								
Q9Y4X3	CCL27								
Q9NRJ3	CCL28								
P10147	CCL3								
P16619	CCL3L1 CCL3L3								
P13236	CCL4								
Q8NHW4	CCL4L1 CCL4L2								
P13501	CCL5								
P80098	CCL7								
P80075	CCL8								
Q9BSQ5	CCM2	PM	cytosol	PM	cytosol	Mitochondrion			PM
Q9NUG4	CCM2L								
P78396	CCNA1			Nucleus	Nucleus				
P20248	CCNA2								
P14635	CCNB1					cytosol			
Q9NPC3	CCNB1IP1			CS	CS				
O95067	CCNB2								
Q8WWL7	CCNB3	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
P24863	CCNC	Nucleus	Nucleus	Nucleus	Nucleus				
P24385	CCND1					Nucleus			
P30279	CCND2					Nucleus			
P30281	CCND3								
O95273	CCNDBP1					Nucleus			
P24864	CCNE1			Nucleus	Nucleus	Nucleus			
O96020	CCNE2			Nucleus	Nucleus				
P41002	CCNF			Nucleus	Nucleus	CS			
P51959	CCNG1	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q16589	CCNG2	cytosol	cytosol	cytosol	cytosol				
P51946	CCNH	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q14094	CCNI								
Q6ZMN8	CCNI2								
Q5T5M9	CCNJ			Nucleus	Nucleus				
Q8IV13	CCNJL			Nucleus	Nucleus		Nucleus		
O75909	CCNK	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			Nucleus
Q9UK58	CCNL1			Nucleus	Nucleus				
Q96S94	CCNL2			Nucleus	Nucleus				
P22674	CCNO			CS	CS				
O60563	CCNT1	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
O60583	CCNT2			Nucleus	Nucleus				
Q8ND76	CCNY	PM		PM					PM
Q8N7R7	CCNYL1						PM		
Q5T2Q4	CCNYL2								
P0C7X3	CCNYL3								
O43303	CCP110	CS	CS	CS	CS	CS			
Q9ULG6	CCPG1								
P32246	CCR1			PM	PM				
P46092	CCR10			PM	PM				
P41597	CCR2			PM	PM				
P51677	CCR3			PM	PM				
P51679	CCR4			PM	PM				
P51681	CCR5			PM	PM				
P51684	CCR6			PM	PM				
P32248	CCR7			PM	PM				
P51685	CCR8			PM	PM				
P51686	CCR9			PM	PM				
O00421	CCRL2	PM	PM	PM	PM				
Q9UK39	CCRN4L								
O14618	CCS			cytosol	cytosol				
Q6IQ19	CCSAP								
Q9C0I3	CCSER1								
Q9H7U1	CCSER2			CS	CS				
Q4G0I0	CCSMST1								
P78371	CCT2	cytosol	cytosol	cytosol	cytosol	cytosol			
P49368	CCT3			cytosol	cytosol				
P50991	CCT4								
P48643	CCT5			CS	CS				
P40227	CCT6A	cytosol	cytosol	cytosol	cytosol		cytosol		
Q92526	CCT6B	cytosol	cytosol	cytosol	cytosol		cytosol		
Q99832	CCT7			cytosol	cytosol		cytosol		
P50990	CCT8			CS	CS				
A6NM43	CCT8L1P	cytosol	cytosol	cytosol	cytosol				
Q96SF2	CCT8L2	cytosol	cytosol	cytosol	cytosol				
P86791	CCZ1			lysosome	lysosome				
P86790	CCZ1B			lysosome	lysosome				
Q93033	CD101			PM	PM				
Q6YHK3	CD109	PM		PM	PM				PM
P08571	CD14								
P48509	CD151	PM		PM					PM
O95971	CD160	PM	PM	PM	PM				
Q86VB7	CD163								
Q9NR16	CD163L1								
Q04900	CD164								
Q6UWJ8	CD164L2								
Q8N6Q3	CD177	PM	PM	PM	PM				
Q99467	CD180	PM	PM	PM	PM				
P15391	CD19			PM	PM				
P06126	CD1A			PM	PM				
P29016	CD1B								
P29017	CD1C								
P15813	CD1D								
P15812	CD1E								
P06729	CD2					Nucleus			
P41217	CD200			PM	PM				
Q8TD46	CD200R1								
Q6Q8B3	CD200R1L								
Q9UJ71	CD207						cytosol		
Q9NNX6	CD209								
P20273	CD22	PM	PM	PM	PM				
Q15762	CD226								
P25063	CD24			PM	PM				
Q9BZW8	CD244	PM	PM	PM	PM				
P20963	CD247								
Q9HCU0	CD248								
P26842	CD27								
Q9NZQ7	CD274	PM	PM	PM	PM				
Q5ZPR3	CD276	PM		PM	PM				PM
P10747	CD28								
Q9Y5K6	CD2AP								
O95400	CD2BP2								
Q9UGN4	CD300A	PM	PM	PM	PM				
Q08708	CD300C	PM	PM	PM	PM				
Q496F6	CD300E	PM	PM	PM	PM				
A8K4G0	CD300LB	PM	PM	PM	PM				
