Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
P04217	A1BG								
Q9NQ94	A1CF					Nucleus			
P01023	A2M								
A8K2U0	A2ML1								
Q9NPC4	A4GALT	Golgi	Golgi	Golgi	Golgi				
Q9UNA3	A4GNT	Golgi	Golgi	Golgi	Golgi				
Q9NRG9	AAAS			Nucleus	Nucleus				
Q86V21	AACS	Cytosol	cytosol	Cytosol	cytosol				Cytosol
P22760	AADAC	ER	ER	ER	ER				
Q6P093	AADACL2								
Q5VUY0	AADACL3								
Q5VUY2	AADACL4								
Q8N5Z0	AADAT	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		PM		
Q7RTV5	AAED1								
Q6PD74	AAGAB			cytosol	cytosol				
Q2M2I8	AAK1					PM			
Q9H7C9	AAMDC			cytosol	cytosol				
Q13685	AAMP					CS			
Q16613	AANAT			cytosol	cytosol				
Q9Y312	AAR2						cytosol		
Q4LEZ3	AARD						Mitochondrion		
P49588	AARS	Cytosol		Cytosol	cytosol	cytosol			Cytosol
Q5JTZ9	AARS2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9BTE6	AARSD1	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
Q4L235	AASDH								
Q9NRN7	AASDHPPT	cytosol	cytosol	cytosol	cytosol				
Q9UDR5	AASS			Mitochondrion	Mitochondrion	Mitochondrion			
Q9NY61	AATF	Nucleus		nucleus	Nucleus			Nucleus	Nucleus
Q6ZMQ8	AATK						Mitochondrion		
P80404	ABAT			Mitochondrion	Mitochondrion				
O95477	ABCA1	PM		PM					PM
Q8WWZ4	ABCA10								
Q4W5N1	ABCA11P								
Q86UK0	ABCA12								
Q86UQ4	ABCA13								
Q9BZC7	ABCA2								
Q99758	ABCA3								
P78363	ABCA4								
Q8WWZ7	ABCA5						Nucleus		
Q8N139	ABCA6								
Q8IZY2	ABCA7								
O94911	ABCA8			PM	PM				
Q8IUA7	ABCA9			Mitochondrion	Mitochondrion				
P08183	ABCB1	PM	PM	PM	PM				
Q9NRK6	ABCB10	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
O95342	ABCB11								
P21439	ABCB4								
Q2M3G0	ABCB5	PM	PM	PM	PM				
Q9NP58	ABCB6	Lysosome		Lysosome					Lysosome
O75027	ABCB7	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9NUT2	ABCB8	Mitochondrion		Mitochondrion	Mitochondrion				Mitochondrion
Q9NP78	ABCB9			lysosome	lysosome				
P33527	ABCC1	PM	PM	PM	PM	PM		PM	PM
Q5T3U5	ABCC10			PM	PM				
Q96J66	ABCC11			PM	PM				
Q96J65	ABCC12								
Q9NSE7	ABCC13								
Q92887	ABCC2	PM	PM	PM	PM				
O15438	ABCC3			PM	PM		PM		
O15439	ABCC4								
O15440	ABCC5			PM	PM				
O95255	ABCC6					PM			
Q09428	ABCC8			PM	PM				
O60706	ABCC9								
P33897	ABCD1			Peroxisome	Peroxisome				
Q9UBJ2	ABCD2			Peroxisome	Peroxisome				
P28288	ABCD3	Peroxisome		Peroxisome	Peroxisome			Peroxisome	Peroxisome
O14678	ABCD4			Peroxisome	Peroxisome				
P61221	ABCE1					cytosol			
Q8NE71	ABCF1					cytosol			
Q9UG63	ABCF2								
Q9NUQ8	ABCF3					cytosol			
P45844	ABCG1								
Q9UNQ0	ABCG2	PM		PM					PM
Q9H172	ABCG4			PM	PM				
Q9H222	ABCG5			PM	PM		Nucleus		
Q9H221	ABCG8			PM	PM				
Q96SE0	ABHD1								
Q9NUJ1	ABHD10	Mitochondrion		Mitochondrion	Mitochondrion	Nucleus		Mitochondrion	Mitochondrion
Q8NFV4	ABHD11	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q8N2K0	ABHD12	ER		ER	PM				ER
Q7Z5M8	ABHD12B						Nucleus		
Q7L211	ABHD13						cytosol		
Q9BUJ0	ABHD14A								
Q96IU4	ABHD14B								
Q6UXT9	ABHD15								
O95870	ABHD16A	ER		ER					ER
Q9H3Z7	ABHD16B						Nucleus		
Q96GS6	ABHD17A								
Q5VST6	ABHD17B								
Q6PCB6	ABHD17C								
P08910	ABHD2								
Q8WU67	ABHD3			PM	PM				
Q8TB40	ABHD4			ER	ER		Nucleus		
Q8WTS1	ABHD5								
Q9BV23	ABHD6	ER		ER	Mitochondrion				ER
Q96I13	ABHD8						Nucleus		
Q8IZP0	ABI1	PM		PM					PM
Q9NYB9	ABI2	CS	CS	CS	CS		Nucleus		
Q9P2A4	ABI3			CS	CS				
Q7Z7G0	ABI3BP								
P00519	ABL1					Nucleus			
P42684	ABL2			CS	CS	Nucleus			
O14639	ABLIM1			CS	CS	cytosol			
Q6H8Q1	ABLIM2	CS	CS	CS	CS				
O94929	ABLIM3	cytosol	cytosol	cytosol	cytosol				
P16442	ABO			Golgi	Golgi				
Q12979	ABR	CS		CS					CS
Q8N0Z2	ABRA			CS	CS				
Q9P1F3	ABRACL								
Q9ULW3	ABT1	Nucleus	Nucleus	nucleus	Nucleus			Nucleus	Nucleus
Q969K4	ABTB1			cytosol	cytosol				
Q8N961	ABTB2			Nucleus	Nucleus	Nucleus			
P09110	ACAA1			Peroxisome	Peroxisome				
P42765	ACAA2	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q13085	ACACA			cytosol	cytosol				
O00763	ACACB								
Q6JQN1	ACAD10	Mitochondrion		Mitochondrion	Mitochondrion				Mitochondrion
Q709F0	ACAD11	Peroxisome		Peroxisome					Peroxisome
Q9UKU7	ACAD8	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q9H845	ACAD9	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P28330	ACADL	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P11310	ACADM	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P16219	ACADS	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P45954	ACADSB	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P49748	ACADVL	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P16112	ACAN								
Q15027	ACAP1			endosome	endosome				
Q15057	ACAP2	endosome	endosome	endosome	endosome				
Q96P50	ACAP3								
P24752	ACAT1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9BWD1	ACAT2	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
Q9H3P7	ACBD3					Golgi			
Q8NC06	ACBD4								
Q5T8D3	ACBD5	Peroxisome		Peroxisome	Peroxisome			Peroxisome	Peroxisome
Q9BR61	ACBD6	cytosol	cytosol	cytosol	cytosol				
Q8N6N7	ACBD7								
Q96QU6	ACCS						Golgi		
Q4AC99	ACCSL								
Q96AP0	ACD			Nucleus	Nucleus				
P12821	ACE								
Q9BYF1	ACE2								
Q8TDN7	ACER1	ER	ER	ER	ER				
Q5QJU3	ACER2	Golgi	Golgi	Golgi	Golgi				
Q9NUN7	ACER3								
P22303	ACHE								
Q9UKV3	ACIN1	Nucleus		Nucleus	Nucleus				Nucleus
Q16570	ACKR1			PM	PM				
O00590	ACKR2								
P25106	ACKR3					PM			
Q9NPB9	ACKR4			PM	PM				
P53396	ACLY	Cytosol		Cytosol	cytosol				Cytosol
Q8TDX5	ACMSD			cytosol	cytosol		cytosol		
Q9NRP4	ACN9	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P21399	ACO1	Cytosol		Cytosol	cytosol				Cytosol
Q99798	ACO2	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q86TX2	ACOT1	cytosol	cytosol	cytosol	cytosol		Mitochondrion		
Q8WXI4	ACOT11	cytosol	cytosol	cytosol	cytosol				
Q8WYK0	ACOT12	cytosol	cytosol	cytosol	cytosol				
Q9NPJ3	ACOT13	Mitochondrion		Mitochondrion					Mitochondrion
P49753	ACOT2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion		
Q8N9L9	ACOT4	Peroxisome	Peroxisome	Peroxisome	Peroxisome				
Q3I5F7	ACOT6			cytosol	cytosol				
O00154	ACOT7								
Q6ZUV0	ACOT7L	cytosol	cytosol	cytosol	cytosol				
O14734	ACOT8	Peroxisome		Peroxisome				Peroxisome	Peroxisome
Q9Y305	ACOT9	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q15067	ACOX1			Peroxisome	Peroxisome				
Q99424	ACOX2			Peroxisome	Peroxisome				
O15254	ACOX3	Peroxisome		Peroxisome	Peroxisome				Peroxisome
Q9NUZ1	ACOXL			Peroxisome	Peroxisome				
P24666	ACP1	Cytosol		Cytosol	cytosol				Cytosol
P11117	ACP2	Lysosome		Lysosome				Lysosome	Lysosome
P13686	ACP5			lysosome	lysosome		cytosol		
Q9NPH0	ACP6	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q8TE99	ACPL2			Golgi	Golgi				
P15309	ACPP								
Q9BZG2	ACPT								
P10323	ACR								
Q8NEB7	ACRBP								
Q96QF7	ACRC	Nucleus	Nucleus	Nucleus	Nucleus				
P26436	ACRV1								
Q96GR2	ACSBG1								
Q5FVE4	ACSBG2						cytosol		
Q96CM8	ACSF2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q4G176	ACSF3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P33121	ACSL1	ER		ER					ER
O95573	ACSL3	ER		ER					ER
O60488	ACSL4	ER		ER					ER
Q9ULC5	ACSL5	ER		ER					ER
Q9UKU0	ACSL6								
Q08AH1	ACSM1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q08AH3	ACSM2A	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q68CK6	ACSM2B	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q53FZ2	ACSM3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P0C7M7	ACSM4	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q6NUN0	ACSM5	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q6P461	ACSM6	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q9NR19	ACSS2			cytosol	cytosol				
Q9H6R3	ACSS3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion		
P68133	ACTA1	CS	CS	CS	CS				
P62736	ACTA2	CS	CS	CS	CS				
P60709	ACTB								
Q562R1	ACTBL2	CS	CS	CS	CS				CS
P68032	ACTC1			CS	CS				
P63261	ACTG1			CS	CS				
P63267	ACTG2	CS		CS	CS				CS
Q5JWF8	ACTL10								
O96019	ACTL6A			Nucleus	Nucleus				
O94805	ACTL6B	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q9Y615	ACTL7A					Nucleus			
Q9Y614	ACTL7B	CS	CS	CS	CS				
Q9H568	ACTL8	CS	CS	CS	CS		cytosol		
Q8TC94	ACTL9	CS	CS	CS	CS		Nucleus		
P12814	ACTN1	CS		CS				CS	CS
P35609	ACTN2			CS	CS				
Q08043	ACTN3			CS	CS				
O43707	ACTN4	CS		CS				CS	CS
Q9NZ32	ACTR10	CS	CS	CS	CS	Nucleus			
P61163	ACTR1A	CS	CS	CS	CS		CS		
P42025	ACTR1B			CS	CS		CS		
P61160	ACTR2			CS	CS		cytosol		
P61158	ACTR3			CS	CS				
Q9P1U1	ACTR3B	CS	CS	CS	CS				
Q9C0K3	ACTR3C								
Q9H9F9	ACTR5	Nucleus		Nucleus					Nucleus
Q9GZN1	ACTR6								
Q9H981	ACTR8	Nucleus		Nucleus				Nucleus	Nucleus
Q8TDG2	ACTRT1	CS	CS	CS	CS				
Q8TDY3	ACTRT2	CS	CS	CS	CS				
Q9BYD9	ACTRT3						Nucleus		
Q04771	ACVR1			PM	PM				
P36896	ACVR1B	PM	PM	PM	PM	cytosol			
Q8NER5	ACVR1C			PM	PM		CS		
P27037	ACVR2A						cytosol		
Q13705	ACVR2B			PM	PM				
P37023	ACVRL1			PM	PM				
Q03154	ACY1	Cytosol	cytosol	Cytosol	cytosol		Nucleus		Cytosol
Q96HD9	ACY3								
P07311	ACYP1								
P14621	ACYP2			Mitochondrion	Mitochondrion		Nucleus		
P00813	ADA								
Q96M93	ADAD1	Nucleus	Nucleus	Nucleus	Nucleus				
Q8NCV1	ADAD2								
Q6DHV7	ADAL			cytosol	cytosol		CS		
O14672	ADAM10	PM		PM		PM			PM
O75078	ADAM11			PM	PM		Nucleus		
O43184	ADAM12								
Q13444	ADAM15								
P78536	ADAM17	PM		PM		cytosol			PM
Q9Y3Q7	ADAM18								
Q9H013	ADAM19			Golgi	Golgi				
Q99965	ADAM2			PM	PM		PM		
O43506	ADAM20			PM	PM				
Q9UKJ8	ADAM21								
Q9P0K1	ADAM22			PM	PM				
O75077	ADAM23						CS		
Q9UKQ2	ADAM28								
Q9UKF5	ADAM29			PM	PM				
Q9UKF2	ADAM30			PM	PM				
Q8TC27	ADAM32								
Q9BZ11	ADAM33								
Q6NVV9	ADAM5								
Q9H2U9	ADAM7			PM	PM				
P78325	ADAM8								
Q13443	ADAM9								
O15204	ADAMDEC1								
Q9UHI8	ADAMTS1					cytosol			
Q9H324	ADAMTS10						cytosol		
P58397	ADAMTS12								
Q76LX8	ADAMTS13								
Q8WXS8	ADAMTS14						cytosol		
Q8TE58	ADAMTS15						cytosol		
Q8TE57	ADAMTS16								
Q8TE56	ADAMTS17								
Q8TE60	ADAMTS18								
Q8TE59	ADAMTS19								
O95450	ADAMTS2								
P59510	ADAMTS20								
O15072	ADAMTS3								
O75173	ADAMTS4								
Q9UNA0	ADAMTS5			ER	ER	Nucleus			
Q9UKP5	ADAMTS6								
Q9UKP4	ADAMTS7								
Q9UP79	ADAMTS8								
Q9P2N4	ADAMTS9	ER	ER	ER	ER				
Q8N6G6	ADAMTSL1			ER	ER		Nucleus		
Q86TH1	ADAMTSL2								
P82987	ADAMTSL3								
Q6UY14	ADAMTSL4			ER	ER				
Q5T5F5	ADAMTSL4-AS1								
Q6ZMM2	ADAMTSL5								
O75689	ADAP1								
Q9NPF8	ADAP2								
P55265	ADAR					Nucleus			
P78563	ADARB1			nucleus	Nucleus				
Q9NS39	ADARB2	Nucleus	Nucleus	Nucleus	Nucleus				
A8MUL3	ADARB2-AS1								
Q9BUB4	ADAT1								
Q7Z6V5	ADAT2			Nucleus	Nucleus				
Q96EY9	ADAT3						Nucleus		
Q86TW2	ADCK1	Mitochondrion		Mitochondrion	Mitochondrion		Nucleus		Mitochondrion
Q7Z695	ADCK2						CS		
Q8NI60	ADCK3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q96D53	ADCK4								
Q3MIX3	ADCK5			Mitochondrion	Mitochondrion				
Q08828	ADCY1						Mitochondrion		
Q96PN6	ADCY10						cytosol		
Q08462	ADCY2						Golgi		
O60266	ADCY3	PM		PM					PM
Q8NFM4	ADCY4								
O95622	ADCY5								
O43306	ADCY6						Golgi		
P51828	ADCY7			PM	PM				
P40145	ADCY8			PM	PM				
O60503	ADCY9	PM		PM	PM		cytosol		PM
P18509	ADCYAP1								
P41586	ADCYAP1R1			PM	PM				
P35611	ADD1								
P35612	ADD2								
Q9UEY8	ADD3								
Q8N7X0	ADGB								
P07327	ADH1A	cytosol	cytosol	cytosol	cytosol				
P00325	ADH1B	cytosol	cytosol	cytosol	cytosol				
P00326	ADH1C	cytosol	cytosol	cytosol	cytosol				
P08319	ADH4	cytosol	cytosol	cytosol	cytosol				
P11766	ADH5	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
P28332	ADH6	cytosol	cytosol	cytosol	cytosol				
P40394	ADH7			cytosol	cytosol				
Q8IWW8	ADHFE1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q9BV57	ADI1	Cytosol		Cytosol					Cytosol
Q0VDE8	ADIG								
Q15848	ADIPOQ								
Q96A54	ADIPOR1	PM		PM	PM				PM
Q86V24	ADIPOR2	ER		ER	PM		Nucleus		ER
Q15847	ADIRF			Nucleus	Nucleus				
P55263	ADK								
P35318	ADM								
Q7Z4H4	ADM2								
C9JUS6	ADM5								
Q9H2P0	ADNP	Nucleus		Nucleus	Nucleus				Nucleus
Q6IQ32	ADNP2	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q96SZ5	ADO			Mitochondrion	Mitochondrion				
P30542	ADORA1			PM	PM		Nucleus		
P29274	ADORA2A	PM	PM	PM	PM				
P86434	ADORA2A-AS1								
P29275	ADORA2B	PM	PM	PM	PM				
Q6P2N6	ADORA3	PM	PM	PM	PM				
P33765	ADORA3	PM	PM	PM	PM				
Q9BRR6	ADPGK	ER		ER	ER		CS		ER
P54922	ADPRH								
Q8NDY3	ADPRHL1								
Q9NX46	ADPRHL2					Nucleus			
Q3LIE5	ADPRM			cytosol	cytosol				
P35348	ADRA1A								
P35368	ADRA1B								
P25100	ADRA1D			PM	PM				
P08913	ADRA2A			PM	PM				
P18089	ADRA2B			PM	PM				
P18825	ADRA2C			PM	PM				
P08588	ADRB1			PM	PM				
P07550	ADRB2								
P13945	ADRB3			PM	PM				
P25098	ADRBK1								
P35626	ADRBK2								
Q16186	ADRM1	cytosol		cytosol				cytosol	cytosol
P30566	ADSL					cytosol			
P30520	ADSS	Cytosol		Cytosol	cytosol			Cytosol	Cytosol
Q8N142	ADSSL1	cytosol	cytosol	cytosol	cytosol				
Q96IZ2	ADTRP			PM	PM				
Q8IUX7	AEBP1								
Q6ZN18	AEBP2	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q8WTP8	AEN	Nucleus		nucleus	Nucleus				Nucleus
Q08117	AES	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q8N556	AFAP1			CS	CS	CS			
Q8TED9	AFAP1L1			CS	CS				
Q8N4X5	AFAP1L2			cytosol	cytosol				
P51825	AFF1			Nucleus	Nucleus				
P51816	AFF2	Nucleus	Nucleus	Nucleus	Nucleus				
P51826	AFF3			Nucleus	Nucleus				
Q9UHB7	AFF4	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
Q9Y4W6	AFG3L2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P43652	AFM								
Q63HM1	AFMID						Mitochondrion		
P02771	AFP					cytosol			
Q6ULP2	AFTPH			CS	CS				
P20933	AGA			lysosome	lysosome				
Q9UPQ3	AGAP1	CS		CS	cytosol				CS
Q5T2P9	AGAP10								
Q8TF27	AGAP11								
Q99490	AGAP2								
Q96P47	AGAP3								
Q96P64	AGAP4								
A6NIR3	AGAP5								
Q5VW22	AGAP6								
Q5VUJ5	AGAP7P								
Q5SRD3	AGAP8								
Q5VTM2	AGAP9								
Q96MI9	AGBL1	cytosol	cytosol	cytosol	cytosol				
Q5U5Z8	AGBL2								
Q8NEM8	AGBL3	cytosol	cytosol	cytosol	cytosol				
Q5VU57	AGBL4								
Q8NDL9	AGBL5						cytosol		
Q15109	AGER								
P52594	AGFG1								
O95081	AGFG2								
Q8N302	AGGF1								
Q53H12	AGK	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P35573	AGL								
Q9BSE5	AGMAT	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q6ZNB7	AGMO	ER	ER	ER	ER				
Q9UL18	AGO1			CS	CS				
Q9UKV8	AGO2								
Q9H9G7	AGO3			CS	CS				
Q9HCK5	AGO4			CS	CS				
Q99943	AGPAT1	ER	ER	ER	ER				ER
O15120	AGPAT2	ER	ER	ER	ER		CS		ER
Q9NRZ7	AGPAT3	ER		ER					ER
Q9NRZ5	AGPAT4	ER		ER	ER				ER
Q9H0P7	AGPAT4-IT1								
Q9NUQ2	AGPAT5								
Q86UL3	AGPAT6	ER	ER	ER	ER			ER	ER
Q53EU6	AGPAT9	ER	ER	ER	ER				
O00116	AGPS	Peroxisome		Peroxisome				Peroxisome	Peroxisome
O95994	AGR2			ER	ER		cytosol		
Q8TD06	AGR3			ER	ER				
O00468	AGRN								
O00253	AGRP								
P01019	AGT								
Q9UPW5	AGTPBP1								
P30556	AGTR1			PM	PM				
P50052	AGTR2			PM	PM				
Q6RW13	AGTRAP								
P21549	AGXT								
Q9BYV1	AGXT2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q8WYP5	AHCTF1	Nucleus		Nucleus				Nucleus	Nucleus
P23526	AHCY	Cytosol		Cytosol		cytosol		Cytosol	Cytosol
O43865	AHCYL1					cytosol			
Q96HN2	AHCYL2								
Q5TGY3	AHDC1	Nucleus		Nucleus		Nucleus			Nucleus
Q8N157	AHI1			CS	CS				
Q09666	AHNAK			Nucleus	Nucleus				
Q8IVF2	AHNAK2			Nucleus	Nucleus				
P35869	AHR								
A9YTQ3	AHRR								
O95433	AHSA1	Cytosol		Cytosol		cytosol			Cytosol
Q719I0	AHSA2						CS		
P02765	AHSG								
Q9NZD4	AHSP			cytosol	cytosol				
Q9GZX7	AICDA								
Q96BJ3	AIDA			cytosol	cytosol				
P55008	AIF1								
Q9BQI0	AIF1L								
O95831	AIFM1	Mitochondrion		Mitochondrion				Mitochondrion	Mitochondrion
Q9BRQ8	AIFM2								
Q96NN9	AIFM3								
Q9NVV5	AIG1						Golgi		
Q9Y4K1	AIM1								
Q8N1P7	AIM1L					Nucleus			
O14862	AIM2								
Q12904	AIMP1					cytosol			
Q13155	AIMP2						cytosol		
O00170	AIP			cytosol	cytosol				
Q9NZN9	AIPL1								
O43918	AIRE								
Q9UKB5	AJAP1								
Q96IF1	AJUBA								
P00568	AK1	CS		CS	cytosol				CS
P54819	AK2	Mitochondrion		Mitochondrion	Mitochondrion				Mitochondrion
Q9UIJ7	AK3	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				Mitochondrion
P27144	AK4	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q9Y6K8	AK5	cytosol	cytosol	cytosol	cytosol				
Q9Y3D8	AK6								
Q96M32	AK7	cytosol	cytosol	cytosol	cytosol				
Q96MA6	AK8	cytosol	cytosol	cytosol	cytosol				
Q5TCS8	AK9								
Q92667	AKAP1	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
O43572	AKAP10								
Q9UKA4	AKAP11			CS	CS				
Q02952	AKAP12								
Q12802	AKAP13					cytosol			
Q86UN6	AKAP14	cytosol	cytosol	cytosol	cytosol				
Q02040	AKAP17A			Nucleus	Nucleus				
Q9Y2D5	AKAP2								
O75969	AKAP3								
Q5JQC9	AKAP4			CS	CS				
P24588	AKAP5						Nucleus		
Q13023	AKAP6								
O43687	AKAP7	PM	PM	PM	PM				
Q9P0M2	AKAP7	PM	PM	PM	PM				
O43823	AKAP8					Nucleus			
Q9ULX6	AKAP8L					Nucleus			
Q99996	AKAP9								
Q9NQ31	AKIP1			Nucleus	Nucleus	Nucleus			
Q9H9L7	AKIRIN1	Nucleus	Nucleus	Nucleus	Nucleus				
Q53H80	AKIRIN2	Nucleus	Nucleus	Nucleus	Nucleus				
Q7Z591	AKNA	Nucleus	Nucleus	Nucleus	Nucleus				
Q5T1N1	AKNAD1			cytosol	cytosol	cytosol			
P14550	AKR1A1	Cytosol		Cytosol					Cytosol
P15121	AKR1B1	Cytosol		Cytosol	cytosol				Cytosol
O60218	AKR1B10								
C9JRZ8	AKR1B15								
Q04828	AKR1C1	cytosol	cytosol	cytosol	cytosol				
P52895	AKR1C2	cytosol	cytosol	cytosol	cytosol				
P42330	AKR1C3			cytosol	cytosol				
P17516	AKR1C4	cytosol	cytosol	cytosol	cytosol				
Q5T2L2	AKR1CL1	cytosol	cytosol	cytosol	cytosol				
P51857	AKR1D1	cytosol	cytosol	cytosol	cytosol	Nucleus			
Q96JD6	AKR1E2	cytosol	cytosol	cytosol	cytosol				
O43488	AKR7A2					cytosol			
O95154	AKR7A3	cytosol	cytosol	cytosol	cytosol				
Q8NHP1	AKR7L			cytosol	cytosol				
P31749	AKT1								
Q96B36	AKT1S1			cytosol	cytosol	cytosol			
P31751	AKT2								
Q9Y243	AKT3								
Q9H8T0	AKTIP								
P13716	ALAD								
P13196	ALAS1			Mitochondrion	Mitochondrion				
P22557	ALAS2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
P02768	ALB								
Q13740	ALCAM						cytosol		
Q8IZ83	ALDH16A1	Cytosol		Cytosol		Mitochondrion			Cytosol
P54886	ALDH18A1			Mitochondrion	Mitochondrion	Mitochondrion			
P00352	ALDH1A1	cytosol	cytosol	cytosol	cytosol				
O94788	ALDH1A2			cytosol	cytosol				
P47895	ALDH1A3	cytosol	cytosol	cytosol	cytosol				
P30837	ALDH1B1	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
O75891	ALDH1L1			cytosol	cytosol	cytosol			
Q3SY69	ALDH1L2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			
P05091	ALDH2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
P30838	ALDH3A1			cytosol	cytosol				
P51648	ALDH3A2	ER		ER					ER
P43353	ALDH3B1						Nucleus		
P48448	ALDH3B2								
P30038	ALDH4A1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		cytosol	Mitochondrion	Mitochondrion
P51649	ALDH5A1	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q02252	ALDH6A1	Mitochondrion		Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
P49419	ALDH7A1	Mitochondrion		Mitochondrion					Mitochondrion
Q9H2A2	ALDH8A1	Mitochondrion	cytosol	Mitochondrion	cytosol				Mitochondrion
P49189	ALDH9A1			cytosol	cytosol		cytosol		
P04075	ALDOA	Cytosol		Cytosol	CS		cytosol	Cytosol	Cytosol
P05062	ALDOB			CS	CS		Nucleus		
P09972	ALDOC	Cytosol		Cytosol					Cytosol
Q9BT22	ALG1	ER	ER	ER	ER				
Q5BKT4	ALG10	ER	ER	ER	ER		ER		
Q5I7T1	ALG10B	ER		ER	PM		ER		ER
Q2TAA5	ALG11	ER	ER	ER	ER			ER	ER
Q9BV10	ALG12	ER	ER	ER	ER				
Q9NP73	ALG13			ER	ER				
Q96F25	ALG14						Nucleus		
Q6GMV1	ALG1L			ER	ER				
C9J202	ALG1L2			ER	ER				
Q9H553	ALG2	ER		ER					ER
Q92685	ALG3	ER	ER	ER	ER				
Q9Y673	ALG5	ER	ER	ER	ER		cytosol		
Q9Y672	ALG6	ER	ER	ER	ER	ER			ER
Q9BVK2	ALG8	ER	ER	ER	ER		Nucleus		
Q9H6U8	ALG9	ER	ER	ER	ER				ER
Q9UM73	ALK	PM	PM	PM	PM				
Q13686	ALKBH1								
Q6NS38	ALKBH2			Nucleus	Nucleus	Nucleus			
Q96Q83	ALKBH3								
