Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
MDH1	62	10	1	4	6	22	12	22	20	16	26		170	10	12	1	1	1		60	40	1		91	7	1		7	1	93		100	1	1	1		41	6	53		99	1		75	1	25		87	1	1	13
NPL	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		1	1	1		1	1	1		1	1	1	1		1	1	1		100	1		1	1	1		1	1	1	1
PAFAH1B3	142	28	1	1	6	6	1	4	4	4	1		1	1	1	1	1	1		73	27	1		91	8	1		76	9	14		100	1	1	1		53	9	38		100	1		89	1	10		89	1	1	11
PDCL3	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		90	10	1		64	30	6		92	3	5		100	1	1	1		42	5	53		100	1		88	1	12		82	1	1	18
PGD	150	44	1	1	1	1	1	4	1	1	1		146	12	24	8	4	6		68	32	1		91	7	1		14	1	84		100	1	1	1		33	14	54		99	1		78	1	22		88	1	1	12
PGK1	54	92	22	4	1	1	4	10	1	1	4		168	14	8	4	6	1		61	38	1		85	14	1		34	14	52		74	1	26	1		45	8	47		98	2		73	1	27		86	1	1	12
PPP6C	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		83	17	1		82	16	1		94	2	4		1	1	1	1		100	1	1		98	2		82	1	16		95	1	1	5
PRDX2	102	58	16	4	1	1	1	6	6	1	1		130	30	14	10	16	1		1	1	1		91	8	1		82	4	14		100	1	1	1		35	4	61		97	3		75	2	23		88	1	1	12
PRMT3	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		41	59	1		16	77	6		1	1	1		1	1	1	1		1	1	1		1	1		90	1	10		99	1	1	1
PSMA1	152	48	1	1	1	1	1	1	1	1	1		84	32	46	36	1	1		75	25	1		79	19	1		86	7	8		100	1	1	1		38	19	44		96	4		64	3	32		65	1	1	34
PSMA2	152	1	1	1	46	1	1	1	1	1	1		100	56	38	6	1	1		59	41	1		81	18	1		87	6	7		100	1	1	1		35	3	62		96	4		59	1	41		55	1	3	42
PSMA3	156	44	1	1	1	1	1	1	1	1	1		132	48	10	8	1	1		53	47	1		70	27	3		90	5	6		100	1	1	1		22	17	61		92	8		78	1	21		72	1	1	26
PSMA4	160	40	1	1	1	1	1	1	1	1	1		132	42	26	1	1	1		57	43	1		74	19	7		1	1	1		100	1	1	1		34	15	51		95	5		73	2	25		70	1	1	30
PSMA5	126	74	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		50	50	1		73	26	1		93	2	4		84	16	1	1		29	8	63		93	7		78	1	21		66	1	5	28
PSMA6	132	64	4	1	1	1	1	1	1	1	1		76	44	44	24	1	12		71	29	1		72	27	1		89	5	6		84	1	1	16		33	11	55		92	8		75	1	24		55	1	1	44
PSMA7	146	50	4	1	1	1	1	1	1	1	1		132	30	22	10	4	4		53	47	1		72	26	1		1	1	1		85	1	1	15		31	11	58		93	7		82	1	17		79	1	1	21
PSMB1	140	60	1	1	1	1	1	1	1	1	1		126	44	18	10	1	1		54	46	1		78	20	1		88	6	6		78	1	1	22		71	6	24		96	4		62	1	37		79	1	1	21
PSMB2	160	30	10	1	1	1	1	1	1	1	1		112	38	28	20	1	1		51	49	1		71	27	1		88	6	6		100	1	1	1		18	6	75		94	6		80	1	20		57	1	1	43
PSMB3	142	46	12	1	1	1	1	1	1	1	1		94	64	30	12	1	1		40	60	1		78	21	1		89	5	6		100	1	1	1		31	7	62		97	3		64	3	33		73	1	1	27
PSMB4	148	50	1	1	1	1	1	1	1	1	1		46	32	50	66	1	6		53	47	1		78	20	1		89	5	6		1	1	1	1		33	11	56		96	4		65	5	30		69	1	1	29
PSMB5	148	48	4	1	1	1	1	1	1	1	1		96	22	76	6	1	1		58	41	1		71	28	1		89	4	7		93	1	1	7		32	16	52		99	1		64	5	31		73	1	1	26
PSMB6	144	56	1	1	1	1	1	1	1	1	1		158	10	30	1	1	1		43	55	3		63	36	1		85	5	9		1	1	1	100		36	13	52		96	4		63	8	29		41	30	1	30
PSMB7	184	16	1	1	1	1	1	1	1	1	1		98	20	66	18	1	1		62	37	1		73	25	1		88	6	6		100	1	1	1		21	13	67		100	1		56	1	44		72	1	1	28
