"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"CS"	1	6	1	94
"CSDC2"	93	1	1	7
"CSDE1"	63	2	4	31
"CSE1L"	65	1	6	28
"CSK"	100	1	1	1
"CSNK1A1"	53	14	1	34
"CSNK1D"	50	35	1	16
"CSNK1G3"	1	40	32	28
"CSNK2A1"	43	4	1	54
"CSNK2A2"	46	6	1	48
"CSPG4"	7	2	7	84
"CSRP1"	79	1	1	20
"CSRP2"	15	47	12	27
"CST3"	1	2	1	98
"CSTA"	98	1	1	2
"CSTB"	87	1	1	12
"CSTF1"	1	43	23	35
"CSTF2"	25	29	6	40
"CSTF2T"	35	59	1	6
"CSTF3"	1	75	10	15
"CT45A2"	39	5	1	55
"CT83"	1	1	1	100
"CTAGE5"	1	39	1	61
"CTBP1"	1	4	1	96
"CTBP2"	26	1	1	74
"CTCF"	1	76	12	12
"CTDP1"	39	1	1	61
"CTDSPL2"	1	69	30	1
"CTH"	97	1	1	2
"CTNNA1"	13	10	55	21
"CTNNA2"	26	4	20	50
"CTNNB1"	4	8	59	30
"CTNNBIP1"	100	1	1	1
"CTNNBL1"	3	25	10	62
"CTNND1"	6	18	12	64
"CTPS1"	87	1	1	12
"CTR9"	31	64	1	5
"CTSA"	1	2	30	68
"CTSB"	1	3	1	97
"CTSC"	1	1	1	99
"CTSD"	1	2	15	82
"CTSL"	1	8	1	92
"CTSZ"	1	1	1	99
"CTTN"	61	8	4	27
"CTTNBP2NL"	69	1	1	31
"CUL1"	47	1	5	48
"CUL2"	71	1	1	29
"CUL3"	80	1	1	20
"CUL4A"	67	5	1	29
"CUL4B"	22	33	1	44
"CUL5"	52	34	1	14
"CUL7"	85	1	9	6
"CUTA"	90	1	1	10
"CUX1"	33	33	1	33
"CWC15"	1	73	7	19
"CWC22"	1	31	60	9
"CWC27"	54	19	1	27
"CWF19L1"	34	1	1	66
"CXADR"	1	3	36	61
"CXorf38"	100	1	1	1
"CXorf67"	49	7	15	29
"CYB5A"	1	3	1	97
"CYB5B"	1	1	1	98
"CYB5R1"	1	11	1	89
"CYB5R3"	1	3	41	56
"CYC1"	1	20	35	45
"CYCS"	9	2	4	85
"CYFIP1"	58	13	1	30
"CYFIP2"	28	46	1	25
"CYP51A1"	1	1	1	100
"CYR61"	1	1	1	100
"CYTH3"	95	5	1	1
"DAD1"	1	5	2	94
"DAG1"	1	9	27	64
"DAGLB"	12	1	1	88
"DAK"	100	1	1	1
"DAP"	100	1	1	1
"DAP3"	1	11	22	68
"DARS"	80	1	1	18
"DARS2"	1	7	1	93
"DAZAP1"	2	42	25	31
"DBI"	97	1	1	3
"DBN1"	2	31	63	4
"DBNL"	93	1	1	7
"DBR1"	33	1	1	67
"DBT"	1	84	1	16
"DCAF13"	1	25	66	9
"DCBLD2"	1	1	1	100
"DCK"	99	1	1	1
"DCP1A"	99	1	1	1
"DCP1B"	50	50	1	1
"DCPS"	62	16	1	21
"DCTD"	100	1	1	1
"DCTN2"	85	1	1	15
"DCTN3"	88	1	1	12
"DCTN4"	83	1	1	17
"DCTN5"	95	1	1	5
"DCTN6"	85	1	1	15
"DCTPP1"	87	1	1	13
"DCUN1D1"	79	1	1	21
"DCUN1D5"	61	1	7	31
"DCXR"	44	1	1	56
"DDA1"	6	3	1	91
"DDAH1"	76	1	1	23
"DDAH2"	71	1	1	28
"DDB1"	55	10	1	33
"DDB2"	1	61	15	24
"DDHD1"	41	1	1	59
"DDOST"	1	3	28	68
"DDRGK1"	1	2	22	76
"DDT"	89	1	1	11
"DDX1"	33	5	8	54
"DDX10"	1	20	70	10
"DDX17"	1	24	41	34
"DDX18"	1	36	63	1
"DDX19A"	92	1	1	7
"DDX20"	54	1	14	31
"DDX21"	1	39	58	3
"DDX23"	1	51	21	29
"DDX24"	1	42	39	20
"DDX27"	1	37	61	2
"DDX31"	1	37	63	1
"DDX39A"	1	34	62	4
"DDX39B"	13	27	31	29
"DDX3X"	37	10	32	21
"DDX4"	50	1	1	50
"DDX41"	1	70	30	1
"DDX42"	1	19	6	75
"DDX46"	10	22	16	52
"DDX47"	1	45	42	13
"DDX49"	1	46	51	3
"DDX5"	6	23	24	46
"DDX50"	1	67	30	2
"DDX51"	1	60	40	1
"DDX52"	1	52	48	1
"DDX54"	1	48	52	1
"DDX55"	50	1	1	50
"DDX56"	1	13	87	1
"DDX6"	73	1	1	25
"DECR1"	1	6	1	94
"DEGS1"	1	1	1	100
"DEK"	4	49	30	17
"DENR"	81	3	1	16
"DERA"	80	1	1	20
"DERL1"	1	3	31	65
"DERL2"	1	1	1	100
"DES"	1	1	1	100
"DFFA"	70	1	26	4
"DFNA5"	100	1	1	1
"DFNB31"	17	46	1	38
"DGAT1"	1	1	33	66
"DGUOK"	1	1	1	100
"DHCR24"	1	1	25	75
"DHCR7"	1	4	26	70
"DHFR"	85	1	5	9
"DHPS"	100	1	1	1
"DHRS11"	100	1	1	1
"DHRS2"	1	18	27	55
"DHRS4"	1	1	1	99
"DHRS7"	1	1	1	100
"DHX15"	30	14	38	17
"DHX16"	1	26	1	73
"DHX29"	6	6	1	88
"DHX30"	3	39	17	40
"DHX33"	1	69	31	1
"DHX36"	39	3	27	31
"DHX37"	1	42	29	29
"DHX38"	24	34	1	42
"DHX57"	80	1	1	20
"DHX8"	1	56	32	11
"DHX9"	5	45	35	15
"DIABLO"	1	2	23	75
"DIAPH1"	88	1	1	12
"DICER1"	80	1	1	19
"DIDO1"	1	11	1	89
"DIEXF"	1	44	47	9
"DIMT1"	1	35	1	65
"DIP2B"	70	2	25	3
"DIS3"	34	4	1	62
"DIS3L2"	100	1	1	1
"DKC1"	5	49	43	4
"DLAT"	1	8	19	74
"DLD"	1	4	1	96
"DLG1"	1	17	32	51
"DLG5"	58	14	22	6
"DLGAP4"	66	1	1	34
"DLGAP5"	99	1	1	1
"DLST"	1	3	1	96
"DMAP1"	2	93	1	6
"DMD"	47	21	1	32
"DNAAF5"	99	1	1	1
"DNAH3"	67	33	1	1
"DNAJA1"	59	1	30	10
"DNAJA2"	82	1	12	6
"DNAJA3"	1	18	16	66
"DNAJB1"	67	4	3	25
"DNAJB11"	1	2	4	94
"DNAJB12"	1	2	1	98
"DNAJB2"	10	8	22	60
"DNAJB4"	75	1	1	25
"DNAJB5"	84	1	16	1
"DNAJB6"	8	27	50	15
"DNAJC1"	1	2	1	98
"DNAJC10"	1	23	31	46
"DNAJC11"	1	1	63	37
"DNAJC13"	1	18	1	82
"DNAJC17"	25	71	1	4
"DNAJC19"	1	13	1	87
"DNAJC2"	75	1	1	25
"DNAJC3"	1	2	1	98
"DNAJC5"	1	1	1	100
"DNAJC7"	77	2	1	22
"DNAJC8"	55	7	1	38
"DNAJC9"	83	1	1	17
"DNAL1"	100	1	1	1
"DNASE2"	1	2	1	98
"DNM1"	90	1	1	9
"DNM1L"	91	1	2	7
"DNM2"	87	1	1	13
"DNM3"	50	1	1	50
"DNMBP"	55	26	12	7
"DNMT1"	21	21	1	58
"DNMT3A"	1	81	18	1
"DNMT3B"	33	67	1	1
"DNPEP"	87	1	1	13
"DNPH1"	88	1	1	12
"DNTTIP1"	1	97	1	3
"DNTTIP2"	1	26	68	6
"DOCK6"	1	20	1	80
"DOCK7"	62	17	1	19
"DOHH"	95	1	1	5
"DPF2"	1	70	18	12
"DPH5"	89	1	1	11
"DPH6"	100	1	1	1
"DPM1"	1	1	7	93
"DPM3"	1	1	1	100
"DPP3"	93	1	1	6
"DPP7"	1	1	1	100
"DPP9"	100	1	1	1
"DPY19L1"	1	2	1	98
"DPY30"	85	3	1	11
"DPYSL2"	92	1	1	8
"DPYSL3"	97	1	1	3
"DPYSL4"	100	1	1	1
"DPYSL5"	60	40	1	1
"DR1"	49	12	1	39
"DRAP1"	57	5	1	38
"DRG1"	78	1	1	22
"DRG2"	92	1	1	8
"DSG2"	1	32	1	68
"DSN1"	1	28	49	22
"DSP"	10	15	70	6
"DSTN"	74	2	9	15
"DTD1"	65	6	1	29
"DTNA"	23	4	1	73
"DTX3L"	94	6	1	1
"DTYMK"	65	1	1	34
"DUSP11"	1	24	26	50
"DUSP12"	96	1	1	4
"DUSP3"	90	1	1	10
"DUT"	76	1	1	24
"DVL2"	100	1	1	1
"DYNC1H1"	90	1	1	10
"DYNC1I2"	93	1	1	7
"DYNC1LI1"	96	1	1	4
"DYNC1LI2"	90	1	1	10
"DYNLL1"	45	6	25	23
"DYNLL2"	36	7	41	16
"DYNLRB1"	81	1	1	19
"DYNLT1"	86	1	1	14
"DYSF"	1	1	1	100
"EARS2"	1	1	1	100
"EBNA1BP2"	1	15	80	5
"EBP"	1	4	32	63
"ECE1"	1	1	30	70
"ECH1"	3	1	1	97
"ECHDC1"	70	1	1	30
"ECHDC3"	1	1	1	100
"ECHS1"	1	2	1	98
"ECI1"	1	1	1	99
"ECI2"	1	2	1	98
"ECM29"	93	1	1	7
"ECSIT"	1	100	1	1
"EDC3"	99	1	1	1
"EDC4"	34	12	2	52
"EDF1"	50	22	1	28
"EDIL3"	1	25	19	57
"EEA1"	1	1	1	99
"EED"	1	68	31	1
"EEF1A1"	78	1	5	16
"EEF1A2"	78	1	4	18
"EEF1B2"	69	1	5	25
"EEF1D"	67	3	7	23
"EEF1E1"	95	1	1	5
"EEF1G"	72	1	3	24
"EEF2"	88	1	5	6
"EFHD2"	47	23	22	7
"EFNB1"	1	1	1	100
"EFTUD1"	86	2	1	13
"EFTUD2"	15	35	36	14
"EGLN1"	90	1	1	10
"EHBP1"	88	1	1	12
"EHBP1L1"	16	1	1	84
"EHD1"	47	1	1	53
"EHD2"	1	2	1	97
"EHD3"	1	1	1	100
"EHD4"	61	1	1	39
"EHHADH"	1	33	66	1
"EHMT1"	1	97	3	1
"EHMT2"	1	87	1	13
"EI24"	1	1	1	100
"EIF1"	75	2	1	23
"EIF1AD"	96	1	1	4
"EIF1AX"	44	3	1	52
"EIF1B"	90	1	1	9
"EIF2A"	77	1	1	22
"EIF2AK2"	60	6	16	18
"EIF2AK4"	96	1	1	4
"EIF2B1"	91	3	1	6
"EIF2B2"	86	1	1	14
"EIF2B3"	96	1	1	4
"EIF2B4"	93	1	1	7
"EIF2B5"	97	1	1	3
"EIF2D"	1	50	1	50
"EIF2S1"	72	2	11	15
"EIF2S2"	74	3	1	21
"EIF2S3"	58	5	8	29
"EIF3A"	64	2	1	33
"EIF3B"	71	1	1	27
"EIF3C"	55	3	1	42
"EIF3D"	61	1	1	38
"EIF3E"	48	4	6	42
"EIF3F"	56	4	1	41
"EIF3G"	68	1	1	31
"EIF3H"	61	1	1	38
"EIF3I"	72	1	2	25
"EIF3J"	80	2	1	19
"EIF3K"	60	2	1	37
"EIF3L"	61	1	1	38
"EIF3M"	68	1	3	30
"EIF4A1"	59	2	8	31
"EIF4A2"	84	1	4	12
"EIF4A3"	25	25	38	12
"EIF4B"	63	3	1	34
"EIF4E"	50	3	1	47
"EIF4E2"	38	14	1	48
"EIF4EBP1"	71	1	1	29
"EIF4ENIF1"	28	1	1	72
"EIF4G1"	54	3	2	41
"EIF4G3"	55	33	1	12
"EIF4H"	76	1	1	24
"EIF5"	74	11	1	16
"EIF5A"	75	1	2	22
"EIF5A2"	78	1	1	22
"EIF5B"	83	3	1	13
"EIF6"	44	2	43	11
"ELAC2"	59	1	1	41
"ELAVL1"	2	47	44	8
"ELAVL2"	1	50	1	50
"ELMO2"	97	1	1	3
"ELMSAN1"	31	24	1	45
"ELOVL1"	1	1	1	100
"ELOVL5"	1	1	15	84
"ELP2"	85	1	1	15
"ELP3"	100	1	1	1
"EMC1"	1	4	21	75
"EMC10"	1	5	1	95
"EMC2"	1	8	30	62
"EMC3"	1	15	22	63
"EMC4"	1	4	27	69
"EMC6"	1	1	1	100
"EMC7"	1	7	19	74
"EMC8"	1	25	1	75
"EMD"	1	6	57	38
"EMG1"	1	37	58	4
"EML3"	100	1	1	1
"EML4"	93	1	1	7
"ENAH"	84	1	1	16
"ENO1"	84	1	2	13
"ENO2"	92	1	1	7
"ENO3"	100	1	1	1
"ENOPH1"	98	1	1	1
"ENY2"	46	21	11	22
"EP300"	1	3	1	97
"EP400"	30	10	1	60
"EPB41"	10	67	1	23
"EPB41L2"	1	5	53	41
"EPB41L3"	29	4	21	46
"EPHA2"	1	3	37	60
"EPHA5"	1	2	98	1
"EPHB2"	1	1	47	53
"EPHB4"	1	1	1	100
"EPHX1"	1	1	1	99
"EPN1"	42	6	1	52
"EPN2"	1	47	1	53
"EPPK1"	5	22	66	7
"EPRS"	83	1	1	17
"EPS15"	58	1	1	41
"EPS15L1"	30	3	1	68
"EPS8L2"	66	1	33	1
"EPT1"	1	1	1	100
"ERAL1"	1	3	1	97
"ERAP1"	1	1	1	100
"ERBB2IP"	23	1	35	41
"ERCC3"	1	33	26	41
"ERCC4"	1	68	1	32
"ERCC6L"	100	1	1	1
"ERF"	50	1	1	50
"ERGIC1"	1	1	1	99
"ERGIC2"	1	1	1	99
"ERH"	3	62	6	28
"ERLEC1"	1	1	1	99
"ERLIN1"	1	5	45	50
"ERLIN2"	1	3	55	42
"ERMP1"	1	1	1	100
"ERO1L"	1	1	1	99
"ERP29"	1	4	6	89
"ERP44"	1	2	1	98
"ESD"	94	1	1	6
"ESF1"	1	31	65	5
"ESPL1"	67	1	1	33
"ESYT1"	1	1	1	98
"ETF1"	82	1	1	17
"ETFA"	1	1	1	98
"ETFB"	1	2	1	97
"ETHE1"	2	1	1	98
"ETV6"	16	84	1	1
"EVA1A"	1	100	1	1
"EWSR1"	41	6	1	52
"EXD2"	1	24	3	73
"EXOC1"	85	1	11	3
"EXOC2"	91	6	1	3
"EXOC3"	58	1	1	42
"EXOC4"	81	1	1	19
"EXOC5"	58	1	1	42
"EXOC7"	95	1	1	5
"EXOC8"	54	1	1	46
"EXOSC1"	4	50	28	17
"EXOSC10"	1	42	49	9
"EXOSC2"	3	35	33	28
"EXOSC3"	3	40	40	18
"EXOSC4"	6	20	32	42
"EXOSC5"	1	42	31	27
"EXOSC6"	20	39	27	14
"EXOSC7"	2	36	39	23
"EXOSC8"	1	38	26	35
"EXOSC9"	1	21	60	18
"EXT2"	1	1	1	100
"EZR"	62	2	11	26
"FABP5"	86	1	1	14
"FADD"	100	1	1	1
"FADS1"	1	1	1	100
"FADS2"	1	3	1	96
"FADS3"	1	1	1	100
"FAF1"	95	1	1	5
"FAF2"	1	4	41	55
"FAH"	99	1	1	1
"FAHD1"	3	1	1	97
"FAHD2A"	50	1	1	50
"FAM103A1"	32	18	1	50
"FAM107B"	90	1	1	10
"FAM114A1"	86	1	1	14
"FAM114A2"	47	1	1	53
"FAM120A"	60	1	1	40
"FAM127A"	81	1	16	3
"FAM129B"	87	1	1	13
"FAM136A"	2	1	1	97
"FAM160B1"	52	5	1	44
"FAM162A"	1	23	8	68
"FAM169A"	1	57	1	43
"FAM175B"	67	33	1	1
"FAM192A"	85	1	1	15
"FAM195B"	45	1	1	54
"FAM207A"	1	68	30	2
"FAM208A"	24	28	1	48
"FAM20B"	1	33	1	67
"FAM210A"	1	3	1	97
"FAM210B"	1	8	1	92
"FAM21A"	77	1	1	22
"FAM32A"	52	25	1	22
"FAM3C"	1	1	1	98
"FAM45A"	100	1	1	1
"FAM49A"	100	1	1	1
"FAM49B"	69	1	1	31
"FAM50A"	40	2	1	58
"FAM65A"	100	1	1	1
"FAM83D"	98	1	2	1
"FAM83H"	33	1	39	28
"FAM84B"	1	1	1	100
"FAM91A1"	66	5	2	27
"FAM96A"	85	1	1	15
"FAM96B"	86	1	1	13
"FAM98A"	59	7	1	34
"FAM98B"	41	4	1	55
"FANCD2"	40	7	8	45
"FANCI"	27	53	3	18
"FAR1"	11	1	1	89
"FARSA"	82	1	1	18
"FARSB"	82	1	1	18
"FASN"	87	1	2	11
"FASTKD2"	7	8	1	85
"FASTKD5"	1	3	1	97
"FAT3"	23	73	1	5
"FAU"	60	10	8	22
"FBL"	1	28	70	1
"FBXL18"	94	1	1	6
"FBXO22"	77	1	1	23
"FBXO28"	1	91	1	9
"FBXO30"	70	30	1	1
"FBXW11"	45	11	1	44
"FCF1"	1	36	64	1
"FDFT1"	1	4	1	96
"FDPS"	82	1	1	18
"FDX1"	1	1	1	100
"FDX1L"	1	1	1	100
"FDXR"	1	3	1	97
"FECH"	1	1	1	100
"FEN1"	45	6	2	47
"FERMT2"	74	1	1	26
"FGF1"	100	1	1	1
"FGFR1"	1	50	1	50
"FGFR1OP"	96	1	1	4
"FH"	27	2	1	71
"FHL2"	54	1	30	16
"FHL3"	53	1	1	47
"FHOD1"	99	1	1	1
"FIP1L1"	1	60	1	40
"FIS1"	21	1	1	79
"FKBP10"	1	1	1	99
"FKBP14"	1	5	1	95
"FKBP15"	1	1	1	100
"FKBP1A"	86	1	1	13
"FKBP2"	1	4	11	84
"FKBP3"	76	4	1	19
"FKBP4"	85	1	1	14
"FKBP5"	21	1	1	79
"FKBP7"	1	7	1	93
"FKBP8"	1	3	1	97
"FKBP9"	1	1	1	100
"FLAD1"	4	1	1	96
"FLII"	85	1	1	14
"FLNC"	63	1	21	14
"FLOT1"	1	1	99	1
"FLOT2"	5	1	95	1
"FLYWCH2"	99	1	1	1
"FMR1"	7	12	20	61
"FN1"	1	48	13	39
"FN3KRP"	95	1	1	5
"FNBP1L"	22	1	1	78
"FNBP4"	1	50	1	50
"FNDC3A"	1	1	1	100
"FNDC3B"	1	1	1	99
"FNTA"	100	1	1	1
"FOCAD"	99	1	1	1
"FOSL2"	1	76	21	3
"FOXK1"	63	2	1	34
"FOXK2"	1	26	1	74
"FRMD6"	1	1	49	50
"FRMD8"	39	1	9	52
"FRMPD4"	46	14	1	40
"FRYL"	89	1	1	11
"FSCN1"	77	1	2	20
"FSD1"	100	1	1	1
"FSTL1"	1	1	1	100
"FTH1"	77	1	1	23
"FTL"	3	1	33	64
"FTO"	98	1	1	2
"FTSJ1"	100	1	1	1
"FTSJ2"	1	3	1	97
"FTSJ3"	1	14	78	8
"FUBP3"	8	36	24	32
"FUNDC2"	1	2	1	98
"FUS"	3	17	16	64
"FXN"	1	1	1	99
"FXR2"	13	41	11	35
"FYCO1"	19	1	1	81
"FYTTD1"	33	1	66	1
"G3BP1"	40	7	10	44
"G3BP2"	50	5	9	36
"G6PD"	87	1	1	12
"GAA"	1	1	1	100
"GABARAP"	93	1	1	7
"GABARAPL2"	66	1	1	33
"GABPA"	33	4	1	63
"GADD45GIP1"	1	10	1	89
"GALC"	1	3	1	97
"GALE"	96	1	1	4
"GALK1"	96	1	1	4
"GALM"	98	1	1	2
"GALNS"	1	1	1	99
"GALNT2"	1	8	29	62
"GALNT7"	1	1	1	99
"GAMT"	100	1	1	1
"GAN"	86	1	1	14
"GAP43"	6	1	1	94
"GAPDH"	82	1	2	16
"GAPVD1"	60	6	34	1
"GAR1"	1	7	91	1
"GARS"	83	1	1	17
"GART"	93	1	1	7
"GATAD2A"	1	26	6	68
"GATAD2B"	1	6	1	94
"GATC"	1	1	1	100
"GATSL1"	100	1	1	1
"GATSL3"	100	1	1	1
"GBA"	1	3	1	97
"GBE1"	94	1	1	6
"GBF1"	77	1	1	22
"GBP1"	93	7	1	1
"GCA"	90	1	1	10
"GCC1"	38	1	1	61
"GCC2"	48	1	23	29
"GCDH"	1	1	1	100
"GCLC"	98	1	1	2
"GCLM"	99	1	1	1
"GCN1L1"	86	1	1	14
"GCSH"	1	2	1	98
"GDAP1"	1	60	1	40
"GDE1"	1	1	1	100
"GDI1"	90	1	1	10
"GDI2"	87	1	1	13
"GEMIN4"	31	3	19	48
"GEMIN5"	87	1	1	13
"GEMIN6"	87	1	1	13
"GET4"	85	1	1	15
"GFM1"	1	1	1	100
"GFM2"	26	1	1	74
"GFPT1"	91	1	1	9
"GGA1"	57	1	1	43
"GGCT"	98	1	1	2
"GGCX"	13	7	1	80
"GGH"	1	3	1	97
"GGPS1"	100	1	1	1
"GGT7"	1	1	1	100
"GHDC"	1	1	1	100
"GHITM"	1	19	33	48
"GID8"	1	15	1	85
"GIGYF2"	71	1	1	29
"GINS1"	98	1	1	2
"GINS2"	100	1	1	1
"GINS3"	93	1	1	6
"GINS4"	83	1	1	17
"GIPC1"	52	5	23	21
"GIT1"	91	1	1	9
"GIT2"	100	1	1	1
"GLB1"	1	3	1	97
"GLE1"	1	40	60	1
"GLG1"	1	20	44	36
"GLIPR2"	1	50	18	32
"GLMN"	100	1	1	1
"GLO1"	85	1	1	14
"GLOD4"	96	1	1	4
"GLRX"	94	1	1	5
"GLRX3"	85	1	1	15
"GLRX5"	1	1	1	100
"GLTP"	97	1	1	3
"GLTSCR2"	1	48	26	26
"GLUD1"	1	1	1	99
"GLYR1"	1	75	1	25
"GMDS"	100	1	1	1
"GMFB"	89	1	1	10
"GMPPA"	86	1	1	14
"GMPPB"	95	1	1	5
"GMPS"	70	1	1	29
"GNA11"	1	1	5	93
"GNA12"	1	18	1	82
"GNA13"	15	8	30	47
"GNAI1"	1	12	1	88
"GNAI2"	2	5	45	47
"GNAI3"	1	11	35	54
"GNAO1"	1	43	1	57
"GNAS"	5	16	23	56
"GNB1"	1	5	64	30
"GNB2"	1	4	41	54
"GNB2L1"	65	2	4	30
"GNB4"	1	33	1	67
"GNE"	100	1	1	1
"GNG12"	23	4	44	29
"GNG5"	1	1	1	100
"GNL1"	94	1	1	6
"GNL2"	1	33	65	2
"GNL3"	1	37	62	2
"GNPAT"	1	29	1	71
"GNPDA1"	98	1	1	2
"GNPDA2"	86	1	1	14
"GNPNAT1"	93	1	1	6
"GNS"	1	1	1	99
"GOLGA1"	1	1	1	100
"GOLGA2"	1	7	1	93
"GOLGA3"	52	1	1	48
"GOLGA4"	26	1	1	73
"GOLGA5"	1	1	4	96
"GOLGA7"	1	53	1	47
"GOLGB1"	1	3	5	92
"GOLIM4"	1	3	26	71
"GOLM1"	1	1	1	99
"GOLPH3"	67	1	1	33
"GOLT1B"	1	1	1	100
"GOPC"	98	1	2	1
"GORASP2"	89	1	1	11
"GOSR1"	1	3	1	97
"GOSR2"	1	2	1	98
"GOT1"	89	1	1	10
"GOT2"	1	1	1	99
"GPAA1"	1	1	1	100
"GPATCH1"	1	6	44	50
"GPATCH11"	66	34	1	1
"GPATCH4"	1	33	30	37
"GPC1"	1	5	26	69
"GPD1L"	100	1	1	1
"GPD2"	1	1	1	100
"GPHN"	98	1	1	2
"GPI"	89	1	1	10
"GPKOW"	9	9	1	82
"GPN1"	72	1	1	28
"GPNMB"	1	11	1	89
"GPS1"	78	1	1	22
"GPSM2"	1	30	1	70
"GPT2"	1	1	1	100
"GPX1"	57	1	1	43
"GPX4"	98	1	1	2
"GPX8"	1	11	4	84
"GRB2"	60	1	1	38
"GRHPR"	82	1	1	18
"GRIPAP1"	92	1	1	7
"GRPEL1"	1	3	1	97
"GRSF1"	1	15	11	73
"GRWD1"	55	9	13	23
"GSDMD"	74	1	1	26
"GSK3A"	98	1	1	2
"GSK3B"	57	2	1	41
"GSN"	94	1	1	6
"GSPT1"	82	1	1	18
"GSPT2"	81	1	1	19
"GSR"	87	1	1	13
"GSS"	76	1	1	24
"GSTK1"	1	4	3	94
"GSTM3"	96	1	1	4
"GSTM4"	100	1	1	1
"GSTO1"	83	1	1	17
"GSTP1"	90	1	1	9
"GSTT1"	95	1	1	5
"GSTZ1"	35	1	1	64
"GTF2B"	33	13	1	54
"GTF2E2"	32	8	1	60
"GTF2F1"	53	3	1	43
"GTF2F2"	67	1	1	32
"GTF2H2C"	1	96	1	4
"GTF2H3"	1	80	1	20
"GTF2I"	1	45	1	55
"GTF3C1"	14	76	1	10
"GTF3C2"	1	71	15	14
"GTF3C3"	1	67	1	33
"GTF3C4"	15	61	8	17
"GTF3C5"	26	49	1	25
"GTPBP1"	99	1	1	1
"GTPBP10"	1	8	1	92
"GTPBP4"	1	34	66	1
"GTSF1"	97	1	1	3
"GUF1"	4	33	1	62
"GUK1"	55	1	1	45
"GUSB"	1	1	1	100
"GXYLT1"	16	1	1	84
"GYG1"	91	1	1	9
"GYS1"	85	1	1	15
"H1F0"	1	83	15	1
"H1FX"	2	35	31	33
"H2AFV"	2	70	20	8
"H2AFX"	1	91	9	1
"H2AFY"	1	63	37	1
"H2AFY2"	1	69	31	1
"H2BFS"	5	39	53	3
"H6PD"	1	1	1	100
"HADH"	1	1	1	100
"HADHA"	1	6	19	76
"HADHB"	1	8	14	79
"HAGH"	82	1	1	18
"HAPLN1"	1	6	50	44
"HARS"	94	1	1	6
"HARS2"	1	5	1	95
"HAT1"	59	1	1	41
"HAUS5"	27	5	1	68
"HAX1"	1	2	1	98
"HBA1"	1	8	64	28
"HBS1L"	98	1	1	2
"HCFC1"	3	13	6	78
"HDAC1"	1	17	1	83
"HDAC2"	1	8	14	77
"HDAC6"	100	1	1	1
"HDAC7"	97	1	1	2
"HDDC2"	97	1	1	3
"HDDC3"	98	1	1	2
"HDGF"	66	4	3	27
"HDGFRP2"	10	17	18	55
"HDGFRP3"	1	80	1	19
"HDHD2"	92	1	1	8
"HDLBP"	48	2	2	48
"HEATR1"	1	24	76	1
"HEATR5B"	57	1	1	43
"HEATR6"	96	1	1	4
"HEBP1"	68	1	1	32
"HEBP2"	82	1	1	18
"HECTD1"	90	1	1	10
"HELLS"	1	83	1	17
"HERC1"	77	1	1	23
"HERC2"	75	1	1	25
"HERC4"	99	1	1	1
"HEXA"	1	1	1	99
"HEXB"	1	1	1	100
"HEXIM1"	33	1	1	66
"HGH1"	100	1	1	1
"HGS"	87	1	1	13
"HIBADH"	1	1	1	99
"HIBCH"	1	1	1	100
"HIF1AN"	100	1	1	1
"HIGD1A"	1	9	20	70
"HINT1"	88	1	1	12
"HINT2"	1	5	1	95
"HINT3"	6	1	1	94
"HIP1"	7	41	1	52
"HIP1R"	10	13	5	72
"HIRIP3"	27	1	1	73
"HIST1H1A"	1	82	16	2
"HIST1H1C"	1	55	43	1
"HIST1H1E"	2	61	33	3
"HIST1H2AC"	1	100	1	1
"HIST1H2AD"	1	100	1	1
"HIST1H2AG"	1	100	1	1
"HIST1H2BA"	1	100	1	1
"HIST1H2BC"	32	68	1	1
"HIST1H2BJ"	6	45	38	10
"HIST1H4A"	4	35	59	2
"HIST2H2AA3"	4	49	46	2
"HIST2H2AB"	5	75	1	19
"HIST2H2BC"	1	100	1	1
"HIST2H3A"	5	66	24	4
"HIST2H3PS2"	3	59	37	1
"HJURP"	1	2	48	50
"HK1"	19	5	28	49
"HK2"	93	1	1	6
"HLA-A"	1	2	49	49
"HLA-B"	1	1	1	99
"HM13"	1	2	16	82
"HMBS"	98	1	1	2
"HMCES"	94	1	1	6
"HMG20A"	1	99	1	1
"HMGA1"	4	72	20	3
"HMGA2"	1	100	1	1
"HMGB1"	74	1	1	24
"HMGB2"	82	4	1	15
"HMGB3"	75	4	1	21
"HMGCL"	1	1	1	100
"HMGCS1"	88	1	1	12
"HMGN1"	1	51	49	1
"HMGN3"	1	66	1	34
"HMGN4"	28	72	1	1
"HMGN5"	27	47	1	26
"HMMR"	50	8	1	42
"HMOX1"	1	5	1	94
"HMOX2"	1	1	2	98
"HN1"	92	1	1	8
"HN1L"	71	1	1	29
"HNRNPA0"	1	49	30	21
"HNRNPA1"	2	68	21	9
"HNRNPA2B1"	2	63	23	12
"HNRNPA3"	1	39	56	5
"HNRNPC"	1	63	34	3
"HNRNPD"	7	48	30	15
"HNRNPDL"	3	48	34	15
"HNRNPF"	8	22	47	24
"HNRNPH1"	7	27	41	26
"HNRNPH2"	1	59	33	8
"HNRNPH3"	2	36	51	11
"HNRNPL"	1	53	41	5
"HNRNPM"	3	26	60	11
"HNRNPR"	9	39	34	18
"HNRNPU"	15	19	26	41
"HNRNPUL1"	9	6	21	64
