"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"ANXA3"	78	1	1	22
"ANXA4"	88	1	1	12
"ANXA5"	90	1	1	9
"ANXA7"	93	1	1	7
"ANXA8L2"	99	1	1	1
"AP1B1"	39	2	1	59
"AP1G1"	39	4	1	58
"AP1G2"	33	1	1	67
"AP1M1"	18	7	1	75
"AP1S1"	25	9	4	62
"AP1S2"	47	1	1	53
"AP2A1"	21	23	9	47
"AP2A2"	1	18	1	82
"AP2B1"	24	12	5	59
"AP2M1"	13	19	12	56
"AP2S1"	42	16	8	34
"AP3B1"	88	1	1	12
"AP3D1"	98	1	1	2
"AP3M1"	79	1	1	21
"AP3S1"	93	1	1	7
"APEH"	93	1	1	7
"APEX1"	53	4	15	28
"APIP"	89	1	1	11
"APITD1"	1	100	1	1
"APMAP"	1	1	4	94
"APOA1BP"	65	1	1	35
"APOB"	42	1	32	26
"APOBEC3B"	6	56	36	2
"APOBEC3C"	15	36	50	1
"APOBEC3D"	61	37	1	1
"APOL2"	5	9	1	86
"APOO"	1	53	3	44
"APOOL"	1	18	72	10
"APP"	16	1	1	84
"APPL1"	70	1	1	30
"APRT"	82	1	1	18
"APTX"	1	66	1	34
"AQR"	1	46	31	23
"ARAF"	100	1	1	1
"ARAP1"	96	1	1	4
"ARCN1"	58	1	1	42
"ARF1"	56	1	13	29
"ARF3"	100	1	1	1
"ARF4"	45	2	19	35
"ARF5"	54	1	1	44
"ARF6"	36	7	1	57
"ARFGAP1"	56	1	1	44
"ARFGAP2"	71	1	1	29
"ARFGAP3"	87	1	1	13
"ARFGEF1"	97	1	1	3
"ARFGEF2"	62	1	1	38
"ARFIP2"	76	1	1	24
"ARG2"	1	1	1	100
"ARGLU1"	1	98	1	2
"ARHGAP1"	67	1	1	33
"ARHGAP12"	69	1	1	31
"ARHGAP17"	50	1	1	50
"ARHGAP29"	99	1	1	1
"ARHGAP35"	100	1	1	1
"ARHGDIA"	90	1	3	7
"ARHGDIB"	100	1	1	1
"ARHGEF1"	71	2	18	9
"ARHGEF10"	100	1	1	1
"ARHGEF17"	37	42	1	21
"ARHGEF2"	85	1	1	15
"ARHGEF40"	66	1	1	34
"ARHGEF7"	91	1	1	9
"ARID1A"	1	45	3	51
"ARID1B"	1	99	1	1
"ARID2"	1	100	1	1
"ARIH1"	87	1	1	13
"ARIH2"	95	1	1	5
"ARL1"	26	1	1	74
"ARL15"	1	1	1	100
"ARL2"	78	1	1	22
"ARL3"	85	1	1	15
"ARL6IP1"	1	1	1	100
"ARL6IP4"	31	4	1	64
"ARL6IP5"	1	1	1	99
"ARL8A"	7	1	5	88
"ARL8B"	1	1	1	99
"ARMC1"	2	7	1	91
"ARMC10"	1	9	1	91
"ARMC6"	48	33	2	16
"ARMC8"	2	21	1	77
"ARMCX1"	1	35	38	28
"ARMCX2"	1	16	33	51
"ARMCX3"	1	6	1	93
"ARPC1A"	59	1	39	1
"ARPC1B"	68	4	23	5
"ARPC2"	58	4	34	4
"ARPC3"	63	4	5	27
"ARPC4"	46	15	33	6
"ARPC5"	61	2	32	4
"ARPC5L"	54	12	32	2
"ARPIN"	95	1	1	5
"ARPP19"	99	1	1	1
"ARRB1"	92	1	1	8
"ARRB2"	69	1	1	31
"ARVCF"	8	6	1	86
"ASAH1"	1	1	1	100
"ASAP1"	78	1	1	22
"ASCC3"	57	1	1	43
"ASF1A"	50	4	1	47
"ASH2L"	1	37	1	63
"ASL"	100	1	1	1
"ASNA1"	80	1	1	20
"ASNS"	95	1	1	4
"ASPH"	1	4	1	96
"ASPSCR1"	83	1	1	17
