Gene	Rodriguez-Pineiro_1	Rodriguez-Pineiro_2	Rodriguez-Pineiro_3	Rodriguez-Pineiro_4	Rodriguez-Pineiro_5	Rodriguez-Pineiro_6	Rodriguez-Pineiro_7	Rodriguez-Pineiro_8	Rodriguez-Pineiro_9	Rodriguez-Pineiro_10	Rodriguez-Pineiro_11
DDOST	1	4	10	6	18	50	30	24	40	12	8
DDRGK1	1	6	6	8	34	34	36	32	16	22	8
DDX1	116	68	8	6	1	1	1	1	1	1	1
DDX17	14	136	50	1	1	1	1	1	1	1	1
DDX18	1	68	128	4	1	1	1	1	1	1	1
DDX21	1	112	84	4	1	1	1	1	1	1	1
DDX23	10	94	96	1	1	1	1	1	1	1	1
DDX24	1	80	120	1	1	1	1	1	1	1	1
DDX27	1	74	120	1	1	1	1	1	1	1	1
DDX31	1	1	200	1	1	1	1	1	1	1	1
DDX39B	82	58	12	6	4	1	4	14	8	1	8
DDX3X	68	132	1	1	1	1	1	1	1	1	1
DDX41	1	76	108	1	12	1	1	1	1	1	1
DDX46	12	188	1	1	1	1	1	1	1	1	1
DDX47	1	108	90	1	1	1	1	1	1	1	1
DDX5	14	76	104	1	1	1	1	1	1	1	1
DDX50	1	58	142	1	1	1	1	1	1	1	1
DDX54	1	164	36	1	1	1	1	1	1	1	1
DDX56	1	1	112	1	1	1	1	40	48	1	1
DDX6	116	62	20	1	1	1	1	1	1	1	1
DDX60	1	40	126	1	1	1	6	1	20	6	1
DECR1	1	1	1	1	1	10	22	44	62	38	22
DECR2	1	1	1	1	1	1	10	42	56	42	48
DEK	1	12	12	1	1	122	1	1	54	1	1
DERA	80	110	10	1	1	1	1	1	1	1	1
DERL1	1	1	56	1	10	10	26	20	1	72	6
DGAT1	1	1	1	1	12	44	24	12	40	44	24
DHCR24	1	1	22	4	24	48	42	20	22	1	14
DHCR7	1	4	16	10	18	22	28	32	30	20	20
DHODH	1	1	1	1	1	1	10	40	120	16	12
DHRS13	1	1	1	1	1	60	72	12	12	22	22
DHRS2	1	1	1	1	1	1	1	10	42	92	54
DHRS4	1	1	1	1	1	10	26	38	42	40	42
DHRS7	1	6	12	6	32	44	34	24	16	10	14
DHRS7B	1	1	1	6	1	52	48	14	28	24	28
DHX15	6	12	26	4	34	64	28	4	6	1	12
DHX16	48	74	50	1	24	6	1	1	1	1	1
DHX29	1	8	182	8	1	1	1	1	1	1	1
DHX30	1	22	126	4	4	1	10	6	10	10	6
DHX36	1	6	184	1	10	1	1	1	1	1	1
DHX37	1	1	132	1	1	68	1	1	1	1	1
DHX57	1	1	1	1	1	1	1	1	1	1	1
DHX8	1	64	132	1	1	1	1	1	1	1	4
DHX9	1	40	88	4	18	28	12	4	1	1	1
DIABLO	1	1	1	1	1	1	1	1	1	180	20
DIAPH1	1	110	28	1	8	14	24	4	1	1	14
DICER1	1	1	1	1	1	1	1	1	1	1	1
DIDO1	1	118	82	1	1	1	1	1	1	1	1
DKC1	1	48	150	1	1	1	1	1	1	1	1
DLAT	1	1	1	1	4	8	24	24	76	30	32
DLD	1	1	1	1	4	10	26	36	78	18	28
DLG1	70	74	30	4	6	6	4	1	1	1	1
DLG4	80	1	56	1	26	1	8	10	4	1	12
DLST	1	1	1	1	1	14	26	44	80	22	12
DNAJA1	114	58	14	1	4	4	1	1	1	1	1
DNAJA2	152	30	1	1	1	1	1	14	1	1	1
DNAJB1	200	1	1	1	1	1	1	1	1	1	1
DNAJB11	1	1	4	6	28	50	38	28	28	6	10
DNAJB12	1	1	1	6	32	52	38	28	16	12	16
DNAJB14	1	1	1	4	36	58	42	28	20	1	12
DNAJB4	22	1	1	1	1	1	40	70	20	1	50
DNAJC1	1	1	1	4	16	52	46	12	36	14	22
DNAJC10	1	1	1	4	22	66	44	16	32	8	10
DNAJC11	1	1	1	1	1	16	20	26	98	26	14
DNAJC13	1	112	88	1	1	1	1	1	1	1	1
DNAJC19	1	1	1	1	1	1	1	1	1	1	1
DNAJC3	1	1	1	1	32	68	36	22	34	8	1
DNAJC5	102	62	14	10	10	1	1	1	1	1	1
DNAJC9	1	68	130	1	1	1	1	1	1	1	1
DNASE2	180	20	1	1	1	1	1	1	1	1	1
DNM1	64	76	14	1	10	14	6	4	1	1	10
DNM1L	132	1	1	12	1	32	1	12	10	1	1
DNM2	52	30	6	1	28	12	24	8	10	18	10
DNM3	108	1	46	1	1	24	6	1	6	1	12
DNMT1	1	114	78	1	1	1	1	1	1	1	1
DNPEP	200	1	1	1	1	1	1	1	1	1	1
DOCK6	1	1	1	200	1	1	1	1	1	1	1
DPEP1	40	94	34	6	16	1	4	1	1	1	1
DPM1	1	6	8	1	20	36	16	24	50	26	12
DPM3	1	1	16	8	28	44	24	26	1	40	16
DPP4	124	60	4	12	1	1	1	1	1	1	1
DPYSL2	120	52	16	4	1	1	1	1	1	1	1
DRG1	1	134	64	1	1	1	1	1	1	1	1
DSC1	1	1	1	1	1	1	1	200	1	1	1
DSC2	50	1	1	4	10	56	24	14	26	4	12
DSG1	1	1	1	1	200	1	1	1	1	1	1
DSG2	44	58	46	8	16	8	8	4	4	1	1
DSP	1	1	28	4	44	14	24	34	26	22	1
DSTN	30	170	1	1	1	1	1	1	1	1	1
DUT	1	1	1	1	1	1	1	1	1	200	1
DYNC1H1	126	60	1	1	1	1	1	1	1	1	1
DYNC1I2	162	36	1	1	1	1	1	1	1	1	1
DYNC1LI1	200	1	1	1	1	1	1	1	1	1	1
DYNC1LI2	200	1	1	1	1	1	1	1	1	1	1
DYNLL1	1	1	1	1	1	1	1	1	1	1	1
DYNLL2	96	50	54	1	1	1	1	1	1	1	1
DYNLRB1	192	8	1	1	1	1	1	1	1	1	1
EBNA1BP2	1	90	108	1	1	1	1	1	1	1	1
EBP	1	4	4	8	26	44	36	20	8	36	14
ECH1	1	1	1	1	8	16	28	30	66	22	30
ECHS1	1	1	1	1	4	8	14	36	68	42	28
ECI1	1	1	1	1	1	1	1	38	80	48	32
ECI2	1	1	1	1	1	10	16	46	54	30	42
ECM29	200	1	1	1	1	1	1	1	1	1	1
EDC4	16	112	68	4	1	1	1	1	1	1	1
EEF1A1	76	40	16	6	4	10	10	8	12	8	10
EEF1B2	160	26	1	1	1	1	1	1	6	1	4
EEF1D	158	42	1	1	1	1	1	1	1	1	1
EEF1E1	116	62	18	1	1	1	1	1	1	1	1
EEF1G	174	18	1	1	1	1	1	1	1	1	4
EEF2	74	50	12	1	8	8	8	8	12	4	16
EEFSEC	1	1	200	1	1	1	1	1	1	1	1
EEPD1	98	24	50	1	1	26	1	1	1	1	1
EFHD2	144	46	1	1	1	1	1	1	1	1	12
EFNB1	106	32	62	1	1	1	1	1	1	1	1
EFTUD2	24	42	62	1	18	26	16	1	1	1	4
EGFR	62	76	42	4	4	4	1	1	1	1	4
EHD3	104	88	1	8	1	1	1	1	1	1	1
EHD4	90	44	58	6	1	1	1	1	1	1	1
EHHADH	1	1	1	1	1	20	30	38	62	12	34
EI24	1	1	1	6	28	68	58	6	26	4	4
EIF1AX	38	118	42	1	1	1	1	1	1	1	1
EIF2A	20	132	46	1	1	1	1	1	1	1	1
EIF2AK2	1	76	102	4	16	1	1	1	1	1	1
EIF2AK3	1	1	1	1	1	200	1	1	1	1	1
EIF2B4	1	1	1	200	1	1	1	1	1	1	1
EIF2D	1	200	1	1	1	1	1	1	1	1	1
EIF2S1	1	78	114	4	1	1	1	1	1	1	1
EIF2S2	1	66	120	10	1	1	1	1	1	1	1
EIF2S3	1	80	110	10	1	1	1	1	1	1	1
EIF3A	98	42	56	1	1	1	1	1	1	1	1
EIF3B	128	30	38	1	1	1	1	1	1	1	1
EIF3C	124	28	44	4	1	1	1	1	1	1	1
EIF3D	106	28	66	1	1	1	1	1	1	1	1
EIF3E	122	38	34	4	1	1	1	1	1	1	1
EIF3F	114	38	40	4	1	1	1	1	1	1	1
EIF3G	130	40	30	1	1	1	1	1	1	1	1
EIF3H	102	32	58	6	1	1	1	1	1	1	1
EIF3I	110	44	40	1	1	1	1	1	1	1	1
EIF3K	118	48	32	1	1	1	1	1	1	1	1
EIF3L	102	26	62	6	1	1	1	1	1	1	1
EIF3M	100	82	18	1	1	1	1	1	1	1	1
EIF4A1	86	52	22	6	4	6	4	10	6	1	6
EIF4A3	8	8	30	6	40	52	26	14	6	4	6
EIF4B	136	62	1	1	1	1	1	1	1	1	1
EIF4E	124	28	1	6	1	1	1	1	1	1	40
EIF4G1	1	112	30	1	1	1	1	12	8	14	16
EIF4G2	14	1	1	1	20	1	1	42	36	1	90
EIF4H	196	1	1	1	1	1	1	1	1	1	4
EIF5	1	200	1	1	1	1	1	1	1	1	1
EIF5A	120	68	10	1	1	1	1	1	1	1	1
EIF5B	1	94	106	1	1	1	1	1	1	1	1
EIF6	1	160	32	1	1	1	1	1	1	1	10
ELAVL1	1	28	130	14	22	6	1	1	1	1	1
ELMOD2	1	1	1	1	24	56	36	12	36	22	14
ELOVL1	1	1	1	1	1	1	8	32	76	60	24
EMC9	1	1	1	1	1	1	1	1	200	1	1
EMD	1	1	16	6	30	56	22	16	28	8	14
EMG1	1	144	56	1	1	1	1	1	1	1	1
ENAH	200	1	1	1	1	1	1	1	1	1	1
ENDOD1	1	1	140	8	20	16	10	1	4	1	1
ENO1	72	62	22	8	4	12	4	6	4	1	1
ENPP4	1	1	1	1	1	1	1	1	1	1	1
ENPP7	1	1	1	1	1	1	1	1	1	1	1
ENTPD2	1	1	94	52	22	1	20	6	1	1	6
EP400	1	84	116	1	1	1	1	1	1	1	1
EPB41L1	110	70	10	8	1	1	1	1	1	1	1
EPB41L2	10	90	54	8	14	6	6	4	1	1	4
EPB41L4B	1	1	1	1	1	1	1	1	1	1	1
EPCAM	44	72	40	8	12	8	6	4	1	1	4
EPHA2	74	88	22	4	1	6	1	1	1	1	1
EPHB2	1	1	1	1	1	1	1	1	200	1	1
EPHB4	44	4	1	154	1	1	1	1	1	1	1
EPHX1	1	6	22	6	24	54	30	20	24	10	6
EPHX2	1	1	1	1	8	24	20	28	62	4	54
EPPK1	52	44	1	8	50	6	28	4	6	4	1
EPRS	92	50	36	1	1	1	4	1	4	1	6
EPS8	54	62	78	1	1	1	1	1	1	1	1
EPS8L1	1	1	1	1	1	1	1	1	1	1	1
EPS8L2	54	86	46	14	1	1	1	1	1	1	1
EPS8L3	74	90	22	1	6	1	4	1	1	1	1
ERBB2	84	68	1	4	28	10	4	1	1	1	1
ERBB2IP	40	74	68	1	1	1	6	1	1	1	1
ERCC3	1	200	1	1	1	1	1	1	1	1	1
ERGIC1	8	68	60	6	14	14	8	8	10	4	4
ERH	18	52	54	1	26	22	10	6	1	4	6
ERI1	1	1	200	1	1	1	1	1	1	1	1
ERLEC1	1	1	1	1	28	124	14	1	22	8	1
ERLIN1	1	1	14	8	36	48	32	26	16	10	10
ERLIN2	1	4	12	6	26	40	38	26	22	12	18
ERMP1	1	1	1	4	22	60	52	6	44	4	8
ERO1L	1	1	8	4	38	38	40	10	36	12	14
ERP29	4	8	12	4	22	38	30	18	34	16	14
ERP44	1	1	10	4	24	62	28	30	22	6	12
ESYT1	8	28	60	6	38	28	14	4	6	1	1
ESYT2	1	12	52	10	36	42	14	8	16	1	6
ETFA	1	1	1	1	4	12	20	36	52	42	34
ETFB	1	1	1	1	4	8	14	38	62	50	22
ETFDH	1	1	1	1	4	12	18	12	96	46	12
ETHE1	1	1	1	1	1	8	16	10	94	42	28
EWSR1	34	158	1	1	1	1	1	1	1	1	8
EXOC1	1	98	102	1	1	1	1	1	1	1	1
EXOC2	1	180	1	6	1	8	1	1	1	1	4
EXOC3	62	90	28	6	6	6	1	1	1	1	1
EXOC4	46	70	76	1	1	1	1	1	1	1	1
EXOC5	70	102	16	1	1	4	1	1	1	1	1
EXOC6	80	80	32	1	8	1	1	1	1	1	1
EXOC6B	48	152	1	1	1	1	1	1	1	1	1
EXOC7	108	90	1	1	1	1	1	1	1	1	1
EXOC8	44	1	148	8	1	1	1	1	1	1	1
EXOSC1	1	54	146	1	1	1	1	1	1	1	1
EXOSC10	1	84	116	1	1	1	1	1	1	1	1
EXOSC2	1	76	124	1	1	1	1	1	1	1	1
EXOSC3	1	76	124	1	1	1	1	1	1	1	1
EXOSC4	1	76	124	1	1	1	1	1	1	1	1
EXOSC5	1	102	98	1	1	1	1	1	1	1	1
EXOSC6	1	100	98	1	1	1	1	1	1	1	1
EXOSC7	1	40	160	1	1	1	1	1	1	1	1
EXOSC8	1	20	180	1	1	1	1	1	1	1	1
EXOSC9	1	60	140	1	1	1	1	1	1	1	1
EZR	58	86	36	8	1	6	1	1	1	1	1
F11R	60	98	20	6	10	4	1	1	1	1	1
F2RL1	200	1	1	1	1	1	1	1	1	1	1
F5	1	100	80	14	1	6	1	1	1	1	1
FA2H	1	1	12	1	36	4	64	44	12	1	22
FABP1	64	52	28	8	10	10	4	8	1	6	10
FABP5	36	16	10	4	124	1	1	4	1	1	8
FADS2	1	1	1	1	34	56	30	22	52	4	1
FAF2	1	1	1	4	38	50	46	38	10	1	12
FAM120A	1	18	96	6	38	24	12	1	1	1	1
FAM134C	1	1	108	24	28	18	14	1	4	4	1
FAM136A	1	1	1	1	1	1	1	1	1	1	1
FAM162A	1	1	1	1	22	32	28	48	1	58	12
FAM175A	1	1	194	6	1	1	1	1	1	1	1
FAM186B	1	1	1	1	1	1	1	1	1	1	1
FAM195A	200	1	1	1	1	1	1	1	1	1	1
FAM213A	1	8	8	1	16	28	58	8	28	40	4
FAM3C	78	92	12	1	16	1	1	1	1	1	1
FAM49B	200	1	1	1	1	1	1	1	1	1	1
FAM83H	1	1	1	1	132	50	18	1	1	1	1
FAM98A	130	70	1	1	1	1	1	1	1	1	1
FAR1	1	1	1	1	8	32	30	40	52	18	18
FAR2	1	1	1	1	1	26	24	70	44	16	18
FARS2	1	1	1	1	1	1	1	106	64	22	10
FARSA	20	152	26	1	1	1	1	1	1	1	1
FARSB	32	146	14	1	1	1	1	1	1	1	6
FASN	8	152	14	1	4	4	1	4	1	4	4
FAT1	1	8	1	1	34	52	26	20	20	24	14
FAU	12	68	92	10	8	6	1	1	1	1	1
FAU	12	68	92	10	8	6	1	1	1	1	1
FBL	1	90	98	1	1	6	1	1	1	1	1
FBXL6	1	1	200	1	1	1	1	1	1	1	1
FDFT1	1	1	12	6	24	44	34	26	24	16	14
FDPS	70	64	12	6	4	8	8	10	8	1	10
FDX1	1	1	1	1	1	1	1	1	1	1	1
FDXR	1	1	1	1	1	1	24	132	30	1	16
FEN1	1	200	1	1	1	1	1	1	1	1	1
FGFBP1	6	84	42	6	10	14	12	14	1	6	6
FGFR4	10	66	46	4	18	18	14	8	8	1	6
FH	1	1	1	1	1	14	18	36	74	42	14
FIGNL1	1	1	1	1	1	1	1	1	1	1	1
FIP1L1	1	1	200	1	1	1	1	1	1	1	1
FIS1	1	1	1	1	1	1	1	1	1	200	1
FKBP1A	1	1	1	1	1	1	1	1	1	1	1
FKBP3	1	200	1	1	1	1	1	1	1	1	1
FKBP4	106	88	1	1	4	1	1	1	1	1	1
FKBP8	1	1	28	4	30	38	26	22	28	12	12
FKBP9	1	1	1	6	18	60	38	22	26	8	24
FLG	1	1	1	1	1	1	1	1	1	1	1
FLG2	1	1	1	1	34	1	1	166	1	1	1
FLII	1	100	96	1	1	1	1	1	1	1	1
FLNA	6	96	28	4	14	18	8	6	10	4	6
FLNB	14	76	32	6	14	18	10	8	10	4	6
FLOT1	56	44	1	96	1	1	1	1	1	1	1
FLOT2	94	70	18	4	6	1	1	1	1	1	1
FMR1	1	8	160	16	16	1	1	1	1	1	1
FNDC3A	1	1	1	1	18	52	38	22	24	22	22
FNDC3B	1	1	1	1	18	1	94	6	52	22	6
FOXRED1	1	1	1	1	1	1	1	1	100	64	36
FRG1	1	92	108	1	1	1	1	1	1	1	1
FRYL	146	54	1	1	1	1	1	1	1	1	1
FTH1	112	86	1	1	1	1	1	1	1	1	1
FTL	130	66	1	1	1	1	1	1	1	1	1
FTSJ3	1	34	166	1	1	1	1	1	1	1	1
FUCA1	158	40	1	1	1	1	1	1	1	1	1
FUCA2	182	18	1	1	1	1	1	1	1	1	1
FUS	74	126	1	1	1	1	1	1	1	1	1
FUT5	1	34	1	14	28	56	14	34	8	4	10
FXR2	1	22	126	12	10	6	1	1	24	1	1
FXYD3	28	76	48	10	12	1	6	6	1	6	6
FYN	1	1	1	28	82	54	6	32	1	1	1
G3BP1	16	84	98	1	1	1	1	1	1	1	1
G3BP2	20	108	68	1	1	1	1	1	1	1	1
G6PD	76	26	1	1	4	4	12	12	16	16	34
GAA	182	18	1	1	1	1	1	1	1	1	1
GADD45GIP1	1	1	1	1	1	1	1	1	1	200	1
GAK	1	1	1	1	1	1	1	1	1	1	200
GALNT1	34	76	42	8	12	18	8	1	1	1	1
GALNT2	1	112	88	1	1	1	1	1	1	1	1
GALNT3	38	152	6	1	1	1	1	1	1	1	1
GALNT6	8	192	1	1	1	1	1	1	1	1	1
GALNT7	1	1	1	1	1	1	1	1	1	1	1
GANAB	1	1	1	1	1	148	52	1	1	1	1
GAPDH	1	1	1	1	1	1	1	1	1	1	1
GAR1	1	120	80	1	1	1	1	1	1	1	1
GARS	134	36	1	1	1	1	1	1	18	4	8
GATAD2A	1	1	200	1	1	1	1	1	1	1	1
GBA	188	12	1	1	1	1	1	1	1	1	1
GBAS	1	1	1	1	1	8	14	38	78	46	16
GBF1	1	156	30	6	4	1	1	1	1	1	1
GCDH	1	1	1	1	1	1	6	50	86	42	16
GCN1L1	1	1	190	1	1	1	1	1	1	1	10
GDF15	1	70	112	1	14	1	1	1	1	1	1
GDI2	122	38	12	1	1	1	1	16	1	1	6
GDPD1	1	1	1	1	80	1	1	1	78	42	1
GEMIN5	34	142	26	1	1	1	1	1	1	1	1
GFAP	1	1	1	1	1	1	1	1	1	1	1
GFM1	1	1	1	1	1	1	24	24	116	16	20
GFPT1	170	28	1	1	1	1	1	1	1	1	1
GGH	124	70	1	1	1	1	1	1	1	1	1
GHDC	1	1	38	4	32	54	22	8	20	4	16
GHITM	1	1	1	1	4	6	22	38	70	44	16
GLB1	144	50	6	1	1	1	1	1	1	1	1
GLG1	1	164	12	4	6	6	6	1	1	1	1
GLO1	156	44	1	1	1	1	1	1	1	1	1
GLOD4	150	1	1	12	1	12	1	1	1	1	28
GLRX3	72	36	66	20	1	1	1	1	1	4	1
GLS	1	1	1	1	1	1	6	42	84	46	20
GLTSCR2	1	16	184	1	1	1	1	1	1	1	1
GLUD1	1	1	1	1	4	14	24	56	72	14	16
GM2A	190	10	1	1	1	1	1	1	1	1	1
GMPPB	156	44	1	1	1	1	1	1	1	1	1
GMPS	6	1	1	1	1	1	1	1	1	114	80
GNA11	48	88	26	6	16	6	4	1	1	1	4
GNA13	40	76	32	10	12	10	6	6	4	1	1
GNAI2	42	82	42	8	6	8	4	4	1	1	1
GNAI3	42	76	52	4	8	6	4	4	1	1	1
GNAO1	1	192	1	8	1	1	1	1	1	1	1
GNAQ	96	64	12	6	14	4	1	4	1	1	1
GNAS	40	98	40	4	6	4	1	1	1	1	1
GNAS	40	98	40	4	6	4	1	1	1	1	1
GNAS	40	98	40	4	6	4	1	1	1	1	1
GNAS	40	98	40	4	6	4	1	1	1	1	1
GNB1	52	68	38	6	12	8	4	4	4	1	1
GNB2	46	64	38	12	16	10	4	1	1	1	6
GNB2L1	48	120	30	1	1	1	1	1	1	1	1
GNG10	122	78	1	1	1	1	1	1	1	1	1
GNG12	62	60	40	10	8	8	4	4	1	1	4
GNG5	92	62	24	1	10	6	1	1	1	1	1
GNL2	1	26	172	1	1	1	1	1	1	1	1
GNL3	1	36	156	4	1	1	1	1	1	1	1
GNPAT	1	1	1	1	6	26	32	16	40	28	54
GNS	192	8	1	1	1	1	1	1	1	1	1
GOLGA2	58	136	4	1	1	1	1	1	1	1	1
GOLGA3	114	86	1	1	1	1	1	1	1	1	1
GOLGA5	30	160	10	1	1	1	1	1	1	1	1
GOLGA7	184	16	1	1	1	1	1	1	1	1	1
GOLGB1	18	170	10	1	1	1	1	1	1	1	1
GOLIM4	64	118	12	4	1	1	1	1	1	1	1
GOLM1	68	126	6	1	1	1	1	1	1	1	1
GOLT1B	1	1	1	1	1	1	1	1	1	1	1
GORASP2	36	148	16	1	1	1	1	1	1	1	1
GOSR1	18	158	20	1	1	1	1	1	1	1	1
GOT1	116	66	1	6	1	1	1	10	1	1	1
GOT2	1	1	1	1	4	14	26	44	70	26	16
GPA33	42	94	38	1	10	6	1	1	1	1	1
GPAA1	48	20	1	22	22	12	20	14	6	1	38
GPD1L	1	1	1	1	8	30	24	30	54	16	36
GPD2	1	1	1	1	8	14	32	52	66	14	14
GPI	82	80	22	1	1	4	4	1	1	1	1
GPR56	1	1	1	1	1	1	1	1	1	1	1
GPRC5A	50	102	30	4	10	4	1	1	1	1	1
GPT2	1	1	1	1	1	1	16	30	110	38	6
GPX1	1	1	1	1	1	1	1	24	108	58	10
GPX8	1	1	1	1	1	1	1	1	1	200	1
GRHPR	1	1	1	1	1	1	1	66	94	1	40
GRPEL1	1	1	1	1	1	1	16	46	76	50	14
GRSF1	1	1	42	1	1	1	18	52	46	20	22
GRWD1	1	122	74	1	1	1	1	1	1	1	1
GSR	96	1	8	1	1	1	12	26	38	8	12
GSTK1	1	4	1	1	4	10	16	28	70	44	24
GSTO1	118	64	8	1	1	1	1	1	1	1	4
GSTP1	118	40	20	1	1	10	1	1	1	1	1
GTF2B	1	200	1	1	1	1	1	1	1	1	1
GTF2H1	1	1	200	1	1	1	1	1	1	1	1
GTF2H2	1	1	200	1	1	1	1	1	1	1	1
GTF2I	76	94	1	1	1	1	1	1	8	1	22
GTF3C1	1	26	174	1	1	1	1	1	1	1	1
GTF3C2	1	1	200	1	1	1	1	1	1	1	1
GTF3C3	1	38	154	1	8	1	1	1	1	1	1
GTF3C4	1	34	166	1	1	1	1	1	1	1	1
GTF3C5	1	12	186	1	1	1	1	1	1	1	1
GTPBP1	1	96	102	1	1	1	1	1	1	1	1
GTPBP10	1	1	1	1	1	1	1	1	156	24	20
GTPBP4	1	90	108	1	1	1	1	1	1	1	1
GUK1	1	1	1	1	1	1	1	58	128	1	14
GUSB	70	24	1	6	10	70	1	10	4	1	4
GYG1	1	40	24	18	42	38	36	1	1	1	1
GYS1	1	66	70	14	22	24	4	1	1	1	1
GYS2	6	54	74	8	28	22	4	1	1	1	1
H1F0	1	98	80	1	1	1	1	1	1	1	12
H1FX	1	114	74	4	1	1	1	1	1	1	1
H2AFX	1	1	1	1	1	1	1	1	1	1	200
H2AFY	1	18	14	1	10	16	22	20	22	14	62
H2AFZ	1	26	34	1	16	20	14	18	1	32	40
H3F3A	1	22	28	8	8	18	16	16	1	40	38
H6PD	1	1	1	1	1	104	60	1	22	12	1
HACL1	1	1	1	1	1	22	46	30	48	18	30
HADH	1	1	26	1	16	1	8	30	72	30	16
HADHA	1	1	1	1	4	14	36	46	64	22	16
HADHB	1	1	1	1	1	14	24	52	68	28	12
HARS	1	1	1	1	1	1	1	1	1	1	1
HAS1	1	1	1	1	1	1	1	1	1	1	1
HBA1	1	1	104	36	38	1	1	1	1	22	1
HDAC1	10	62	116	1	1	1	4	1	1	1	8
HDGF	52	100	1	1	1	1	1	20	1	1	26
HDHD3	1	1	1	1	1	1	1	1	6	194	1
HDLBP	4	42	12	1	1	6	20	12	16	34	58
HECTD3	184	16	1	1	1	1	1	1	1	1	1
HELZ2	1	88	64	6	16	1	6	1	1	1	18
HEPH	10	70	88	12	8	6	4	1	1	1	1
HERC2	1	1	192	1	4	1	1	1	1	1	1
HERPUD1	1	1	1	1	1	80	120	1	1	1	1
HEXA	172	28	1	1	1	1	1	1	1	1	1
HEXB	152	48	1	1	1	1	1	1	1	1	1
HIBADH	1	1	1	1	1	1	1	92	1	1	108
HIBCH	1	1	1	1	1	6	22	62	36	54	20
HINT1	200	1	1	1	1	1	1	1	1	1	1
HINT2	1	1	1	1	1	8	12	38	1	92	50
HINT3	200	1	1	1	1	1	1	1	1	1	1
HIST1H1C	1	76	74	4	6	8	6	6	6	4	10
HIST1H1D	1	1	1	1	1	1	1	1	180	16	6
HIST1H1E	1	70	50	14	14	12	6	12	6	6	6
HIST1H4A	1	18	28	10	18	22	18	16	1	34	34
HIST2H2AB	1	20	20	8	14	22	18	14	1	58	26
HIST2H3PS2	1	22	10	14	26	12	24	16	1	44	30
HIST3H2BB	1	28	30	6	18	26	12	12	1	32	38
HK1	1	1	66	1	4	1	24	18	62	1	22
HK2	1	1	1	1	1	1	14	14	172	1	1
HM13	1	1	1	8	34	46	34	20	28	10	18
HMGA1	1	46	78	14	16	10	8	8	1	4	14
HMGB1	72	96	10	4	1	1	1	4	1	1	8
HMGB2	48	118	32	1	1	1	1	1	1	1	1
HMGB3	32	150	16	1	1	1	1	1	1	1	1
HMGCL	1	1	1	1	1	6	20	46	28	48	52
HMGCS1	162	38	1	1	1	1	1	1	1	1	1
HMGCS2	1	1	1	6	6	32	24	30	52	36	14
HMOX2	1	4	14	8	32	54	24	20	24	8	14
HNRNPA0	6	82	98	6	6	1	1	1	1	1	1
HNRNPA1	10	86	96	4	1	1	1	1	1	1	1
HNRNPA2B1	12	104	76	4	4	1	1	1	1	1	1
HNRNPA3	8	74	106	6	1	1	1	1	1	1	1
HNRNPAB	8	76	104	6	4	1	1	1	1	1	1
HNRNPC	1	10	36	10	34	40	30	16	10	4	10
HNRNPCL1	1	1	1	1	200	1	1	1	1	1	1
HNRNPD	4	96	96	4	1	1	1	1	1	1	1
HNRNPF	38	62	60	6	4	4	1	24	4	1	1
HNRNPH1	44	68	50	6	8	10	6	1	4	1	1
HNRNPH2	1	1	1	1	1	1	1	1	1	1	1
HNRNPH3	100	100	1	1	1	1	1	1	1	1	1
HNRNPK	16	48	108	8	6	4	1	1	1	1	1
HNRNPL	1	64	98	1	12	14	6	1	1	1	1
HNRNPM	12	100	72	6	4	1	1	1	1	1	1
HNRNPR	1	14	98	12	32	28	12	1	1	1	1
HNRNPU	10	90	80	4	6	4	1	1	1	1	1
HNRNPUL1	1	52	112	4	16	12	4	1	1	1	1
HNRNPUL2	20	18	148	8	1	6	1	1	1	1	1
HP1BP3	1	108	88	1	1	1	1	1	1	1	1
HPGD	122	44	1	8	1	1	6	6	4	1	8
HPRT1	122	78	1	1	1	1	1	1	1	1	1
HPSE	1	200	1	1	1	1	1	1	1	1	1
HRNR	1	1	1	1	28	1	70	18	6	12	66
HSD17B10	1	1	1	1	1	4	20	30	68	58	20
HSD17B11	1	6	1	6	22	38	46	14	42	14	12
HSD17B12	1	4	12	6	26	42	30	20	26	14	16
HSD17B4	1	1	1	1	10	34	28	34	42	20	28
HSD17B7	1	1	10	1	10	50	24	32	44	28	1
HSD17B8	1	1	1	1	1	1	1	36	100	42	22
HSDL1	108	1	1	1	1	14	1	38	34	6	1
HSDL2	1	1	1	1	1	4	24	58	54	32	28
HSP90AA1	76	56	18	6	8	8	8	6	6	1	6
HSP90AB1	72	56	22	6	8	10	8	6	6	1	6
HSP90AB2P	1	1	1	1	1	1	1	1	1	1	1
HSP90AB4P	200	1	1	1	1	1	1	1	1	1	1
HSP90B1	4	10	10	8	24	52	24	14	24	14	16
HSPA1A	44	54	46	4	10	12	8	4	6	1	8
HSPA4	200	1	1	1	1	1	1	1	1	1	1
HSPA4L	168	1	22	1	1	1	1	1	1	1	4
HSPA5	8	22	20	6	18	40	26	22	24	6	10
HSPA8	36	54	40	6	10	14	10	10	8	1	8
HSPA9	1	1	1	1	6	16	28	46	64	18	22
HSPB1	54	48	1	1	76	1	1	6	1	1	10
HSPD1	4	1	1	1	12	16	30	40	36	34	26
HSPE1	1	1	1	1	10	16	22	44	1	64	38
HTATIP2	42	1	1	4	4	88	28	10	18	1	6
