Gene	Rodriguez-Pineiro_1	Rodriguez-Pineiro_2	Rodriguez-Pineiro_3	Rodriguez-Pineiro_4	Rodriguez-Pineiro_5	Rodriguez-Pineiro_6	Rodriguez-Pineiro_7	Rodriguez-Pineiro_8	Rodriguez-Pineiro_9	Rodriguez-Pineiro_10	Rodriguez-Pineiro_11
ALKBH7	1	1	1	1	1	42	1	96	1	1	62
AMACR	1	1	1	1	1	22	36	72	16	28	26
ANK2	1	1	200	1	1	1	1	1	1	1	1
ANK3	1	1	1	1	64	82	1	1	54	1	1
ANKLE2	1	1	1	1	1	12	72	36	46	6	28
ANKRD17	1	1	1	1	1	1	1	1	1	1	1
ANKRD22	8	18	84	16	26	34	4	4	1	4	1
ANP32B	200	1	1	1	1	1	1	1	1	1	1
ANXA1	88	98	1	1	10	1	1	1	1	1	1
ANXA11	148	48	1	1	1	1	1	1	1	1	1
ANXA13	32	102	1	1	8	1	1	58	1	1	1
ANXA4	184	1	1	1	8	1	1	1	1	1	6
ANXA5	86	78	10	1	6	1	1	6	6	1	4
ANXA7	200	1	1	1	1	1	1	1	1	1	1
AP1AR	1	4	196	1	1	1	1	1	1	1	1
AP1B1	1	114	86	1	1	1	1	1	1	1	1
AP1G1	42	82	66	4	1	1	1	1	1	1	1
AP1G2	200	1	1	1	1	1	1	1	1	1	1
AP1S1	1	1	1	1	1	1	1	1	1	1	1
AP2A1	22	64	82	6	8	14	1	1	1	1	1
AP2A2	1	108	56	8	1	14	1	6	6	1	4
AP2B1	18	74	68	6	4	18	4	1	4	1	1
AP2M1	24	58	72	12	10	10	6	4	1	1	1
AP2S1	1	1	1	1	1	1	1	1	1	1	1
AP3B1	190	1	4	1	1	1	1	1	1	1	4
AP3D1	1	46	144	1	1	1	1	1	1	1	6
AP3S1	46	74	66	1	1	1	1	1	1	8	8
APEH	198	1	1	1	1	1	1	1	1	1	1
APEX1	1	182	16	1	1	1	1	1	1	1	1
APMAP	1	10	22	10	16	48	28	28	22	6	10
APOO	1	1	1	1	1	1	1	200	1	1	1
APP	1	1	82	1	16	24	32	12	14	1	16
AQR	1	1	42	1	36	58	46	1	4	10	1
ARCN1	160	28	8	1	1	1	1	1	1	1	1
ARF3	70	70	26	6	1	8	6	6	1	1	6
ARF4	50	92	30	1	4	6	4	6	1	6	1
ARF5	62	126	1	8	1	1	1	1	1	1	4
